trade_id,date,entry_time,entry_price,side,result,match_status,matched_dt,price_inside_bar,price_distance,time_distance_min,dol_relation,dol_distance,dol_cross_last_10m,dol_reclaim_last_10m,vwap_relation,vwap_distance,nearest_fvg_dir,nearest_fvg_dist,nearest_fvg_size,nearest_fvg_age_bars,entry_inside_nearest_fvg,ifvg_proxy,fvg_alignment_with_side,any_key_level_sweep_last_30m,swept_levels_last_30m,displacement_ratio,displacement_candle,pre_10m_drive_points,post_10m_reclaim_points,v_shape_score_atr,v_shape_candidate,exhaustion_proxy,mfe_10m,mae_10m,mfe_30m,mae_30m,mfe_60m,mae_60m
ICT_21152,2025-01-10,08:45:00,21132.0,short,win,matched,2025-01-10 08:45:00,True,0.0,0.0,unknown,,False,False,unknown,,bull,0.0,3.75,50.0,True,True,False,False,,0.9437086092715232,False,10.5,33.75,1.1574030826716488,False,False,122.0,-5.75,257.25,-5.75,257.25,-5.75
ICT_21617,2025-01-30,08:38:00,21644.0,long,win,matched,2025-01-30 08:38:00,True,0.0,0.0,unknown,,False,False,unknown,,bear,0.0,4.5,4.0,True,False,False,True,premarket_low,1.7906976744186047,True,-37.25,47.25,3.7886309047237794,True,False,72.25,-24.75,104.75,-80.25,104.75,-142.0
ICT_21765,2025-02-06,09:11:00,21783.0,long,win,matched,2025-02-06 09:07:00,True,0.0,4.0,unknown,,False,False,unknown,,bear,0.0,3.25,5.0,True,True,False,False,,1.001727115716753,False,-32.75,23.0,3.8590852904820765,True,False,61.5,-5.0,65.75,-5.0,65.75,-42.75
ICT_22109,2025-02-14,09:08:00,22123.25,long,win,matched,2025-02-14 09:05:00,True,0.0,3.0,unknown,,False,False,unknown,,bear,0.25,6.0,3.0,False,True,False,False,,0.267260579064588,False,-31.0,30.5,5.08714918759232,True,False,36.75,-3.0,36.75,-6.0,48.5,-22.75
ICT_20983,2025-03-03,08:49:00,20967.25,short,win,matched,2025-03-03 08:49:00,True,0.0,0.0,unknown,,False,False,unknown,,bull,8.75,5.0,2.0,False,True,False,True,premarket_high,2.0229007633587788,True,8.75,66.5,1.9867986798679869,True,False,143.0,-17.75,207.25,-17.75,207.25,-22.0
ICT_20210,2025-03-04,09:20:00,20186.5,short,win,matched,2025-03-04 09:16:00,True,0.0,4.0,unknown,,False,False,unknown,,bear,0.5,9.25,0.0,False,False,True,True,premarket_high,1.131167268351384,False,26.5,92.75,3.229206963249516,True,False,111.25,-0.5,111.25,-77.0,111.25,-77.0
ICT_19443,2025-03-11,08:39:00,19480.75,long,win,matched,2025-03-11 08:36:00,False,111.25,3.0,unknown,,False,False,unknown,,bear,0.0,57.75,33.0,True,False,False,False,,0.7396226415094339,False,-40.0,36.0,2.2423603793466804,True,False,-111.25,-216.25,-62.75,-216.25,27.75,-216.25
ICT_19495,2025-04-02,09:12:00,19541.75,long,win,matched,2025-04-02 09:16:00,False,36.75,4.0,unknown,,False,False,unknown,,bull,0.0,10.25,90.0,True,True,True,True,premarket_high,0.21739130434782608,False,-48.75,13.5,4.159904534606206,True,True,165.0,36.75,172.25,36.75,196.25,36.75
ICT_19260,2025-04-26,09:25:00,19346.0,long,loss,no_market_rows_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT_19275,2025-04-26,08:46:00,19305.25,long,loss,no_market_rows_for_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT_19910,2025-05-01,11:31:00,19967.5,long,win,matched,2025-05-01 11:28:00,False,18.5,3.0,unknown,,False,False,unknown,,bear,0.0,28.75,92.0,True,True,False,True,premarket_high,1.0810810810810811,False,-37.5,7.5,4.186046511627907,True,True,47.5,18.5,47.5,-25.75,77.25,-25.75
ICT_21225,2025-05-27,08:48:00,21246.0,long,win,matched,2025-05-27 08:44:00,False,120.5,4.0,unknown,,False,False,unknown,,bear,0.0,8.5,69.0,True,True,False,True,premarket_high,0.0,False,-17.25,12.75,2.7140549273021,True,False,143.5,120.5,143.5,103.0,154.25,103.0
ICT_22771,2025-07-02,09:52:00,25806.75,long,win,matched,2025-07-02 09:47:00,False,2979.0,5.0,unknown,,False,False,unknown,,bull,2966.25,9.25,41.0,False,True,True,False,,0.44164037854889593,False,-20.75,20.25,4.927038626609442,True,False,-2979.0,-2996.25,-2967.5,-2997.25,-2961.75,-2997.25
ICT_24010,2025-08-14,09:50:00,23987.25,short,win,matched,2025-08-14 09:56:00,False,44.5,6.0,unknown,,False,False,unknown,,bull,0.25,6.25,69.0,False,True,False,False,,2.347417840375587,True,57.75,1.5,4.836734693877551,True,True,90.25,44.5,122.5,44.5,122.5,43.75
ICT_23965,2025-09-11,09:52:00,23990.25,long,win,matched,2025-09-11 09:47:00,False,12.75,5.0,unknown,,False,False,unknown,,bull,0.0,2.75,49.0,True,False,True,False,,1.7241379310344829,False,-27.0,11.25,4.616379310344827,True,False,39.75,12.75,53.25,12.75,53.25,12.75
ICT_26156,2025-11-03,10:15:00,26131.75,short,win,matched,2025-11-03 10:20:00,False,31.0,5.0,unknown,,False,False,unknown,,bear,0.0,8.25,65.0,True,False,True,False,,2.2700587084148727,True,23.75,18.0,2.6811926605504586,True,False,88.25,27.5,88.25,27.5,88.25,-12.25
ICT_25615,2025-12-04,09:46:00,25599.0,short,win,matched,2025-12-04 09:47:00,True,0.0,1.0,unknown,,False,False,unknown,,bull,8.5,5.5,9.0,False,True,False,False,,2.993827160493827,True,32.75,41.25,4.98676293622142,True,False,33.0,-25.25,94.0,-25.25,94.0,-25.25
ICT_25644,2026-02-03,09:09:00,25600.5,short,win,matched,2026-02-03 09:09:00,True,0.0,0.0,unknown,,False,False,unknown,,bear,0.0,21.25,2.0,True,False,True,False,,0.886214442013129,False,1.75,49.0,1.4195804195804196,True,False,70.5,-10.25,130.25,-10.25,130.25,-31.0
ICT_25070,2026-02-26,10:15:00,25037.0,short,loss,matched,2026-02-26 10:14:00,True,0.0,1.0,unknown,,False,False,unknown,,bear,0.0,30.25,58.0,True,False,True,False,,1.3212435233160622,False,43.25,4.0,2.2291491154170173,True,True,10.5,-32.75,40.0,-48.5,82.75,-48.5
ICT_25070,2026-02-26,10:27:00,25052.0,short,loss,matched,2026-02-26 10:25:00,True,0.0,2.0,unknown,,False,False,unknown,,bull,0.0,4.75,9.0,True,True,False,False,,3.074534161490683,True,28.5,0.75,1.6396396396396395,True,True,6.0,-33.5,87.0,-33.5,99.0,-33.5
ICT_25070,2026-02-26,10:40:00,24035.0,short,win,matched,2026-02-26 10:46:00,False,940.0,6.0,unknown,,False,False,unknown,,bull,886.0,8.5,68.0,False,False,False,False,,0.10507880910683012,False,1.0,71.0,4.280254777070064,True,False,-929.5,-994.5,-918.0,-994.5,-901.25,-994.5
ICT_24792,2026-03-06,09:40:00,24836.0,long,loss,matched,2026-03-06 09:42:00,True,0.0,2.0,unknown,,False,False,unknown,,bear,14.5,1.75,0.0,False,False,False,False,,1.1154345006485085,False,-19.25,4.25,1.0138674884437597,False,True,14.5,-84.0,63.5,-84.0,63.5,-84.0
ICT_24751,2026-03-06,09:55:00,24789.0,long,win,matched,2026-03-06 09:54:00,True,0.0,1.0,unknown,,False,False,unknown,,bear,0.0,19.0,3.0,True,False,False,False,,1.0625,False,-66.5,37.0,4.489542989930287,True,False,110.5,-25.25,110.5,-25.25,126.0,-25.25
ICT_24978,2026-03-10,09:02:00,24945.0,short,loss,matched,2026-03-10 09:08:00,False,185.5,6.0,unknown,,False,False,unknown,,bear,0.0,29.5,60.0,True,True,True,False,,1.1133200795228628,False,36.5,48.5,5.8548585485854865,True,False,-172.75,-225.25,-164.75,-232.5,-135.25,-232.5
ICT_24960,2026-03-10,09:12:00,24933.0,short,loss,matched,2026-03-10 09:13:00,False,184.75,1.0,unknown,,False,False,unknown,,bull,0.0,14.25,53.0,True,False,False,False,,1.7437722419928825,False,0.25,55.25,3.639344262295082,True,False,-184.75,-244.5,-176.75,-244.5,-147.25,-244.5
ICT_27140,2026-04-28,09:00:00,27204.75,long,loss,matched,2026-04-28 09:01:00,False,85.0,1.0,unknown,,False,False,unknown,,bull,1.0,29.25,79.0,False,True,True,True,premarket_low,1.2310437109723462,False,-14.0,77.0,3.099756690997567,True,False,-85.0,-173.25,-85.0,-183.5,-85.0,-195.25
ICT_27011,2026-04-28,09:48:00,27123.75,short,win,matched,2026-04-28 09:42:00,False,71.5,6.0,unknown,,False,False,unknown,,bear,0.0,15.25,66.0,True,False,True,False,,0.588235294117647,False,34.0,12.75,2.779193205944798,True,False,114.25,71.5,114.25,37.0,114.25,35.25
ICT_27253,2026-04-28,10:05:00,27083.0,long,loss,matched,2026-04-28 10:08:00,True,0.0,3.0,unknown,,False,False,unknown,,bull,0.0,14.25,68.0,True,True,True,True,premarket_low,1.596806387225549,False,-9.75,31.0,2.6878680800942285,True,False,3.75,-28.75,5.5,-54.0,16.0,-55.0
