trade_id,source_row,date,entry_time,entry_price,side,result,trades_per_post,message_id,discord_url,open_discord,timestamp,date_in_text,tickers,priority,side_hint,result_hint,points_hint,attachment_count,attachment_file_names,attachment_paths,youtube_links,content,sl,tp,missing_entry_time,missing_entry_price,missing_side,missing_result,approx_entry_dt,match_status,matched_dt,matched_open,matched_high,matched_low,matched_close,price_inside_bar,price_distance,time_distance_min,match_score,dol_proxy,dol_distance,dol_relation,recent_bull_fvg_low,recent_bull_fvg_high,recent_bull_fvg_dist,recent_bear_fvg_low,recent_bear_fvg_high,recent_bear_fvg_dist,nearest_fvg_dir,nearest_fvg_dist,liquidity_sweep_proxy,displacement_ratio,displacement_candle,pre_10m_drive_points,post_10m_reclaim_points,v_shape_score_proxy,mfe_5m,mae_5m,mfe_10m,mae_10m,mfe_30m,mae_30m,mfe_60m,mae_60m
ICT_21152,29,2025-01-10,08:45:00,21132.0,short,win,1.0,1327403007704567870,https://discord.com/channels/1316750175930421389/1316750177528315931/1327403007704567870,Open Discord,45667.93447907407,1/10/2025,NQ,A - NQ trade/review candidate,short,1W-10L,80.0,1,2025-01-10_17-14-41__96pct_smaller.mp4,recaps.json_Files\2025-01-10_17-14-41__96pct_smaller-ec1afba55c596312.mp4,,1/10/2025 Market Review: 80pt short setup on NQ ✅ | | I am on a 4 week 🟢 streak! | | Lets keep it rolling | @everyone,21152.0,21039.5,False,False,False,False,2025-01-10 08:45:00,matched,2025-01-10 08:46:00,21286.75,21288.5,21280.75,21284.25,False,148.75,1.0,447.25,21237.0,-105.0,below_dol,,,,,,,none,,False,0.8298755186721991,False,0.5,-136.5,-136.0,-144.5,156.0,-136.5,156.0,-116.5,156.0,-116.5,162.75
ICT_21617,30,2025-01-30,08:38:00,21644.0,long,win,1.0,1334607203977531534,https://discord.com/channels/1316750175930421389/1316750177528315931/1334607203977531534,Open Discord,45687.81427350694,1/30/25,NQ,A - NQ trade/review candidate,long,1W-30L,110.0,0,,,"https://youtu.be/la_-cK1o4WQ?si=VRc90Q6JWf7dCrvW,https://www.youtube.com/watch?v=la_-cK1o4WQ",**1/30/25 Trade Review 110pt Long Setup on NQ +$1000** | 🚨 Now Live On YouTube | https://youtu.be/la_-cK1o4WQ?si=VRc90Q6JWf7dCrvW | @everyone | 1/30/25 NQ Longs for 110pts $1000 Day | In today's trade review PJ trades reviews this Long Setup which netted him and the discord 110pts on the Nasdaq! | | Join the free discord -- https://whop.com/pjtradesfree/ | https://www.youtube.com/watch?v=la_-cK1o4WQ,21617.0,21739.0,False,False,False,False,2025-01-30 08:38:00,matched,2025-01-30 08:42:00,21687.5,21687.75,21681.75,21684.25,False,37.75,4.0,117.25,21538.5,105.5,above_dol,,,,21693.5,21694.75,50.125,bear,50.125,False,1.43646408839779,False,5.5,56.75,56.75,51.75,-38.5,56.75,-38.5,59.5,-21.5,59.5,0.0
ICT_21765,31,2025-02-06,09:11:00,21783.0,long,win,1.0,1337173248814747681,https://discord.com/channels/1316750175930421389/1316750177528315931/1337173248814747681,Open Discord,45694.89520827546,2/6/25,NQ,A - NQ trade/review candidate,long,2W-6L,60.0,0,,,"https://youtu.be/d7X_JivZNUA?si=d5WXdi8WtPST3A-o,https://www.youtube.com/watch?v=d7X_JivZNUA",**2/6/25 Trade Review NQ Long Setup. The entire chat was eating today!** | 🚨 Now Live On YouTube | https://youtu.be/d7X_JivZNUA?si=d5WXdi8WtPST3A-o | @everyone | NQ 60pt Long in the FREE Discord! 2/6/25 | Clean IFVG long on NQ this morning in the discord! | | Join the free discord -- https://whop.com/pjtradesfree/ | https://www.youtube.com/watch?v=d7X_JivZNUA,21765.0,21844.0,False,False,False,False,2025-02-06 09:11:00,matched,2025-02-06 09:07:00,21822.0,21824.25,21819.75,21821.25,False,36.75,4.0,114.25,21772.25,10.75,above_dol,21804.5,21805.0,21.75,21806.25,21806.5,23.375,bull,21.75,False,0.2553191489361702,False,17.75,47.0,47.0,46.25,-37.25,47.0,-37.25,47.0,-17.5,47.0,-8.75
ICT_22109,32,2025-02-14,09:08:00,22123.25,long,win,1.0,1340004123508215868,https://discord.com/channels/1316750175930421389/1316750177528315931/1340004123508215868,Open Discord,45702.70693422454,2/14/25,NQ,A - NQ trade/review candidate,,2W-14L,,0,,,"https://youtu.be/YAuzP1Zy7Pw?si=aGtm3BMy0pE_QBs_,https://www.youtube.com/watch?v=YAuzP1Zy7Pw",**2/14/25 Trade Review 1/1 Trading $NQ** | 🚨 Now Live On YouTube | https://youtu.be/YAuzP1Zy7Pw?si=aGtm3BMy0pE_QBs_ | @everyone | FRIDAY TRADE REVIEW 1/1 ON THE SESSION TRADING $NQ FUTURES | My name is PJ Trades and I have been trading for 9 years under the radar. Last month I launched my TikTok and Discords and we have exploded in growth! Join my FREE Discord! | https://whop.com/pjtradesfree/ | | Current Prop Firm Sales! | | MyFundedFutures https://myfundedfutures.com/?ref=4840 | 25% OFF EXPERT EVALS! CODE: PJ | | Tradeify | https://tradeify.... | https://www.youtube.com/watch?v=YAuzP1Zy7Pw,22109.0,22155.0,False,False,False,False,2025-02-14 09:08:00,matched,2025-02-14 09:09:00,22134.0,22137.5,22127.5,22135.0,False,4.25,1.0,13.75,22084.75,38.5,above_dol,22122.0,22125.0,0.25,,,,bull,0.25,False,0.34782608695652173,False,15.75,21.0,21.0,21.0,-10.0,21.0,-9.0,23.0,-3.0,23.0,8.0
ICT_20983,33,2025-03-03,08:49:00,20967.25,short,win,1.0,1346142559960825916,https://discord.com/channels/1316750175930421389/1316750177528315931/1346142559960825916,Open Discord,45719.64579182871,3/3/25,NQ,A - NQ trade/review candidate,short,3W-3L,,1,2025-03-03_10-21-31_-_Trim.mp4,recaps.json_Files\2025-03-03_10-21-31_-_Trim-2a6a6352d4dd9831.mp4,,**3/3/25 Trade Review 1-0 Trading $NQ Shorts** | @everyone,20983.0,20890.0,False,False,False,False,2025-03-03 08:49:00,matched,2025-03-03 08:45:00,20956.75,20963.5,20956.5,20957.75,False,3.75,4.0,15.25,20969.5,-2.25,near_dol,20948.75,20955.0,15.375,20917.0,20926.0,45.75,bull,15.375,False,0.20565552699228792,False,35.5,33.75,69.25,33.75,-9.5,33.75,-9.5,39.0,-3.75,39.0,27.25
ICT_20210,34,2025-03-04,09:20:00,20186.5,short,win,1.0,1346612103464751155,https://discord.com/channels/1316750175930421389/1316750177528315931/1346612103464751155,Open Discord,45720.94148505787,3/4/25,NQ,A - NQ trade/review candidate,short,3W-4L,,1,YouTube_Trim.mp4,recaps.json_Files\YouTube_Trim-7f17e1ee18c13f39.mp4,,**3/4/25 Trade Review 1-0 Trading IFVG Shorts on $NQ** | @everyone,20210.25,20102.5,False,False,False,False,2025-03-04 09:20:00,matched,2025-03-04 09:18:00,20511.0,20521.5,20507.75,20521.0,False,321.25,2.0,965.75,20514.75,-328.25,below_dol,20520.0,20521.75,334.375,20518.0,20526.25,335.625,bull,334.375,False,1.7391304347826086,True,-33.75,-328.5,-328.5,-331.25,344.25,-328.5,350.75,-303.0,350.75,-257.5,350.75
ICT_19443,35,2025-03-11,08:39:00,19480.75,long,win,1.0,1349199736388980776,https://discord.com/channels/1316750175930421389/1316750177528315931/1349199736388980776,Open Discord,45728.08199159722,3/11/25,NQ,A - NQ trade/review candidate,long,3W-11L,,1,pj_trades_trade_review.mp4,recaps.json_Files\pj_trades_trade_review-195ba82e2710bf05.mp4,,**3/11/25 Trade Review 1-0 Trading Day on $NQ Longs** | @everyone,19443.0,19586.0,False,False,False,False,2025-03-11 08:39:00,matched,2025-03-11 08:42:00,19531.0,19541.75,19529.75,19533.0,False,49.0,3.0,150.0,19306.5,174.25,above_dol,19551.0,19552.5,71.0,19546.0,19550.0,67.25,bear,67.25,True,0.3738317757009346,False,-21.0,70.25,91.25,68.5,-45.5,70.25,-45.5,101.0,-45.5,101.0,-45.5
ICT_19495,36,2025-04-02,09:12:00,19541.75,long,win,1.0,1357013391511912722,https://discord.com/channels/1316750175930421389/1316750177528315931/1357013391511912722,Open Discord,45749.64357206019,4/2/2025,NQ,A - NQ trade/review candidate,long,4W-2L,60.0,1,Trade_Review_4225.mp4,recaps.json_Files\Trade_Review_4225-32d7a1ee2d499c87.mp4,,**Trade Review 4/2/2025 60pt Long on NQ** | @everyone,19495.0,19601.75,False,False,False,False,2025-04-02 09:12:00,matched,2025-04-02 09:11:00,19542.25,19548.5,19542.0,19548.25,False,0.25,1.0,1.75,19643.75,-102.0,below_dol,19534.5,19535.75,6.625,19540.75,19543.0,0.125,bear,0.125,False,1.7328519855595668,True,14.75,13.0,13.0,13.0,7.25,13.0,15.0,13.0,27.0,13.0,85.5
ICT_19260,37,2025-04-26,09:25:00,19346.0,long,loss,2.0,1365736562872156332,https://discord.com/channels/1316750175930421389/1316750177528315931/1365736562872156332,Open Discord,45773.71493920139,4/25/25,NQ,A - NQ trade/review candidate,,4W-25L,,0,,,"https://youtu.be/qki2gki4IXE,https://www.youtube.com/watch?v=qki2gki4IXE",**Trade Review 4/25/25 | 0-2 ** | Full Video on YouTube | https://youtu.be/qki2gki4IXE | @everyone | How I lost $1750 Trading NQ Futures | My name is PJ Trades and I have been trading for 9 years under the radar. Last month I launched my TikTok and Discords and we have exploded in growth! If you want to learn more about how I trade join our FREE trading community below! | | Join my FREE Discord! | https://whop.com/pjtradesfree/ | | Join my Premium Trading Floor | https://whop.com/pjtradesp... | https://www.youtube.com/watch?v=qki2gki4IXE,19260.0,19470.0,False,False,False,False,2025-04-26 09:25:00,no_market_rows_in_time_window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT_19275,38,2025-04-26,08:46:00,19305.25,long,loss,2.0,1365736562872156332,https://discord.com/channels/1316750175930421389/1316750177528315931/1365736562872156332,Open Discord,45773.71493920139,4/25/25,NQ,A - NQ trade/review candidate,,4W-25L,,0,,,"https://youtu.be/qki2gki4IXE,https://www.youtube.com/watch?v=qki2gki4IXE",**Trade Review 4/25/25 | 0-2 ** | Full Video on YouTube | https://youtu.be/qki2gki4IXE | @everyone | How I lost $1750 Trading NQ Futures | My name is PJ Trades and I have been trading for 9 years under the radar. Last month I launched my TikTok and Discords and we have exploded in growth! If you want to learn more about how I trade join our FREE trading community below! | | Join my FREE Discord! | https://whop.com/pjtradesfree/ | | Join my Premium Trading Floor | https://whop.com/pjtradesp... | https://www.youtube.com/watch?v=qki2gki4IXE,19275.75,19415.0,False,False,False,False,2025-04-26 08:46:00,no_market_rows_in_time_window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
