trade_id,date,entry_time,entry_price,side,result,match_status,matched_dt,price_inside_bar,price_distance,time_distance_min,dol_relation,dol_distance,nearest_fvg_dir,nearest_fvg_dist,liquidity_sweep_proxy,displacement_ratio,displacement_candle,pre_10m_drive_points,post_10m_reclaim_points,v_shape_score_proxy,mfe_10m,mae_10m,mfe_30m,mae_30m,mfe_60m,mae_60m
ICT_21152,2025-01-10,08:45:00,21132.0,short,win,matched,2025-01-10 08:46:00,False,148.75,1.0,below_dol,-105.0,none,,False,0.8298755186721991,False,0.5,-136.5,-136.0,-136.5,156.0,-116.5,156.0,-116.5,162.75
ICT_21617,2025-01-30,08:38:00,21644.0,long,win,matched,2025-01-30 08:42:00,False,37.75,4.0,above_dol,105.5,bear,50.125,False,1.43646408839779,False,5.5,56.75,56.75,56.75,-38.5,59.5,-21.5,59.5,0.0
ICT_21765,2025-02-06,09:11:00,21783.0,long,win,matched,2025-02-06 09:07:00,False,36.75,4.0,above_dol,10.75,bull,21.75,False,0.2553191489361702,False,17.75,47.0,47.0,47.0,-37.25,47.0,-17.5,47.0,-8.75
ICT_22109,2025-02-14,09:08:00,22123.25,long,win,matched,2025-02-14 09:09:00,False,4.25,1.0,above_dol,38.5,bull,0.25,False,0.34782608695652173,False,15.75,21.0,21.0,21.0,-9.0,23.0,-3.0,23.0,8.0
ICT_20983,2025-03-03,08:49:00,20967.25,short,win,matched,2025-03-03 08:45:00,False,3.75,4.0,near_dol,-2.25,bull,15.375,False,0.20565552699228792,False,35.5,33.75,69.25,33.75,-9.5,39.0,-3.75,39.0,27.25
ICT_20210,2025-03-04,09:20:00,20186.5,short,win,matched,2025-03-04 09:18:00,False,321.25,2.0,below_dol,-328.25,bull,334.375,False,1.7391304347826086,True,-33.75,-328.5,-328.5,-328.5,350.75,-303.0,350.75,-257.5,350.75
ICT_19443,2025-03-11,08:39:00,19480.75,long,win,matched,2025-03-11 08:42:00,False,49.0,3.0,above_dol,174.25,bear,67.25,True,0.3738317757009346,False,-21.0,70.25,91.25,70.25,-45.5,101.0,-45.5,101.0,-45.5
ICT_19495,2025-04-02,09:12:00,19541.75,long,win,matched,2025-04-02 09:11:00,False,0.25,1.0,below_dol,-102.0,bear,0.125,False,1.7328519855595668,True,14.75,13.0,13.0,13.0,15.0,13.0,27.0,13.0,85.5
ICT_19260,2025-04-26,09:25:00,19346.0,long,loss,no_market_rows_in_time_window,,,,,,,,,,,,,,,,,,,,
ICT_19275,2025-04-26,08:46:00,19305.25,long,loss,no_market_rows_in_time_window,,,,,,,,,,,,,,,,,,,,
ICT_19910,2025-05-01,11:31:00,19967.5,long,win,matched,2025-05-01 11:27:00,False,18.25,4.0,above_dol,49.75,bear,26.0,False,1.3148788927335642,False,-15.75,45.5,61.25,45.5,-18.75,59.5,-18.75,68.25,-18.75
ICT_21225,2025-05-27,08:48:00,21246.0,long,win,matched,2025-05-27 08:51:00,False,52.5,3.0,above_dol,9.75,bear,66.125,True,0.8264462809917356,False,-22.75,73.5,96.25,73.5,-58.0,104.5,-58.0,107.0,-58.0
ICT_22771,2025-07-02,09:52:00,25806.75,long,win,matched,2025-07-02 09:53:00,False,3091.0,1.0,above_dol,3097.0,bull,3093.875,False,0.7017543859649122,False,2.5,-3091.5,-3091.5,-3091.5,3100.0,-3089.0,3106.5,-3089.0,3131.75
ICT_24010,2025-08-14,09:50:00,23987.25,short,win,matched,2025-08-14 09:48:00,False,52.75,2.0,above_dol,37.25,bear,52.375,False,2.4324324324324325,True,-0.75,63.75,63.75,63.75,-55.75,68.5,-55.75,68.5,-50.75
ICT_23965,2025-09-11,09:52:00,23990.25,long,win,matched,2025-09-11 09:56:00,False,68.75,4.0,above_dol,90.0,bear,68.875,False,1.3333333333333333,False,8.75,-57.25,-57.25,-57.25,72.25,-51.25,72.25,-40.5,72.25
ICT_26156,2025-11-03,10:15:00,26131.75,short,win,matched,2025-11-03 10:15:00,True,0.0,0.0,above_dol,50.0,bull,0.625,False,0.9142857142857143,False,4.0,0.0,4.0,0.0,12.75,3.75,23.0,3.75,36.75
ICT_25615,2025-12-04,09:46:00,25599.0,short,win,matched,2025-12-04 09:48:00,False,74.75,2.0,below_dol,-48.5,bull,49.125,False,0.22140221402214022,False,9.75,-78.0,-68.25,-78.0,91.5,-71.75,92.25,-49.25,92.25
ICT_25644,2026-02-03,09:09:00,25600.5,short,win,matched,2026-02-03 09:13:00,False,374.5,4.0,below_dol,-347.25,bear,376.375,False,1.0772833723653394,False,-3.5,-367.75,-367.75,-367.75,386.75,-357.75,386.75,-357.75,389.5
ICT_25070,2026-02-26,10:15:00,25037.0,short,loss,matched,2026-02-26 10:19:00,False,335.75,4.0,below_dol,-278.75,bear,344.75,False,0.3468208092485549,False,-2.75,-325.25,-325.25,-325.25,342.5,-316.25,342.5,-308.25,342.5
ICT_25070,2026-02-26,10:27:00,25052.0,short,loss,matched,2026-02-26 10:27:00,False,310.25,0.0,below_dol,-263.75,bear,320.75,False,1.256544502617801,False,-11.0,-305.0,-305.0,-305.0,321.25,-295.5,321.25,-293.25,321.25
ICT_25070,2026-02-26,10:40:00,24035.0,short,win,matched,2026-02-26 10:38:00,False,1318.25,2.0,below_dol,-1280.75,bear,1329.0,False,1.4218009478672984,False,-9.0,-1321.75,-1321.75,-1321.75,1335.5,-1310.25,1335.5,-1310.25,1335.5
ICT_24792,2026-03-06,09:40:00,24836.0,long,loss,matched,2026-03-06 09:40:00,False,70.5,0.0,below_dol,-223.75,bear,115.625,True,0.12684989429175478,False,-54.0,99.25,153.25,99.25,-46.25,129.0,-46.25,145.0,-46.25
ICT_24751,2026-03-06,09:55:00,24789.0,long,win,matched,2026-03-06 09:51:00,False,93.5,4.0,below_dol,-270.75,bear,129.875,False,1.2624584717607972,False,-34.0,147.75,181.75,147.75,-106.25,182.25,-106.25,192.0,-106.25
ICT_24978,2026-03-10,09:02:00,24945.0,short,loss,matched,2026-03-10 08:59:00,False,133.25,3.0,above_dol,64.0,bear,163.375,False,0.46838407494145196,False,-40.0,-135.75,-135.75,-135.75,184.0,-135.75,189.0,-135.75,189.0
ICT_24960,2026-03-10,09:12:00,24933.0,short,loss,matched,2026-03-10 09:16:00,False,175.0,4.0,above_dol,52.0,bull,158.625,False,2.6600985221674875,True,7.0,-163.0,-156.0,-163.0,191.25,-161.0,195.0,-121.0,195.0
ICT_27140,2026-04-28,09:00:00,27204.75,long,loss,matched,2026-04-28 09:04:00,False,133.25,4.0,below_dol,-285.5,bear,135.125,False,1.590909090909091,True,-0.25,144.0,144.25,144.0,-121.0,144.0,-83.75,144.0,-51.75
