tier,conditions,entry_model,target_model,mbp_overlay,trades,winrate,profit_factor,net_points,avg_trade
A,below_vwap & green_bar,10pt_pullback,20pt_target,tight_spread,265,0.6415,1.977,1680.0,6.34
A,below_vwap & green_bar,10pt_pullback,20pt_target,tight_spread,265,0.6415,1.977,1680.0,6.34
A,below_vwap & green_bar,10pt_pullback,20pt_target,tight_spread,265,0.6415,1.977,1680.0,6.34
A,below_vwap & green_bar,10pt_pullback,20pt_target,tight_spread,265,0.6415,1.977,1680.0,6.34
A,below_vwap & green_bar,10pt_pullback,20pt_target,NO_MBP_FILTER,273,0.6374,1.933,1680.0,6.15
A,below_vwap & green_bar,10pt_pullback,20pt_target,NO_MBP_FILTER,273,0.6374,1.933,1680.0,6.15
A,below_vwap & green_bar,10pt_pullback,20pt_target,NO_MBP_FILTER,273,0.6374,1.933,1680.0,6.15
A,below_vwap & green_bar,10pt_pullback,20pt_target,NO_MBP_FILTER,273,0.6374,1.933,1680.0,6.15
A,green_bar,15pt_pullback,20pt_target,tight_spread,424,0.6274,1.716,2220.0,5.24
A,green_bar,15pt_pullback,20pt_target,tight_spread,424,0.6274,1.716,2220.0,5.24
A,green_bar,15pt_pullback,20pt_target,tight_spread,424,0.6274,1.716,2220.0,5.24
A,green_bar,15pt_pullback,20pt_target,tight_spread,424,0.6274,1.716,2220.0,5.24
A,green_bar,15pt_pullback,20pt_target,tight_spread,424,0.6274,1.716,2220.0,5.24
A,green_bar,15pt_pullback,20pt_target,tight_spread,424,0.6274,1.716,2220.0,5.24
A,below_vwap,10pt_pullback,25pt_target,positive_quote_pressure,8,0.625,2.083,65.0,8.12
A,below_vwap & large_premarket,10pt_pullback,25pt_target,positive_quote_pressure,8,0.625,2.083,65.0,8.12
A,CORE_ONLY,10pt_pullback,20pt_target,positive_quote_pressure,16,0.625,1.667,80.0,5.0
A,CORE_ONLY,10pt_pullback,20pt_target,positive_quote_pressure,16,0.625,1.667,80.0,5.0
A,large_premarket,10pt_pullback,20pt_target,positive_quote_pressure,16,0.625,1.667,80.0,5.0
A,large_premarket,10pt_pullback,20pt_target,positive_quote_pressure,16,0.625,1.667,80.0,5.0
A,large_premarket,10pt_pullback,20pt_target,positive_quote_pressure,16,0.625,1.667,80.0,5.0
A,CORE_ONLY,10pt_pullback,20pt_target,positive_quote_pressure,16,0.625,1.667,80.0,5.0
A,large_premarket,10pt_pullback,20pt_target,positive_quote_pressure,16,0.625,1.667,80.0,5.0
A,CORE_ONLY,10pt_pullback,20pt_target,positive_quote_pressure,16,0.625,1.667,80.0,5.0
A,green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,441,0.619,1.655,2160.0,4.9
A,green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,441,0.619,1.655,2160.0,4.9
A,green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,441,0.619,1.655,2160.0,4.9
A,green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,441,0.619,1.655,2160.0,4.9
A,green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,441,0.619,1.655,2160.0,4.9
A,green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,441,0.619,1.655,2160.0,4.9
A,large_premarket,10pt_pullback,25pt_target,tight_spread,254,0.6181,2.023,1985.0,7.81
A,large_premarket & green_bar,10pt_pullback,25pt_target,tight_spread,248,0.6169,2.013,1925.0,7.76
A,large_premarket & green_bar,10pt_pullback,25pt_target,tight_spread,248,0.6169,2.013,1925.0,7.76
A,large_premarket,10pt_pullback,25pt_target,NO_MBP_FILTER,272,0.614,1.988,2075.0,7.63
A,green_bar,10pt_pullback,30pt_target,tight_spread,424,0.6085,2.404,4520.0,10.66
A,large_premarket & green_bar,10pt_pullback,25pt_target,NO_MBP_FILTER,265,0.6075,1.935,1945.0,7.34
A,large_premarket & green_bar,10pt_pullback,25pt_target,NO_MBP_FILTER,265,0.6075,1.935,1945.0,7.34
A,CORE_ONLY,15pt_pullback,20pt_target,tight_spread,434,0.606,1.556,1880.0,4.33
A,CORE_ONLY,15pt_pullback,20pt_target,tight_spread,434,0.606,1.556,1880.0,4.33
A,CORE_ONLY,15pt_pullback,20pt_target,tight_spread,434,0.606,1.556,1880.0,4.33
A,CORE_ONLY,15pt_pullback,20pt_target,tight_spread,434,0.606,1.556,1880.0,4.33
A,CORE_ONLY,15pt_pullback,20pt_target,tight_spread,434,0.606,1.556,1880.0,4.33
A,CORE_ONLY,15pt_pullback,20pt_target,tight_spread,434,0.606,1.556,1880.0,4.33
A,low_volatility,5pt_pullback,20pt_target,tight_spread,152,0.6053,1.586,680.0,4.47
A,low_volatility,15pt_pullback,20pt_target,tight_spread,152,0.6053,1.586,680.0,4.47
A,low_volatility,15pt_pullback,20pt_target,tight_spread,152,0.6053,1.586,680.0,4.47
A,low_volatility,15pt_pullback,20pt_target,NO_MBP_FILTER,152,0.6053,1.586,680.0,4.47
A,low_volatility,15pt_pullback,20pt_target,NO_MBP_FILTER,152,0.6053,1.586,680.0,4.47
A,low_volatility,5pt_pullback,20pt_target,NO_MBP_FILTER,152,0.6053,1.586,680.0,4.47
