model,date,entry_ts,entry,exit,pnl,result,mfe,mae,bars_held,target_hit_bar,year
core_vwap_green_10pb,2018-03-02,2018-03-02 08:38:00,6681.5,6661.5,-20.0,LOSS,4.0,-35.5,3,-1,2018
core_vwap_green_10pb,2018-03-28,2018-03-28 09:17:00,6483.5,6463.5,-20.0,LOSS,0.0,-24.75,1,-1,2018
core_vwap_green_10pb,2018-04-13,2018-04-13 09:02:00,6630.75,6650.75,20.0,WIN,21.75,-4.5,8,8,2018
core_vwap_green_10pb,2018-04-24,2018-04-24 09:00:00,6608.0,6588.0,-20.0,LOSS,0.0,-23.5,1,-1,2018
core_vwap_green_10pb,2018-06-21,2018-06-21 10:06:00,7272.0,7252.0,-20.0,LOSS,0.0,-25.75,11,-1,2018
core_vwap_green_10pb,2018-06-22,2018-06-22 14:00:00,7217.0,7217.0,0.0,EOD,11.75,0.0,13,-1,2018
core_vwap_green_10pb,2018-07-19,2018-07-19 10:42:00,7372.25,7372.25,0.0,EOD,8.75,-14.75,84,-1,2018
core_vwap_green_10pb,2018-09-10,2018-09-10 09:01:00,7422.75,7442.75,20.0,WIN,21.0,-0.25,6,6,2018
core_vwap_green_10pb,2018-10-18,2018-10-18 09:15:00,7212.75,7192.75,-20.0,LOSS,0.0,-25.25,3,-1,2018
core_vwap_green_10pb,2018-11-02,2018-11-02 08:39:00,6971.25,6991.25,20.0,WIN,20.5,-18.5,5,5,2018
core_vwap_green_10pb,2018-11-05,2018-11-05 09:00:00,6904.75,6884.75,-20.0,LOSS,0.0,-31.0,3,-1,2018
core_vwap_green_10pb,2018-12-04,2018-12-04 10:29:00,7005.75,6985.75,-20.0,LOSS,3.5,-57.25,15,-1,2018
core_vwap_green_10pb,2018-12-10,2018-12-10 09:45:00,6587.0,6607.0,20.0,WIN,20.25,0.0,1,1,2018
core_vwap_green_10pb,2018-12-17,2018-12-17 11:37:00,6586.0,6566.0,-20.0,LOSS,7.5,-33.25,10,-1,2018
core_vwap_green_10pb,2018-12-24,2018-12-24 08:38:00,6025.5,6005.5,-20.0,LOSS,6.5,-69.0,2,-1,2018
core_vwap_green_10pb,2019-01-10,2019-01-10 08:36:00,6551.25,6531.25,-20.0,LOSS,11.25,-21.75,7,-1,2019
core_vwap_green_10pb,2019-02-08,2019-02-08 08:58:00,6849.75,6849.75,0.0,EOD,14.0,-7.0,29,-1,2019
core_vwap_green_10pb,2019-02-27,2019-02-27 09:04:00,7081.25,7061.25,-20.0,LOSS,2.25,-25.5,4,-1,2019
core_vwap_green_10pb,2019-03-22,2019-03-22 08:52:00,7443.5,7423.5,-20.0,LOSS,10.25,-20.0,17,-1,2019
