model,date,entry,exit,pnl,result,mfe,mae,bars_held,year
disp_reclaim_fvg,2018-03-02,6675.0,6660.0,-15.0,LOSS,13.5,-26.25,13,2018
disp_reclaim_fvg,2020-10-14,12010.0,11995.0,-15.0,LOSS,16.5,-16.75,15,2020
disp_reclaim_fvg,2020-12-21,12589.125,12574.125,-15.0,LOSS,12.375,-22.625,18,2020
disp_reclaim_fvg,2021-01-12,12854.0,12874.0,20.0,WIN,22.0,0.0,87,2021
disp_reclaim_fvg,2021-02-18,13531.625,13516.625,-15.0,LOSS,10.375,-15.625,46,2021
disp_reclaim_fvg,2022-02-11,14613.25,14633.25,20.0,WIN,28.75,-1.5,38,2022
disp_reclaim_fvg,2022-05-06,12663.375,12683.375,20.0,WIN,24.375,-4.125,7,2022
disp_reclaim_fvg,2022-09-15,12066.25,12051.25,-15.0,LOSS,15.75,-22.25,62,2022
disp_reclaim_fvg,2023-08-25,14797.75,14817.75,20.0,WIN,23.5,-3.75,32,2023
disp_reclaim_fvg,2023-12-04,15855.25,15875.25,20.0,WIN,20.75,-9.75,1,2023
disp_reclaim_fvg,2024-01-03,16605.125,16625.125,20.0,WIN,28.625,-1.875,6,2024
disp_reclaim_fvg,2024-02-16,17765.25,17785.25,20.0,WIN,20.25,-3.75,282,2024
disp_reclaim_fvg,2024-04-17,17811.25,17831.25,20.0,WIN,24.0,-0.5,5,2024
disp_reclaim_fvg,2024-07-18,19936.25,19921.25,-15.0,LOSS,19.5,-21.75,20,2024
disp_reclaim_fvg,2024-10-03,19952.625,19972.625,20.0,WIN,21.375,-7.375,3,2024
disp_reclaim_fvg,2024-11-04,20105.25,20125.25,20.0,WIN,30.75,-2.25,5,2024
disp_reclaim_fvg,2025-12-11,25497.25,25517.25,20.0,WIN,21.5,0.0,40,2025
disp_reclaim_fvg,2026-03-06,24737.875,24757.875,20.0,WIN,28.875,-13.625,303,2026
disp_reclaim_fvg,2026-03-13,24509.125,24529.125,20.0,WIN,22.125,-7.875,14,2026
disp_reclaim_largepm,2020-10-14,12010.0,11995.0,-15.0,LOSS,16.5,-16.75,15,2020
disp_reclaim_largepm,2022-02-11,14613.25,14633.25,20.0,WIN,28.75,-1.5,38,2022
disp_reclaim_largepm,2022-05-06,12663.375,12683.375,20.0,WIN,24.375,-4.125,7,2022
disp_reclaim_largepm,2022-09-15,12066.25,12051.25,-15.0,LOSS,15.75,-22.25,62,2022
disp_reclaim_largepm,2023-08-25,14797.75,14817.75,20.0,WIN,23.5,-3.75,32,2023
disp_reclaim_largepm,2023-12-04,15855.25,15875.25,20.0,WIN,20.75,-9.75,1,2023
disp_reclaim_largepm,2024-02-16,17765.25,17785.25,20.0,WIN,20.25,-3.75,282,2024
disp_reclaim_largepm,2024-04-17,17811.25,17831.25,20.0,WIN,24.0,-0.5,5,2024
disp_reclaim_largepm,2024-07-18,19936.25,19921.25,-15.0,LOSS,19.5,-21.75,20,2024
disp_reclaim_largepm,2024-10-03,19952.625,19972.625,20.0,WIN,21.375,-7.375,3,2024
disp_reclaim_largepm,2024-11-04,20105.25,20125.25,20.0,WIN,30.75,-2.25,5,2024
disp_reclaim_largepm,2026-03-06,24737.875,24757.875,20.0,WIN,28.875,-13.625,303,2026
disp_reclaim_largepm,2026-03-13,24509.125,24529.125,20.0,WIN,22.125,-7.875,14,2026
