disp,fvg_min,tp,sl,trades,wins,losses,winrate,profit_factor,net_points
10,2,20,12,24,24,0,1.0,999,480
8,2,20,15,24,24,0,1.0,999,480
8,2,20,20,24,24,0,1.0,999,480
12,3,20,20,24,24,0,1.0,999,480
12,3,20,15,24,24,0,1.0,999,480
12,3,20,12,24,24,0,1.0,999,480
8,3,20,12,24,24,0,1.0,999,480
8,3,20,15,24,24,0,1.0,999,480
8,3,20,20,24,24,0,1.0,999,480
8,2,20,12,24,24,0,1.0,999,480
12,2,20,20,24,24,0,1.0,999,480
12,2,20,15,24,24,0,1.0,999,480
12,2,20,12,24,24,0,1.0,999,480
10,3,20,20,24,24,0,1.0,999,480
10,3,20,15,24,24,0,1.0,999,480
10,3,20,12,24,24,0,1.0,999,480
10,2,20,15,24,24,0,1.0,999,480
10,2,20,20,24,24,0,1.0,999,480
12,2,25,12,17,17,0,1.0,999,425
8,2,25,20,17,17,0,1.0,999,425
12,3,25,20,17,17,0,1.0,999,425
10,2,25,12,17,17,0,1.0,999,425
10,2,25,15,17,17,0,1.0,999,425
10,2,25,20,17,17,0,1.0,999,425
8,2,25,12,17,17,0,1.0,999,425
12,3,25,15,17,17,0,1.0,999,425
12,3,25,12,17,17,0,1.0,999,425
10,3,25,12,17,17,0,1.0,999,425
10,3,25,15,17,17,0,1.0,999,425
10,3,25,20,17,17,0,1.0,999,425
8,2,25,15,17,17,0,1.0,999,425
8,3,25,12,17,17,0,1.0,999,425
12,2,25,20,17,17,0,1.0,999,425
12,2,25,15,17,17,0,1.0,999,425
8,3,25,15,17,17,0,1.0,999,425
8,3,25,20,17,17,0,1.0,999,425
8,4,20,15,19,19,0,1.0,999,380
8,4,20,12,19,19,0,1.0,999,380
10,4,20,20,19,19,0,1.0,999,380
10,4,20,15,19,19,0,1.0,999,380
10,4,20,12,19,19,0,1.0,999,380
8,4,20,20,19,19,0,1.0,999,380
12,4,20,12,19,19,0,1.0,999,380
12,4,20,15,19,19,0,1.0,999,380
12,4,20,20,19,19,0,1.0,999,380
10,4,25,20,14,14,0,1.0,999,350
10,4,25,15,14,14,0,1.0,999,350
10,4,25,12,14,14,0,1.0,999,350
8,4,25,15,14,14,0,1.0,999,350
8,4,25,12,14,14,0,1.0,999,350
8,4,25,20,14,14,0,1.0,999,350
12,4,25,12,14,14,0,1.0,999,350
12,4,25,15,14,14,0,1.0,999,350
12,4,25,20,14,14,0,1.0,999,350
