tier,disp,fvg_min,tp,sl,be_trigger,large_pm,mbp,trades,wins,losses,breakevens,winrate,profit_factor,net_points,avg_trade
REJECT,10,4,20,20,12,false,false,17,3,1,13,0.1765,3.0,40.0,2.35
REJECT,10,3,20,20,12,false,false,23,4,1,18,0.1739,4.0,60.0,2.61
REJECT,8,3,20,20,12,false,false,24,4,2,18,0.1667,3.855,59.25,2.47
REJECT,8,4,20,20,12,false,false,18,3,2,13,0.1667,2.892,39.25,2.18
REJECT,10,2,20,20,12,false,false,25,4,3,18,0.16,1.333,20.0,0.8
REJECT,8,2,20,20,12,false,false,28,4,4,20,0.1429,1.317,19.25,0.69
REJECT,8,3,20,15,12,true,false,15,2,0,13,0.1333,999.0,40.0,2.67
REJECT,8,3,20,20,12,true,false,15,2,0,13,0.1333,999.0,40.0,2.67
REJECT,10,3,20,12,12,true,false,15,2,0,13,0.1333,999.0,40.0,2.67
REJECT,8,3,20,12,12,true,false,15,2,0,13,0.1333,999.0,40.0,2.67
REJECT,10,3,20,20,12,true,false,15,2,0,13,0.1333,999.0,40.0,2.67
REJECT,10,3,20,15,12,true,false,15,2,0,13,0.1333,999.0,40.0,2.67
REJECT,10,3,25,20,10,false,false,23,3,0,20,0.1304,999.0,75.0,3.26
REJECT,10,3,20,20,10,false,false,23,3,0,20,0.1304,999.0,60.0,2.61
REJECT,10,3,25,20,12,false,false,23,3,1,19,0.1304,3.75,55.0,2.39
REJECT,10,3,20,12,12,false,false,23,3,2,18,0.1304,2.5,36.0,1.57
REJECT,10,3,20,15,12,false,false,23,3,2,18,0.1304,2.0,30.0,1.3
REJECT,8,3,25,20,10,false,false,24,3,1,20,0.125,100.0,74.25,3.09
REJECT,8,3,20,20,10,false,false,24,3,1,20,0.125,80.0,59.25,2.47
REJECT,8,3,25,20,12,false,false,24,3,2,19,0.125,3.614,54.25,2.26
REJECT,8,3,20,12,12,false,false,24,3,3,18,0.125,2.424,35.25,1.47
REJECT,8,3,20,15,12,false,false,24,3,3,18,0.125,1.951,29.25,1.22
REJECT,10,2,25,20,10,false,false,25,3,1,21,0.12,3.75,55.0,2.2
REJECT,10,2,20,20,10,false,false,25,3,1,21,0.12,3.0,40.0,1.6
REJECT,10,2,25,20,12,false,false,25,3,3,19,0.12,1.25,15.0,0.6
REJECT,10,2,20,12,12,false,false,25,3,4,18,0.12,1.25,12.0,0.48
REJECT,10,2,20,15,12,false,false,25,3,4,18,0.12,1.0,0.0,0.0
