disp,fvg_min,tp,sl,be_trigger,large_pm,mbp,date,setup_ts,entry,exit,pnl,result,mfe,mae,bars
8,2,20,12,8,false,false,2018-03-02,2018-03-02 08:31:00,6675.0,6675.0,0.0,BE,8.75,-4.5,6
8,2,20,12,8,false,false,2020-11-18,2020-11-18 09:20:00,11943.375,11963.375,20.0,WIN,20.875,-7.125,28
8,2,20,12,8,false,false,2020-12-21,2020-12-21 08:31:00,12589.125,12589.125,0.0,BE,12.375,-5.625,17
8,2,20,12,8,false,false,2021-01-12,2021-01-12 08:54:00,12863.25,12862.5,-0.75,TIME_EXIT,6.75,-8.25,120
8,2,20,12,8,false,false,2021-02-16,2021-02-16 08:42:00,13837.25,13837.25,0.0,BE,9.75,-1.25,29
8,2,20,12,8,false,false,2021-02-18,2021-02-18 10:15:00,13531.625,13531.625,0.0,BE,10.375,-3.625,24
8,2,20,12,8,false,false,2021-03-24,2021-03-24 08:53:00,12977.5,12977.5,0.0,BE,10.25,-6.5,57
8,2,20,12,8,false,false,2021-06-01,2021-06-01 09:35:00,13647.875,13647.875,0.0,BE,15.125,-5.375,25
8,2,20,12,8,false,false,2022-02-11,2022-02-11 09:20:00,14613.25,14613.25,0.0,BE,28.75,-1.5,38
8,2,20,12,8,false,false,2022-02-16,2022-02-16 09:01:00,14416.5,14416.5,0.0,BE,14.0,-6.0,1
8,2,20,12,8,false,false,2022-02-17,2022-02-17 10:13:00,14373.625,14373.625,0.0,BE,8.375,-0.125,3
8,2,20,12,8,false,false,2022-09-15,2022-09-15 11:00:00,12066.25,12066.25,0.0,BE,15.75,-14.0,61
8,2,20,12,8,false,false,2022-11-16,2022-11-16 08:53:00,11761.0,11761.0,0.0,BE,10.5,-5.25,14
8,2,20,12,8,false,false,2023-06-23,2023-06-23 08:30:00,15043.0,15043.0,0.0,BE,16.75,-0.5,21
8,2,20,12,8,false,false,2023-08-09,2023-08-09 09:03:00,15207.875,15195.875,-12.0,LOSS,4.375,-14.875,9
8,2,20,12,8,false,false,2023-08-25,2023-08-25 09:25:00,14797.75,14797.75,0.0,BE,23.5,-3.75,32
