model,tp,stop,retest_buffer,trades,winrate,net_points,avg_trade,max_dd_points,gross_win,gross_loss,profit_factor,tier
ORB_RETEST_TP20_SL20_BUF4,20,20,4,1580,0.6146,7383.75,4.67,-208.5,18813.75,11430.0,1.646,CANDIDATE
ORB_RETEST_TP20_SL20_BUF2,20,20,2,1560,0.5994,6286.25,4.03,-208.75,18032.5,11746.25,1.535,CANDIDATE
ORB_RETEST_TP20_SL40_BUF4,20,40,4,1580,0.7108,7342.0,4.65,-357.5,21626.0,14284.0,1.514,CANDIDATE
ORB_RETEST_TP20_SL30_BUF4,20,30,4,1580,0.6671,6702.25,4.24,-273.0,20336.5,13634.25,1.492,CANDIDATE
ORB_RETEST_TP30_SL20_BUF4,30,20,4,1580,0.5032,6993.5,4.43,-200.0,21676.25,14682.75,1.476,CANDIDATE
ORB_RETEST_TP20_SL20_BUF0,20,20,0,1519,0.5839,5352.25,3.52,-250.5,17092.25,11740.0,1.456,CANDIDATE
ORB_RETEST_TP20_SL40_BUF2,20,40,2,1560,0.6974,6080.75,3.9,-357.5,20864.75,14784.0,1.411,CANDIDATE
ORB_RETEST_TP20_SL30_BUF2,20,30,2,1560,0.6532,5532.25,3.55,-273.0,19575.25,14043.0,1.394,CANDIDATE
ORB_RETEST_TP30_SL20_BUF2,30,20,2,1560,0.4897,5775.75,3.7,-276.25,20693.0,14917.25,1.387,CANDIDATE
ORB_RETEST_TP40_SL40_BUF4,40,40,4,1580,0.5595,7776.5,4.92,-529.5,29559.0,21782.5,1.357,CANDIDATE
ORB_RETEST_TP20_SL40_BUF0,20,40,0,1519,0.6853,5202.75,3.43,-437.5,19878.25,14675.5,1.355,CANDIDATE
ORB_RETEST_TP20_SL30_BUF0,20,30,0,1519,0.6419,4819.75,3.17,-352.25,18683.25,13863.5,1.348,CANDIDATE
ORB_RETEST_TP30_SL40_BUF4,30,40,4,1580,0.6101,6668.5,4.22,-721.75,25886.25,19217.75,1.347,CANDIDATE
ORB_RETEST_TP40_SL30_BUF4,40,30,4,1580,0.5025,6479.5,4.1,-381.0,26870.5,20391.0,1.318,CANDIDATE
ORB_RETEST_TP30_SL30_BUF4,30,30,4,1580,0.5582,5762.0,3.65,-496.0,23877.75,18115.75,1.318,CANDIDATE
ORB_RETEST_TP40_SL40_BUF2,40,40,2,1560,0.5513,6535.75,4.19,-716.75,28490.0,21954.25,1.298,CANDIDATE
ORB_RETEST_TP30_SL40_BUF2,30,40,2,1560,0.5987,5299.75,3.4,-871.75,24905.75,19606.0,1.27,CANDIDATE
ORB_RETEST_TP40_SL30_BUF2,40,30,2,1560,0.4929,5203.5,3.34,-601.0,25749.25,20545.75,1.253,CANDIDATE
ORB_RETEST_TP40_SL40_BUF0,40,40,0,1519,0.5392,5286.25,3.48,-782.25,26986.75,21700.5,1.244,CANDIDATE
ORB_RETEST_TP30_SL30_BUF2,30,30,2,1560,0.5462,4490.25,2.88,-676.0,22897.25,18407.0,1.244,CANDIDATE
ORB_RETEST_TP30_SL40_BUF0,30,40,0,1519,0.5885,4477.5,2.95,-907.25,23746.0,19268.5,1.232,CANDIDATE
ORB_RETEST_TP30_SL30_BUF0,30,30,0,1519,0.5379,3835.75,2.53,-750.25,21857.5,18021.75,1.213,CANDIDATE
ORB_RETEST_TP40_SL30_BUF0,40,30,0,1519,0.4839,4282.5,2.82,-556.5,24448.0,20165.5,1.212,CANDIDATE
ORB_RETEST_TP40_SL20_BUF4,40,20,4,1580,0.4475,7823.5,4.95,-203.0,24163.5,16340.0,1.479,REJECT
ORB_RETEST_TP40_SL20_BUF2,40,20,2,1560,0.4372,6620.75,4.24,-286.0,23075.25,16454.5,1.402,REJECT
ORB_RETEST_TP40_SL20_BUF0,40,20,0,1519,0.4253,5468.0,3.6,-345.25,21754.5,16286.5,1.336,REJECT
ORB_RETEST_TP30_SL20_BUF0,30,20,0,1519,0.4779,4822.75,3.17,-359.25,19596.25,14773.5,1.326,REJECT
