fvg_ts,fvg_available_ts,direction,gap_low,gap_high,touch_found,skip_reason
2025-12-31T20:00:00.000000,2026-01-01T00:00:00.000000,SHORT,25539.5,25542.5,true,
2026-01-01T20:00:00.000000,2026-01-02T00:00:00.000000,SHORT,25504.0,25532.0,true,
2026-01-02T04:00:00.000000,2026-01-02T08:00:00.000000,LONG,25504.0,25612.5,true,stop_above_75
2026-01-02T08:00:00.000000,2026-01-02T12:00:00.000000,LONG,25625.75,25637.0,true,
2026-01-02T16:00:00.000000,2026-01-02T20:00:00.000000,SHORT,25457.0,25637.0,true,stop_above_75
2026-01-05T12:00:00.000000,2026-01-05T16:00:00.000000,LONG,25509.0,25520.25,false,no_first_touch_in_entry_window
2026-01-06T04:00:00.000000,2026-01-06T08:00:00.000000,LONG,25613.0,25620.5,true,
2026-01-06T20:00:00.000000,2026-01-07T00:00:00.000000,LONG,25779.0,25801.25,true,
2026-01-07T08:00:00.000000,2026-01-07T12:00:00.000000,SHORT,25788.0,25796.75,true,
2026-01-07T16:00:00.000000,2026-01-07T20:00:00.000000,LONG,25788.0,25879.25,true,stop_above_75
2026-01-08T00:00:00.000000,2026-01-08T04:00:00.000000,SHORT,25844.5,25879.25,false,no_first_touch_in_entry_window
2026-01-08T04:00:00.000000,2026-01-08T08:00:00.000000,SHORT,25805.25,25814.5,true,
2026-01-08T16:00:00.000000,2026-01-08T20:00:00.000000,SHORT,25703.75,25738.75,false,no_first_touch_in_entry_window
2026-01-09T16:00:00.000000,2026-01-09T20:00:00.000000,LONG,25767.25,25810.75,true,
2026-01-09T20:00:00.000000,2026-01-10T00:00:00.000000,LONG,25879.0,25923.25,false,no_first_touch_in_entry_window
2026-01-12T00:00:00.000000,2026-01-12T04:00:00.000000,SHORT,25902.75,25923.25,false,no_first_touch_in_entry_window
2026-01-12T04:00:00.000000,2026-01-12T08:00:00.000000,SHORT,25746.25,25870.0,false,no_first_touch_in_entry_window
2026-01-12T16:00:00.000000,2026-01-12T20:00:00.000000,LONG,25750.0,25901.0,false,no_first_touch_in_entry_window
2026-01-13T00:00:00.000000,2026-01-13T04:00:00.000000,SHORT,25898.25,25901.0,false,no_first_touch_in_entry_window
2026-01-14T12:00:00.000000,2026-01-14T16:00:00.000000,SHORT,25805.5,25835.5,false,no_first_touch_in_entry_window
2026-01-14T16:00:00.000000,2026-01-14T20:00:00.000000,SHORT,25592.25,25712.25,true,stop_above_75
2026-01-15T08:00:00.000000,2026-01-15T12:00:00.000000,LONG,25643.0,25673.75,true,
2026-01-15T12:00:00.000000,2026-01-15T16:00:00.000000,LONG,25723.0,25803.25,false,no_first_touch_in_entry_window
2026-01-15T20:00:00.000000,2026-01-16T00:00:00.000000,SHORT,25771.75,25803.25,false,no_first_touch_in_entry_window
2026-01-16T04:00:00.000000,2026-01-16T08:00:00.000000,LONG,25771.75,25784.75,false,no_first_touch_in_entry_window
2026-01-16T16:00:00.000000,2026-01-16T20:00:00.000000,SHORT,25752.75,25795.5,false,no_first_touch_in_entry_window
2026-01-18T20:00:00.000000,2026-01-19T00:00:00.000000,SHORT,25472.0,25654.0,true,stop_above_75
2026-01-19T00:00:00.000000,2026-01-19T04:00:00.000000,SHORT,25470.0,25671.0,true,stop_above_75
2026-01-19T20:00:00.000000,2026-01-20T00:00:00.000000,LONG,25348.5,25367.25,false,no_first_touch_in_entry_window
2026-01-20T08:00:00.000000,2026-01-20T12:00:00.000000,SHORT,25288.25,25323.75,false,no_first_touch_in_entry_window
2026-01-20T20:00:00.000000,2026-01-21T00:00:00.000000,SHORT,25175.25,25181.0,false,no_first_touch_in_entry_window
2026-01-21T04:00:00.000000,2026-01-21T08:00:00.000000,LONG,25175.25,25183.0,false,no_first_touch_in_entry_window
2026-01-23T04:00:00.000000,2026-01-23T08:00:00.000000,LONG,25676.5,25682.25,false,no_first_touch_in_entry_window
2026-01-25T20:00:00.000000,2026-01-26T00:00:00.000000,SHORT,25585.5,25683.0,true,stop_above_75
2026-01-26T00:00:00.000000,2026-01-26T04:00:00.000000,SHORT,25668.75,25672.25,true,
2026-01-26T04:00:00.000000,2026-01-26T08:00:00.000000,LONG,25585.5,25622.75,true,
2026-01-26T16:00:00.000000,2026-01-26T20:00:00.000000,LONG,25742.0,25850.75,false,no_first_touch_in_entry_window
2026-01-27T04:00:00.000000,2026-01-27T08:00:00.000000,LONG,25897.0,25971.5,true,
2026-01-28T00:00:00.000000,2026-01-28T04:00:00.000000,LONG,26106.75,26135.5,false,no_first_touch_in_entry_window
2026-01-28T04:00:00.000000,2026-01-28T08:00:00.000000,LONG,26148.0,26200.5,false,no_first_touch_in_entry_window
2026-01-28T08:00:00.000000,2026-01-28T12:00:00.000000,LONG,26228.25,26252.5,false,no_first_touch_in_entry_window
2026-01-28T16:00:00.000000,2026-01-28T20:00:00.000000,SHORT,26210.25,26252.5,false,no_first_touch_in_entry_window
2026-01-29T16:00:00.000000,2026-01-29T20:00:00.000000,SHORT,25898.5,26175.25,false,no_first_touch_in_entry_window
2026-01-30T20:00:00.000000,2026-01-31T00:00:00.000000,SHORT,25731.75,25752.5,false,no_first_touch_in_entry_window
2026-02-02T12:00:00.000000,2026-02-02T16:00:00.000000,LONG,25376.0,25450.0,false,no_first_touch_in_entry_window
2026-02-02T16:00:00.000000,2026-02-02T20:00:00.000000,LONG,25491.25,25803.0,false,no_first_touch_in_entry_window
2026-02-03T16:00:00.000000,2026-02-03T20:00:00.000000,SHORT,25619.75,25935.0,false,no_first_touch_in_entry_window
2026-02-04T16:00:00.000000,2026-02-04T20:00:00.000000,SHORT,25171.5,25354.5,false,no_first_touch_in_entry_window
2026-02-05T16:00:00.000000,2026-02-05T20:00:00.000000,SHORT,24887.5,24978.75,false,no_first_touch_in_entry_window
2026-02-06T12:00:00.000000,2026-02-06T16:00:00.000000,LONG,24613.75,24700.75,false,no_first_touch_in_entry_window
2026-02-06T16:00:00.000000,2026-02-06T20:00:00.000000,LONG,24873.25,24880.5,false,no_first_touch_in_entry_window
2026-02-06T20:00:00.000000,2026-02-07T00:00:00.000000,LONG,24984.0,25052.75,false,no_first_touch_in_entry_window
2026-02-08T20:00:00.000000,2026-02-09T00:00:00.000000,LONG,25124.0,25153.75,false,no_first_touch_in_entry_window
2026-02-09T16:00:00.000000,2026-02-09T20:00:00.000000,LONG,25215.25,25305.75,false,no_first_touch_in_entry_window
2026-02-12T08:00:00.000000,2026-02-12T12:00:00.000000,LONG,25320.75,25324.75,false,no_first_touch_in_entry_window
2026-02-12T16:00:00.000000,2026-02-12T20:00:00.000000,SHORT,25031.75,25324.75,false,no_first_touch_in_entry_window
2026-02-12T20:00:00.000000,2026-02-13T00:00:00.000000,SHORT,24912.75,25006.5,false,no_first_touch_in_entry_window
2026-02-16T16:00:00.000000,2026-02-16T20:00:00.000000,SHORT,24770.75,24841.0,false,no_first_touch_in_entry_window
2026-02-17T04:00:00.000000,2026-02-17T08:00:00.000000,SHORT,24663.75,24739.0,false,no_first_touch_in_entry_window
2026-02-18T08:00:00.000000,2026-02-18T12:00:00.000000,LONG,24798.75,24833.5,false,no_first_touch_in_entry_window
2026-02-23T00:00:00.000000,2026-02-23T04:00:00.000000,SHORT,24971.0,25014.25,false,no_first_touch_in_entry_window
2026-02-23T04:00:00.000000,2026-02-23T08:00:00.000000,SHORT,24914.75,24936.5,false,no_first_touch_in_entry_window
2026-02-23T16:00:00.000000,2026-02-23T20:00:00.000000,SHORT,24820.25,24877.5,false,no_first_touch_in_entry_window
2026-02-24T16:00:00.000000,2026-02-24T20:00:00.000000,LONG,24865.5,24969.25,false,no_first_touch_in_entry_window
2026-02-25T12:00:00.000000,2026-02-25T16:00:00.000000,LONG,25067.75,25105.0,false,no_first_touch_in_entry_window
2026-02-25T16:00:00.000000,2026-02-25T20:00:00.000000,LONG,25128.5,25282.75,false,no_first_touch_in_entry_window
2026-02-26T08:00:00.000000,2026-02-26T12:00:00.000000,LONG,25341.5,25343.25,false,no_first_touch_in_entry_window
2026-02-26T16:00:00.000000,2026-02-26T20:00:00.000000,SHORT,25099.0,25343.25,false,no_first_touch_in_entry_window
2026-03-01T20:00:00.000000,2026-03-02T00:00:00.000000,SHORT,24815.0,24873.0,false,no_first_touch_in_entry_window
2026-03-02T16:00:00.000000,2026-03-02T20:00:00.000000,LONG,24729.0,24852.0,false,no_first_touch_in_entry_window
2026-03-03T04:00:00.000000,2026-03-03T08:00:00.000000,SHORT,24864.0,24944.25,false,no_first_touch_in_entry_window
2026-03-03T08:00:00.000000,2026-03-03T12:00:00.000000,SHORT,24694.5,24804.25,false,no_first_touch_in_entry_window
2026-03-03T12:00:00.000000,2026-03-03T16:00:00.000000,SHORT,24661.25,24668.5,false,no_first_touch_in_entry_window
