fvg_ts,fvg_available_ts,entry_ts,exit_ts,direction,gap_low,gap_high,entry,stop,risk,tp1,tp2,tp3,c1_result,c1_exit,c1_points,c2_result,c2_exit,c2_points,c3_result,c3_exit,c3_points,net_points_total,net_dollars_total
2025-12-31T20:00:00.000000,2026-01-01T00:00:00.000000,2026-01-05T08:30:00.000000,2026-01-05T08:31:00.000000,SHORT,25539.5,25542.5,25539.5,25542.75,3.25,25536.25,25534.625,25533.0,TP1,25536.25,2.75,BE,25539.5,-0.5,BE,25539.5,-0.5,1.75,-3.94
2026-01-01T20:00:00.000000,2026-01-02T00:00:00.000000,2026-01-05T08:35:00.000000,2026-01-05T08:35:00.000000,SHORT,25504.0,25532.0,25504.0,25532.25,28.25,25475.75,25461.625,25447.5,STOP,25532.25,-28.75,STOP,25532.25,-28.75,STOP,25532.25,-28.75,-86.25,-179.94
2026-01-02T08:00:00.000000,2026-01-02T12:00:00.000000,2026-01-12T08:40:00.000000,2026-01-12T08:52:00.000000,LONG,25625.75,25637.0,25637.0,25625.5,11.5,25648.5,25654.25,25660.0,TP1,25648.5,11.0,TP2,25654.25,16.75,TP3,25660.0,22.5,50.25,93.06
2026-01-06T04:00:00.000000,2026-01-06T08:00:00.000000,2026-01-23T08:30:00.000000,2026-01-23T08:33:00.000000,LONG,25613.0,25620.5,25620.5,25612.75,7.75,25628.25,25632.125,25636.0,TP1,25628.25,7.25,TP2,25632.125,11.12,BE,25620.5,-0.5,17.88,28.31
2026-01-06T20:00:00.000000,2026-01-07T00:00:00.000000,2026-01-30T08:54:00.000000,2026-01-30T08:54:00.000000,LONG,25779.0,25801.25,25801.25,25778.75,22.5,25823.75,25835.0,25846.25,STOP,25778.75,-23.0,STOP,25778.75,-23.0,STOP,25778.75,-23.0,-69.0,-145.44
2026-01-07T08:00:00.000000,2026-01-07T12:00:00.000000,2026-01-30T08:57:00.000000,2026-01-30T08:59:00.000000,SHORT,25788.0,25796.75,25788.0,25797.0,9.0,25779.0,25774.5,25770.0,TP1,25779.0,8.5,TP2,25774.5,13.0,TP3,25770.0,17.5,39.0,70.56
2026-01-08T04:00:00.000000,2026-01-08T08:00:00.000000,2026-01-30T11:12:00.000000,2026-01-30T11:22:00.000000,SHORT,25805.25,25814.5,25805.25,25814.75,9.5,25795.75,25791.0,25786.25,TP1,25795.75,9.0,BE,25805.25,-0.5,BE,25805.25,-0.5,8.0,8.56
2026-01-09T16:00:00.000000,2026-01-09T20:00:00.000000,2026-01-30T11:23:00.000000,2026-01-30T12:01:00.000000,LONG,25767.25,25810.75,25810.75,25767.0,43.75,25854.5,25876.375,25898.25,TP1,25854.5,43.25,TP2,25876.375,65.12,TP3,25898.25,87.0,195.38,383.31
2026-01-15T08:00:00.000000,2026-01-15T12:00:00.000000,2026-04-14T08:30:00.000000,2026-04-14T08:31:00.000000,LONG,25643.0,25673.75,25673.75,25642.75,31.0,25704.75,25720.25,25735.75,STOP,25642.75,-31.5,STOP,25642.75,-31.5,STOP,25642.75,-31.5,-94.5,-196.44
2026-01-26T00:00:00.000000,2026-01-26T04:00:00.000000,2026-04-14T09:01:00.000000,2026-04-14T09:01:00.000000,SHORT,25668.75,25672.25,25668.75,25672.5,3.75,25665.0,25663.125,25661.25,STOP,25672.5,-4.25,STOP,25672.5,-4.25,STOP,25672.5,-4.25,-12.75,-32.94
2026-01-26T04:00:00.000000,2026-01-26T08:00:00.000000,2026-04-14T10:44:00.000000,2026-04-14T11:57:00.000000,LONG,25585.5,25622.75,25622.75,25585.25,37.5,25660.25,25679.0,25697.75,TP1,25660.25,37.0,TP2,25679.0,55.75,TP3,25697.75,74.5,167.25,327.06
2026-01-27T04:00:00.000000,2026-01-27T08:00:00.000000,2026-04-15T10:15:00.000000,2026-04-15T12:05:00.000000,LONG,25897.0,25971.5,25971.5,25896.75,74.75,26046.25,26083.625,26121.0,TP1,26046.25,74.25,BE,25971.5,-0.5,BE,25971.5,-0.5,73.25,139.06
2026-04-16T00:00:00.000000,2026-04-16T04:00:00.000000,2026-04-16T10:43:00.000000,2026-04-16T10:46:00.000000,LONG,26377.5,26388.75,26388.75,26377.25,11.5,26400.25,26406.0,26411.75,STOP,26377.25,-12.0,STOP,26377.25,-12.0,STOP,26377.25,-12.0,-36.0,-79.44
2026-04-19T20:00:00.000000,2026-04-20T00:00:00.000000,2026-04-20T08:50:00.000000,2026-04-20T12:43:00.000000,SHORT,26682.0,26735.5,26682.0,26735.75,53.75,26628.25,26601.375,26574.5,STOP,26735.75,-54.25,STOP,26735.75,-54.25,STOP,26735.75,-54.25,-162.75,-332.94
