model,trades,winrate,net_points,avg_trade,max_dd_points,wins,losses,gross_win,gross_loss,active_months,active_years,profit_factor,trades_per_month,tier
PROD_STACK_STRICT,819,0.6374,4429.0,5.41,-151.5,522,296,9574.25,5145.25,100,9,1.861,8.19,A_CANDIDATE
ATR_8_PLUS,1107,0.6405,6236.75,5.63,-121.75,709,398,14109.5,7872.75,96,9,1.792,11.53,A_CANDIDATE
VWAP_EMA20_ALIGN,1484,0.6321,7959.75,5.36,-140.0,938,546,18070.0,10110.25,101,9,1.787,14.69,A_CANDIDATE
VWAP_ALIGN,1485,0.6316,7939.75,5.35,-140.0,938,547,18070.0,10130.25,101,9,1.784,14.7,A_CANDIDATE
PROD_STACK_LIGHT,1248,0.629,6569.0,5.26,-140.0,785,463,15019.25,8450.25,101,9,1.777,12.36,A_CANDIDATE
SHORT_ONLY,902,0.6297,4766.5,5.28,-189.25,568,333,11092.5,6326.0,101,9,1.753,8.93,A_CANDIDATE
DISPLACEMENT_BREAK,1241,0.6245,6203.75,5.0,-159.25,775,464,14461.25,8257.5,101,9,1.751,12.29,A_CANDIDATE
REL_VOL_1_10,1576,0.6161,7475.25,4.74,-206.25,971,605,18814.75,11339.5,101,9,1.659,15.6,A_CANDIDATE
EMA20_ALIGN,1579,0.6149,7403.75,4.69,-208.5,971,608,18813.75,11410.0,101,9,1.649,15.63,A_CANDIDATE
BASE,1580,0.6146,7383.75,4.67,-208.5,971,609,18813.75,11430.0,101,9,1.646,15.64,A_CANDIDATE
OR_30_TO_90,1138,0.6142,5307.25,4.66,-260.5,699,439,13696.75,8389.5,101,9,1.633,11.27,A_CANDIDATE
OR_20_TO_80,1200,0.6067,5284.5,4.4,-208.5,728,472,13974.5,8690.0,98,9,1.608,12.24,A_CANDIDATE
LONG_ONLY,1015,0.6059,4258.5,4.2,-173.75,615,400,11639.75,7381.25,101,9,1.577,10.05,A_CANDIDATE
