model,trade_date,year,month,direction,break_time,entry_time,exit_time,or_high,or_low,or_range,entry,stop_price,target_price,tp,stop,retest_buffer,outcome,pnl_points,break_above_vwap,break_below_vwap,break_above_ema20,break_below_ema20,break_displacement,rel_vol_20,atr_14,equity,equity_high,drawdown
ATR_8_PLUS,2018-01-30,2018,2018-01,SHORT,2018-01-30 09:05:00,2018-01-30 09:06:00,2018-01-30 09:27:00,6949.75,6913.0,36.75,6913.0,6933.0,6893.0,20,20,4,LOSS,-20.0,false,true,false,true,true,1.754,8.14,-20.0,-20.0,0.0
ATR_8_PLUS,2018-02-02,2018,2018-02,SHORT,2018-02-02 09:00:00,2018-02-02 09:01:00,2018-02-02 09:05:00,6895.75,6835.5,60.25,6835.5,6855.5,6815.5,20,20,4,WIN,20.0,false,true,false,true,true,0.906,8.18,0.0,0.0,0.0
ATR_8_PLUS,2018-02-05,2018,2018-02,LONG,2018-02-05 09:05:00,2018-02-05 09:06:00,2018-02-05 09:09:00,6746.25,6682.5,63.75,6746.25,6726.25,6766.25,20,20,4,WIN,20.0,true,false,true,false,false,0.96,8.21,20.0,20.0,0.0
ATR_8_PLUS,2018-02-07,2018,2018-02,LONG,2018-02-07 09:05:00,2018-02-07 09:06:00,2018-02-07 09:15:00,6668.25,6623.5,44.75,6668.25,6648.25,6688.25,20,20,4,WIN,20.0,true,false,true,false,true,2.455,9.84,40.0,40.0,0.0
ATR_8_PLUS,2018-02-08,2018,2018-02,SHORT,2018-02-08 09:29:00,2018-02-08 09:34:00,2018-02-08 09:45:00,6604.25,6545.75,58.5,6545.75,6565.75,6525.75,20,20,4,WIN,20.0,false,true,false,true,false,1.365,9.55,60.0,60.0,0.0
ATR_8_PLUS,2018-02-09,2018,2018-02,SHORT,2018-02-09 09:40:00,2018-02-09 09:41:00,2018-02-09 09:44:00,6424.0,6351.25,72.75,6351.25,6371.25,6331.25,20,20,4,WIN,20.0,false,true,false,true,false,2.149,11.12,80.0,80.0,0.0
ATR_8_PLUS,2018-02-12,2018,2018-02,SHORT,2018-02-12 09:12:00,2018-02-12 09:13:00,2018-02-12 09:19:00,6516.75,6470.5,46.25,6470.5,6490.5,6450.5,20,20,4,WIN,20.0,false,true,false,true,true,1.07,12.0,100.0,100.0,0.0
ATR_8_PLUS,2018-02-13,2018,2018-02,LONG,2018-02-13 09:00:00,2018-02-13 09:10:00,2018-02-13 09:24:00,6514.5,6476.0,38.5,6514.5,6494.5,6534.5,20,20,4,WIN,20.0,true,false,true,false,true,2.222,10.46,120.0,120.0,0.0
ATR_8_PLUS,2018-02-14,2018,2018-02,LONG,2018-02-14 09:09:00,2018-02-14 09:13:00,2018-02-14 09:18:00,6575.25,6516.25,59.0,6575.25,6555.25,6595.25,20,20,4,WIN,20.0,true,false,true,false,false,2.118,9.39,140.0,140.0,0.0
ATR_8_PLUS,2018-02-15,2018,2018-02,SHORT,2018-02-15 09:44:00,2018-02-15 09:46:00,2018-02-15 09:59:00,6754.5,6702.75,51.75,6702.75,6722.75,6682.75,20,20,4,WIN,20.0,false,true,false,true,false,1.293,8.0,160.0,160.0,0.0
ATR_8_PLUS,2018-03-02,2018,2018-03,LONG,2018-03-02 09:34:00,2018-03-02 09:35:00,2018-03-02 09:42:00,6704.25,6646.0,58.25,6704.25,6684.25,6724.25,20,20,4,WIN,20.0,true,false,true,false,false,1.765,9.86,180.0,180.0,0.0
ATR_8_PLUS,2018-03-05,2018,2018-03,SHORT,2018-03-05 09:13:00,2018-03-05 09:14:00,2018-03-05 09:32:00,6801.75,6762.0,39.75,6762.0,6782.0,6742.0,20,20,4,LOSS,-20.0,false,true,false,true,false,0.856,8.0,160.0,180.0,-20.0
ATR_8_PLUS,2018-03-06,2018,2018-03,SHORT,2018-03-06 10:04:00,2018-03-06 10:05:00,2018-03-06 10:25:00,6933.75,6898.0,35.75,6898.0,6918.0,6878.0,20,20,4,WIN,20.0,false,true,false,true,false,0.912,8.23,180.0,180.0,0.0
ATR_8_PLUS,2018-03-26,2018,2018-03,SHORT,2018-03-26 09:06:00,2018-03-26 09:33:00,2018-03-26 09:52:00,6641.5,6607.25,34.25,6607.25,6627.25,6587.25,20,20,4,LOSS,-20.0,false,true,false,true,false,1.577,8.21,160.0,180.0,-20.0
ATR_8_PLUS,2018-03-27,2018,2018-03,SHORT,2018-03-27 09:00:00,2018-03-27 09:01:00,2018-03-27 09:38:00,6796.0,6759.25,36.75,6759.25,6779.25,6739.25,20,20,4,LOSS,-20.0,false,true,false,true,false,1.423,8.41,140.0,180.0,-40.0
ATR_8_PLUS,2018-03-28,2018,2018-03,LONG,2018-03-28 10:10:00,2018-03-28 10:32:00,2018-03-28 10:36:00,6513.0,6421.0,92.0,6513.0,6493.0,6533.0,20,20,4,WIN,20.0,true,false,true,false,true,2.33,15.09,160.0,180.0,-20.0
ATR_8_PLUS,2018-04-02,2018,2018-04,SHORT,2018-04-02 09:00:00,2018-04-02 09:01:00,2018-04-02 09:05:00,6480.25,6444.25,36.0,6444.25,6464.25,6424.25,20,20,4,WIN,20.0,false,true,false,true,false,1.481,9.21,180.0,180.0,0.0
ATR_8_PLUS,2018-04-03,2018,2018-04,LONG,2018-04-03 09:00:00,2018-04-03 09:01:00,2018-04-03 09:07:00,6446.0,6385.0,61.0,6446.0,6426.0,6466.0,20,20,4,WIN,20.0,true,false,true,false,false,1.094,10.39,200.0,200.0,0.0
ATR_8_PLUS,2018-04-04,2018,2018-04,LONG,2018-04-04 09:16:00,2018-04-04 09:17:00,2018-04-04 09:23:00,6429.5,6362.75,66.75,6429.5,6409.5,6449.5,20,20,4,WIN,20.0,true,false,true,false,false,1.757,8.93,220.0,220.0,0.0
