model,year,trades,winrate,net_points,avg_trade
ATR_8_PLUS,2018,70,0.7714,760.0,10.86
ATR_8_PLUS,2019,22,0.5909,80.0,3.64
ATR_8_PLUS,2020,141,0.6312,750.75,5.32
ATR_8_PLUS,2021,147,0.6259,758.25,5.16
ATR_8_PLUS,2022,167,0.6946,1274.25,7.63
ATR_8_PLUS,2023,206,0.6359,1143.25,5.55
ATR_8_PLUS,2024,174,0.6092,750.75,4.31
ATR_8_PLUS,2025,152,0.5855,519.5,3.42
ATR_8_PLUS,2026,28,0.6786,200.0,7.14
BASE,2018,196,0.6633,1272.0,6.49
BASE,2019,170,0.5353,331.0,1.95
BASE,2020,217,0.6406,1217.25,5.61
BASE,2021,216,0.6065,932.25,4.32
BASE,2022,170,0.7,1360.0,8.0
BASE,2023,231,0.6147,1105.0,4.78
BASE,2024,191,0.5759,586.25,3.07
BASE,2025,161,0.559,380.0,2.36
BASE,2026,28,0.6786,200.0,7.14
DISPLACEMENT_BREAK,2018,168,0.6845,1054.0,6.27
DISPLACEMENT_BREAK,2019,134,0.5224,168.0,1.25
DISPLACEMENT_BREAK,2020,178,0.5899,564.75,3.17
DISPLACEMENT_BREAK,2021,163,0.6319,966.5,5.93
DISPLACEMENT_BREAK,2022,122,0.7049,1035.25,8.49
DISPLACEMENT_BREAK,2023,172,0.6395,1082.75,6.3
DISPLACEMENT_BREAK,2024,145,0.6207,661.75,4.56
DISPLACEMENT_BREAK,2025,138,0.587,490.75,3.56
DISPLACEMENT_BREAK,2026,21,0.7143,180.0,8.57
EMA20_ALIGN,2018,196,0.6633,1272.0,6.49
EMA20_ALIGN,2019,170,0.5353,331.0,1.95
EMA20_ALIGN,2020,216,0.6435,1237.25,5.73
EMA20_ALIGN,2021,216,0.6065,932.25,4.32
EMA20_ALIGN,2022,170,0.7,1360.0,8.0
EMA20_ALIGN,2023,231,0.6147,1105.0,4.78
EMA20_ALIGN,2024,191,0.5759,586.25,3.07
EMA20_ALIGN,2025,161,0.559,380.0,2.36
EMA20_ALIGN,2026,28,0.6786,200.0,7.14
LONG_ONLY,2018,130,0.6385,676.25,5.2
LONG_ONLY,2019,101,0.5149,86.0,0.85
LONG_ONLY,2020,150,0.6333,759.5,5.06
LONG_ONLY,2021,133,0.594,540.0,4.06
LONG_ONLY,2022,93,0.6882,695.0,7.47
LONG_ONLY,2023,154,0.6104,682.25,4.43
LONG_ONLY,2024,127,0.5748,366.75,2.89
LONG_ONLY,2025,107,0.5607,252.75,2.36
LONG_ONLY,2026,20,0.75,200.0,10.0
OR_20_TO_80,2018,187,0.6631,1212.0,6.48
OR_20_TO_80,2019,168,0.5357,331.0,1.97
OR_20_TO_80,2020,172,0.6628,1117.25,6.5
OR_20_TO_80,2021,172,0.5814,572.25,3.33
