entry_ts,direction,result,net_points_total,risk,gap_size,penetration_points,penetration_pct,minutes_since_fvg_available,entry_vs_vwap,volume,candle_range,body_pct
2026-01-05T08:30:00.000000,SHORT,WIN,1.75,3.25,3.0,0.25,0.08333333333333333,6270.0,,84.0,4.5,0.4444444444444444
2026-01-05T08:35:00.000000,SHORT,LOSS,-86.25,28.25,28.0,32.5,1.1607142857142858,4835.0,,113.0,5.5,0.3181818181818182
2026-01-12T08:40:00.000000,LONG,WIN,50.25,11.5,11.25,3.75,0.3333333333333333,14200.0,,289.0,13.0,0.36538461538461536
2026-01-23T08:30:00.000000,LONG,WIN,17.88,7.75,7.5,1.0,0.13333333333333333,24510.0,,123.0,9.5,0.23684210526315788
2026-01-30T08:54:00.000000,LONG,LOSS,-69.0,22.5,22.25,41.25,1.853932584269663,33654.0,,456.0,24.75,0.9191919191919192
2026-01-30T08:57:00.000000,SHORT,WIN,39.0,9.0,8.75,4.5,0.5142857142857142,32937.0,,283.0,11.25,0.28888888888888886
2026-01-30T11:12:00.000000,SHORT,WIN,8.0,9.5,9.25,2.25,0.24324324324324326,31872.0,,150.0,9.75,0.6666666666666666
2026-01-30T11:23:00.000000,LONG,WIN,195.38,43.75,43.5,2.25,0.05172413793103448,29723.0,,158.0,6.75,0.8518518518518519
2026-04-14T08:30:00.000000,LONG,LOSS,-94.5,31.0,30.75,30.25,0.983739837398374,127950.0,,242.0,10.25,0.6829268292682927
2026-04-14T09:01:00.000000,SHORT,LOSS,-12.75,3.75,3.5,4.25,1.2142857142857142,112621.0,,141.0,8.0,0.6875
2026-04-14T10:44:00.000000,LONG,WIN,167.25,37.5,37.25,0.0,0.0,112484.0,,84.0,3.5,0.0
2026-04-15T10:15:00.000000,LONG,WIN,73.25,74.75,74.5,11.5,0.15436241610738255,112455.0,,738.0,25.0,0.62
2026-04-16T10:43:00.000000,LONG,LOSS,-36.0,11.5,11.25,0.25,0.022222222222222223,403.0,,242.0,8.75,0.6857142857142857
2026-04-20T08:50:00.000000,SHORT,LOSS,-162.75,53.75,53.5,4.25,0.0794392523364486,530.0,,141.0,10.5,0.6666666666666666
2026-04-22T08:36:00.000000,LONG,WIN,148.12,33.25,33.0,0.0,0.0,1716.0,,200.0,11.25,0.6222222222222222
2026-04-24T09:22:00.000000,LONG,WIN,257.25,57.5,57.25,1.5,0.026200873362445413,2002.0,,596.0,34.0,0.3088235294117647
2026-04-30T08:30:00.000000,SHORT,LOSS,-80.25,26.25,26.0,17.25,0.6634615384615384,2670.0,,242.0,14.75,0.1864406779661017
2026-04-30T08:40:00.000000,LONG,LOSS,-141.0,46.5,46.25,4.5,0.0972972972972973,280.0,,228.0,14.75,0.1864406779661017
2026-05-01T08:48:00.000000,LONG,WIN,5.0,6.5,6.25,0.75,0.12,528.0,,151.0,8.75,0.9142857142857143
