model,trade_date,entry_time,direction,pnl_points,rolling_50_net,rolling_50_wr
ATR_8_PLUS,2018-01-30,2018-01-30 09:06:00,SHORT,-20.0,,
ATR_8_PLUS,2018-02-02,2018-02-02 09:01:00,SHORT,20.0,,
ATR_8_PLUS,2018-02-05,2018-02-05 09:06:00,LONG,20.0,,
ATR_8_PLUS,2018-02-07,2018-02-07 09:06:00,LONG,20.0,,
ATR_8_PLUS,2018-02-08,2018-02-08 09:34:00,SHORT,20.0,,
ATR_8_PLUS,2018-02-09,2018-02-09 09:41:00,SHORT,20.0,,
ATR_8_PLUS,2018-02-12,2018-02-12 09:13:00,SHORT,20.0,,
ATR_8_PLUS,2018-02-13,2018-02-13 09:10:00,LONG,20.0,,
ATR_8_PLUS,2018-02-14,2018-02-14 09:13:00,LONG,20.0,,
ATR_8_PLUS,2018-02-15,2018-02-15 09:46:00,SHORT,20.0,,
ATR_8_PLUS,2018-03-02,2018-03-02 09:35:00,LONG,20.0,,
ATR_8_PLUS,2018-03-05,2018-03-05 09:14:00,SHORT,-20.0,,
ATR_8_PLUS,2018-03-06,2018-03-06 10:05:00,SHORT,20.0,,
ATR_8_PLUS,2018-03-26,2018-03-26 09:33:00,SHORT,-20.0,,
ATR_8_PLUS,2018-03-27,2018-03-27 09:01:00,SHORT,-20.0,,
ATR_8_PLUS,2018-03-28,2018-03-28 10:32:00,LONG,20.0,,
ATR_8_PLUS,2018-04-02,2018-04-02 09:01:00,SHORT,20.0,,
ATR_8_PLUS,2018-04-03,2018-04-03 09:01:00,LONG,20.0,,
ATR_8_PLUS,2018-04-04,2018-04-04 09:17:00,LONG,20.0,,
ATR_8_PLUS,2018-04-06,2018-04-06 09:02:00,SHORT,-20.0,,
ATR_8_PLUS,2018-04-10,2018-04-10 09:52:00,SHORT,20.0,,
ATR_8_PLUS,2018-04-24,2018-04-24 09:29:00,SHORT,20.0,,
ATR_8_PLUS,2018-04-25,2018-04-25 09:02:00,LONG,20.0,,
ATR_8_PLUS,2018-04-27,2018-04-27 09:14:00,LONG,20.0,,
ATR_8_PLUS,2018-06-08,2018-06-08 09:09:00,LONG,-20.0,,
ATR_8_PLUS,2018-06-27,2018-06-27 09:15:00,SHORT,20.0,,
