model,year,trades,winrate,net_points,avg_trade,gross_win,gross_loss,profit_factor
ATR_8_PLUS,2018,70,0.7714,760.0,10.86,1080.0,320.0,3.375
ATR_8_PLUS,2019,22,0.5909,80.0,3.64,260.0,180.0,1.444
ATR_8_PLUS,2020,141,0.6312,750.75,5.32,1772.25,1021.5,1.735
ATR_8_PLUS,2021,147,0.6259,758.25,5.16,1840.0,1081.75,1.701
ATR_8_PLUS,2022,167,0.6946,1274.25,7.63,2294.25,1020.0,2.249
ATR_8_PLUS,2023,206,0.6359,1143.25,5.55,2608.5,1465.25,1.78
ATR_8_PLUS,2024,174,0.6092,750.75,4.31,2110.75,1360.0,1.552
ATR_8_PLUS,2025,152,0.5855,519.5,3.42,1763.75,1244.25,1.418
ATR_8_PLUS,2026,28,0.6786,200.0,7.14,380.0,180.0,2.111
PROD_STACK_STRICT,2018,134,0.6716,788.0,5.88,1517.0,729.0,2.081
PROD_STACK_STRICT,2019,112,0.5268,209.0,1.87,975.0,766.0,1.273
PROD_STACK_STRICT,2020,116,0.6466,631.75,5.45,1383.75,752.0,1.84
PROD_STACK_STRICT,2021,108,0.6296,575.0,5.32,1266.0,691.0,1.832
PROD_STACK_STRICT,2022,61,0.7541,587.25,9.63,887.25,300.0,2.958
PROD_STACK_STRICT,2023,114,0.6404,736.25,6.46,1419.5,683.25,2.078
PROD_STACK_STRICT,2024,90,0.7,658.25,7.31,1180.25,522.0,2.261
PROD_STACK_STRICT,2025,75,0.5733,223.5,2.98,845.5,622.0,1.359
PROD_STACK_STRICT,2026,9,0.5556,20.0,2.22,100.0,80.0,1.25
VWAP_ALIGN,2018,188,0.6702,1238.25,6.59,2244.25,1006.0,2.231
VWAP_ALIGN,2019,165,0.5515,460.5,2.79,1608.25,1147.75,1.401
VWAP_ALIGN,2020,206,0.6796,1467.75,7.12,2717.25,1249.5,2.175
VWAP_ALIGN,2021,205,0.6049,879.0,4.29,2420.75,1541.75,1.57
VWAP_ALIGN,2022,154,0.7208,1360.0,8.83,2220.0,860.0,2.581
VWAP_ALIGN,2023,217,0.6359,1225.0,5.65,2743.25,1518.25,1.807
VWAP_ALIGN,2024,181,0.5912,665.5,3.68,2112.5,1447.0,1.46
VWAP_ALIGN,2025,145,0.5724,403.75,2.78,1643.75,1240.0,1.326
VWAP_ALIGN,2026,24,0.75,240.0,10.0,360.0,120.0,3.0
VWAP_EMA20_ALIGN,2018,188,0.6702,1238.25,6.59,2244.25,1006.0,2.231
VWAP_EMA20_ALIGN,2019,165,0.5515,460.5,2.79,1608.25,1147.75,1.401
VWAP_EMA20_ALIGN,2020,205,0.6829,1487.75,7.26,2717.25,1229.5,2.21
VWAP_EMA20_ALIGN,2021,205,0.6049,879.0,4.29,2420.75,1541.75,1.57
VWAP_EMA20_ALIGN,2022,154,0.7208,1360.0,8.83,2220.0,860.0,2.581
VWAP_EMA20_ALIGN,2023,217,0.6359,1225.0,5.65,2743.25,1518.25,1.807
VWAP_EMA20_ALIGN,2024,181,0.5912,665.5,3.68,2112.5,1447.0,1.46
VWAP_EMA20_ALIGN,2025,145,0.5724,403.75,2.78,1643.75,1240.0,1.326
VWAP_EMA20_ALIGN,2026,24,0.75,240.0,10.0,360.0,120.0,3.0
