filter_type,threshold,trades,wins,losses,win_rate,net_points,avg_points,profit_factor
penetration_points,4.0,10,9,1,90.0,814.88,81.49,23.64
penetration_points,3.0,9,8,1,88.89,764.63,84.96,22.24
penetration_points,2.0,7,6,1,85.71,561.25,80.18,16.59
penetration_pct,0.6,14,11,3,78.57,623.38,44.53,2.83
penetration_points,15.0,15,11,4,73.33,610.63,40.71,2.73
penetration_points,12.0,15,11,4,73.33,610.63,40.71,2.73
penetration_pct,0.35,13,10,3,76.92,584.38,44.95,2.72
penetration_pct,0.4,13,10,3,76.92,584.38,44.95,2.72
penetration_pct,0.5,13,10,3,76.92,584.38,44.95,2.72
penetration_pct,0.25,12,9,3,75.0,534.13,44.51,2.57
penetration_pct,0.3,12,9,3,75.0,534.13,44.51,2.57
penetration_pct,0.2,11,8,3,72.73,526.13,47.83,2.55
penetration_points,6.0,14,10,4,71.43,537.38,38.38,2.52
penetration_points,5.0,14,10,4,71.43,537.38,38.38,2.52
penetration_points,8.0,14,10,4,71.43,537.38,38.38,2.52
penetration_points,10.0,14,10,4,71.43,537.38,38.38,2.52
penetration_pct,0.15,10,7,3,70.0,452.88,45.29,2.33
penetration_pct,0.75,15,11,4,73.33,543.13,36.21,2.29
penetration_pct,0.1,8,5,3,62.5,430.0,53.75,2.27
penetration_points,20.0,16,11,5,68.75,530.38,33.15,2.23
penetration_pct,1.0,16,11,5,68.75,448.63,28.04,1.87
