model,trade_date,year,month,direction,break_time,entry_time,exit_time,or_high,or_low,or_range,entry,stop_price,target_price,tp,stop,retest_buffer,outcome,pnl_points,break_above_vwap,break_below_vwap,break_above_ema20,break_below_ema20,break_displacement,rel_vol_20,atr_14,equity,equity_high,drawdown,date,year_int,idx,n
VWAP_ALIGN,2024-10-17,2024,2024-10,LONG,2024-10-17 09:29:00,2024-10-17 09:30:00,2024-10-17 09:38:00,20455.5,20377.25,78.25,20455.5,20435.5,20475.5,20,20,4,WIN,20.0,true,false,true,false,false,0.758,10.93,7121.0,7121.0,0.0,2024-10-17,2024,1285,1485
VWAP_ALIGN,2024-10-18,2024,2024-10,LONG,2024-10-18 09:22:00,2024-10-18 09:28:00,2024-10-18 09:31:00,20506.75,20452.0,54.75,20506.75,20486.75,20526.75,20,20,4,WIN,20.0,true,false,true,false,false,1.201,7.89,7141.0,7141.0,0.0,2024-10-18,2024,1286,1485
VWAP_ALIGN,2024-10-22,2024,2024-10,SHORT,2024-10-22 10:24:00,2024-10-22 10:25:00,2024-10-22 10:42:00,20512.0,20449.75,62.25,20449.75,20469.75,20429.75,20,20,4,WIN,20.0,false,true,false,true,false,1.227,6.52,7161.0,7161.0,0.0,2024-10-22,2024,1287,1485
VWAP_ALIGN,2024-10-23,2024,2024-10,SHORT,2024-10-23 09:00:00,2024-10-23 09:07:00,2024-10-23 09:12:00,20457.75,20390.5,67.25,20390.5,20410.5,20370.5,20,20,4,WIN,20.0,false,true,false,true,false,1.389,13.04,7181.0,7181.0,0.0,2024-10-23,2024,1288,1485
VWAP_ALIGN,2024-10-24,2024,2024-10,SHORT,2024-10-24 09:47:00,2024-10-24 10:06:00,2024-10-24 10:07:00,20374.0,20305.75,68.25,20305.75,20325.75,20285.75,20,20,4,WIN,20.0,false,true,false,true,true,4.193,12.18,7201.0,7201.0,0.0,2024-10-24,2024,1289,1485
VWAP_ALIGN,2024-10-28,2024,2024-10,SHORT,2024-10-28 09:00:00,2024-10-28 09:01:00,2024-10-28 09:02:00,20618.0,20564.25,53.75,20564.25,20584.25,20544.25,20,20,4,WIN,20.0,false,true,false,true,true,3.159,12.68,7221.0,7221.0,0.0,2024-10-28,2024,1290,1485
VWAP_ALIGN,2024-10-29,2024,2024-10,LONG,2024-10-29 09:00:00,2024-10-29 09:16:00,2024-10-29 09:20:00,20604.0,20542.0,62.0,20604.0,20584.0,20624.0,20,20,4,LOSS,-20.0,true,false,true,false,false,2.176,11.05,7201.0,7221.0,-20.0,2024-10-29,2024,1291,1485
VWAP_ALIGN,2024-10-30,2024,2024-10,SHORT,2024-10-30 09:10:00,2024-10-30 09:12:00,2024-10-30 09:15:00,20692.75,20629.25,63.5,20629.25,20649.25,20609.25,20,20,4,WIN,20.0,false,true,false,true,false,1.471,11.59,7221.0,7221.0,0.0,2024-10-30,2024,1292,1485
VWAP_ALIGN,2024-10-31,2024,2024-10,SHORT,2024-10-31 09:01:00,2024-10-31 09:02:00,2024-10-31 09:07:00,20157.0,20070.25,86.75,20070.25,20090.25,20050.25,20,20,4,LOSS,-20.0,false,true,false,true,false,1.255,14.54,7201.0,7221.0,-20.0,2024-10-31,2024,1293,1485
VWAP_ALIGN,2024-11-07,2024,2024-11,LONG,2024-11-07 09:00:00,2024-11-07 09:05:00,2024-11-07 09:33:00,21110.5,21004.0,106.5,21110.5,21090.5,21130.5,20,20,4,LOSS,-20.0,true,false,true,false,false,1.412,13.8,7181.0,7221.0,-40.0,2024-11-07,2024,1294,1485
VWAP_ALIGN,2024-11-08,2024,2024-11,SHORT,2024-11-08 09:06:00,2024-11-08 09:10:00,2024-11-08 09:18:00,21232.25,21176.25,56.0,21176.25,21196.25,21156.25,20,20,4,LOSS,-20.0,false,true,false,true,false,1.564,13.45,7161.0,7221.0,-60.0,2024-11-08,2024,1295,1485
VWAP_ALIGN,2024-11-12,2024,2024-11,SHORT,2024-11-12 09:59:00,2024-11-12 10:09:00,2024-11-12 10:20:00,21251.75,21181.5,70.25,21181.5,21201.5,21161.5,20,20,4,LOSS,-20.0,false,true,false,true,false,1.304,12.66,7141.0,7221.0,-80.0,2024-11-12,2024,1296,1485
