model,trade_date,year,month,direction,break_time,entry_time,exit_time,or_high,or_low,or_range,entry,stop_price,target_price,outcome,pnl_points,break_above_vwap,break_below_vwap,break_above_ema20,break_below_ema20,break_displacement,rel_vol_20,atr_14
VWAP_ALIGN,2018-01-02,2018,2018-01,LONG,2018-01-02 09:00:00,2018-01-02 09:01:00,2018-01-02 10:01:00,6482.25,6426.25,56.0,6482.25,6462.25,6502.25,WIN,20.0,true,false,true,false,false,1.442,4.23
VWAP_ALIGN,2018-01-03,2018,2018-01,LONG,2018-01-03 09:00:00,2018-01-03 09:01:00,2018-01-03 11:01:00,6561.75,6526.0,35.75,6561.75,6541.75,6581.75,TIME_EXIT,11.0,true,false,true,false,false,1.573,3.09
VWAP_ALIGN,2018-01-12,2018,2018-01,LONG,2018-01-12 09:00:00,2018-01-12 09:01:00,2018-01-12 09:39:00,6727.5,6703.25,24.25,6727.5,6707.5,6747.5,WIN,20.0,true,false,true,false,false,1.165,3.55
VWAP_ALIGN,2018-01-16,2018,2018-01,SHORT,2018-01-16 09:37:00,2018-01-16 10:00:00,2018-01-16 10:53:00,6845.75,6809.25,36.5,6809.25,6829.25,6789.25,WIN,20.0,false,true,false,true,true,2.49,4.3
VWAP_ALIGN,2018-01-17,2018,2018-01,LONG,2018-01-17 10:09:00,2018-01-17 10:10:00,2018-01-17 11:30:00,6782.25,6751.5,30.75,6782.25,6762.25,6802.25,TIME_EXIT,5.5,true,false,true,false,true,3.305,3.41
VWAP_ALIGN,2018-01-19,2018,2018-01,SHORT,2018-01-19 09:01:00,2018-01-19 09:03:00,2018-01-19 11:03:00,6857.0,6829.5,27.5,6829.5,6849.5,6809.5,TIME_EXIT,4.5,false,true,false,true,false,1.286,4.71
VWAP_ALIGN,2018-01-23,2018,2018-01,LONG,2018-01-23 09:13:00,2018-01-23 09:19:00,2018-01-23 11:19:00,6964.0,6935.75,28.25,6964.0,6944.0,6984.0,TIME_EXIT,3.0,true,false,true,false,false,1.45,5.68
VWAP_ALIGN,2018-01-24,2018,2018-01,LONG,2018-01-24 09:13:00,2018-01-24 09:14:00,2018-01-24 10:11:00,6993.75,6965.5,28.25,6993.75,6973.75,7013.75,LOSS,-20.0,true,false,true,false,true,1.526,4.5
VWAP_ALIGN,2018-01-26,2018,2018-01,LONG,2018-01-26 09:01:00,2018-01-26 09:09:00,2018-01-26 11:09:00,6969.25,6949.25,20.0,6969.25,6949.25,6989.25,TIME_EXIT,6.0,true,false,true,false,false,1.565,4.71
VWAP_ALIGN,2018-01-29,2018,2018-01,SHORT,2018-01-29 09:37:00,2018-01-29 09:41:00,2018-01-29 10:45:00,7021.25,6992.5,28.75,6992.5,7012.5,6972.5,LOSS,-20.0,false,true,false,true,true,3.052,4.3
VWAP_ALIGN,2018-01-30,2018,2018-01,SHORT,2018-01-30 09:03:00,2018-01-30 09:05:00,2018-01-30 09:27:00,6949.75,6913.0,36.75,6913.0,6933.0,6893.0,LOSS,-20.0,false,true,false,true,false,1.147,7.8
