columns,dtype
ts_event,"Datetime(time_unit='us', time_zone=None)"
symbol,String
open,Float64
high,Float64
low,Float64
close,Float64
volume,Int64
trade_date_utc,Date
hour_utc,Int8
minute_utc,Int8
weekday,Int8
vwap_day,Float64
dist_vwap_day,Float64
return_1m,Float64
return_5m,Float64
return_15m,Float64
ema_9,Float64
ema_20,Float64
ema_50,Float64
dist_ema_9,Float64
dist_ema_20,Float64
dist_ema_50,Float64
true_range,Float64
atr_14,Float64
atr_50,Float64
vol_avg_20,Float64
vol_avg_50,Float64
rel_vol_20,Float64
rel_vol_50,Float64
bar_range,Float64
body,Float64
body_abs,Float64
body_pct,Float64
upper_wick,Float64
lower_wick,Float64
fwd_return_5m,Float64
fwd_return_15m,Float64
fwd_return_30m,Float64
fwd_return_60m,Float64
event_date_utc,Date
usd_event_count,UInt32
high_impact_event_count,UInt32
cpi_event_count,UInt32
fomc_event_count,UInt32
nfp_event_count,UInt32
ppi_event_count,UInt32
pmi_ism_event_count,UInt32
jobs_event_count,UInt32
fed_speech_event_count,UInt32
has_high_impact_usd_event,Boolean
has_cpi,Boolean
has_fomc,Boolean
has_nfp,Boolean
has_ppi,Boolean
has_pmi_ism,Boolean
has_jobs,Boolean
has_fed_speech,Boolean
ts_ct,"Datetime(time_unit='us', time_zone=None)"
trade_date_ct,Date
hour_ct,Int8
minute_ct,Int8
weekday_ct,Int32
minute_of_day_ct,Int32
is_rth,Boolean
is_opening_30m,Boolean
is_premarket_window,Boolean
is_morning_trade_window,Boolean
is_lunch_window,Boolean
is_pm_window,Boolean
upper_wick_pct,Float64
lower_wick_pct,Float64
candle_direction,String
avg_range_20,Float64
avg_body_20,Float64
range_expansion_20,Float64
body_expansion_20,Float64
is_displacement_candle,Boolean
bull_displacement,Boolean
bear_displacement,Boolean
bull_fvg,Boolean
bear_fvg,Boolean
bull_fvg_low,Float64
bull_fvg_high,Float64
bear_fvg_low,Float64
bear_fvg_high,Float64
bull_fvg_size,Float64
bear_fvg_size,Float64
bull_fvg_min_2pt,Boolean
bear_fvg_min_2pt,Boolean
prior_high,Float64
prior_low,Float64
prior_open,Float64
prior_close,Float64
prior_body,Float64
prior_body_pct,Float64
swept_prior_bar_high,Boolean
swept_prior_bar_low,Boolean
prior_high_sweep_close_back_below,Boolean
prior_low_sweep_close_back_above,Boolean
prior_rth_high,Float64
prior_rth_low,Float64
prior_rth_close,Float64
premarket_high,Float64
premarket_low,Float64
or_high_30m,Float64
or_low_30m,Float64
or_range_30m,Float64
premarket_range,Float64
prior_day_range,Float64
swept_prior_rth_high,Boolean
swept_prior_rth_low,Boolean
pdh_sweep_close_back_below,Boolean
pdl_sweep_close_back_above,Boolean
pmh_sweep_close_back_below,Boolean
pml_sweep_close_back_above,Boolean
above_or_high,Boolean
below_or_low,Boolean
dist_prior_rth_high,Float64
dist_prior_rth_low,Float64
dist_premarket_high,Float64
dist_premarket_low,Float64
dist_or_high_30m,Float64
dist_or_low_30m,Float64
fwd_points_5m,Float64
fwd_points_15m,Float64
fwd_points_30m,Float64
fwd_points_60m,Float64
fwd_points_120m,Float64
future_high_30m,Float64
future_low_30m,Float64
future_high_60m,Float64
future_low_60m,Float64
mfe_30m,Float64
mae_30m,Float64
mfe_60m,Float64
mae_60m,Float64
ict_session_date,Date
is_asia_session,Boolean
is_london_session,Boolean
is_ny_rth_session,Boolean
dol,Float64
session_high_so_far,Float64
session_low_so_far,Float64
pdh,Float64
pdl,Float64
pdc,Float64
prior_session_mid,Float64
prior_session_range,Float64
asia_high,Float64
asia_low,Float64
london_high,Float64
london_low,Float64
ny_open,Float64
vwap,Float64
dist_dol,Float64
dist_pdh,Float64
dist_pdl,Float64
dist_prior_session_mid,Float64
dist_asia_high,Float64
dist_asia_low,Float64
dist_london_high,Float64
dist_london_low,Float64
dist_ny_open,Float64
dist_vwap,Float64
above_dol,Boolean
below_dol,Boolean
above_vwap,Boolean
below_vwap,Boolean
prior_range_position,Float64
premium_vs_prior_range,Boolean
discount_vs_prior_range,Boolean
pdh_sweep_reclaim_now,Boolean
pdh_sweep_reclaim_last_30m,Boolean
pdl_sweep_reclaim_now,Boolean
pdl_sweep_reclaim_last_30m,Boolean
pmh_sweep_reclaim_now,Boolean
pmh_sweep_reclaim_last_30m,Boolean
pml_sweep_reclaim_now,Boolean
pml_sweep_reclaim_last_30m,Boolean
asia_high_sweep_reclaim_now,Boolean
asia_high_sweep_reclaim_last_30m,Boolean
asia_low_sweep_reclaim_now,Boolean
asia_low_sweep_reclaim_last_30m,Boolean
london_high_sweep_reclaim_now,Boolean
london_high_sweep_reclaim_last_30m,Boolean
london_low_sweep_reclaim_now,Boolean
london_low_sweep_reclaim_last_30m,Boolean
any_liquidity_sweep_reclaim_last_30m,Boolean
liquidity_sweep_reclaim_count_last_30m,Int64
dol_cross_now,Boolean
bull_dol_reclaim_now,Boolean
bear_dol_reclaim_now,Boolean
dol_cross_last_10m,Boolean
bull_dol_reclaim_last_10m,Boolean
bear_dol_reclaim_last_10m,Boolean
inside_bull_fvg_current_bar,Boolean
inside_bear_fvg_current_bar,Boolean
recent_bull_fvg_last_120m,Boolean
recent_bear_fvg_last_120m,Boolean
bull_ifvg_proxy_fast,Boolean
bear_ifvg_proxy_fast,Boolean
any_ifvg_proxy_fast,Boolean
prior_10m_high,Float64
prior_10m_low,Float64
prior_10m_open,Float64
bull_v_reversal_proxy,Boolean
bear_v_reversal_proxy,Boolean
any_v_reversal_proxy,Boolean
