trades,wr_1R,avg_r_1R,pf_1R,wr_2R,avg_r_2R,pf_2R,direction,fib,combo,max_dd_r_1R,max_dd_r_2R
141,58.16,0.163,1.39,36.17,0.085,1.133,long,0.5,directional_v_reversal,-9.0,-15.0
141,58.16,0.163,1.39,36.17,0.085,1.133,long,0.5,directional_recent_fvg+directional_v_reversal,-9.0,-15.0
141,57.45,0.149,1.35,38.3,0.149,1.241,short,0.5,directional_v_reversal,-10.0,-15.0
141,57.45,0.149,1.35,38.3,0.149,1.241,short,0.5,directional_recent_fvg+directional_v_reversal,-10.0,-15.0
145,56.55,0.131,1.302,28.97,-0.131,0.816,long,0.382,vwap_aligned+directional_v_reversal,-6.0,-23.0
220,55.0,0.1,1.222,30.45,-0.086,0.876,long,0.382,directional_recent_fvg+directional_v_reversal,-14.0,-34.0
220,55.0,0.1,1.222,30.45,-0.086,0.876,long,0.382,directional_v_reversal,-14.0,-34.0
473,53.91,0.078,1.17,29.18,-0.125,0.824,long,0.382,vwap_aligned+directional_recent_fvg,-13.0,-65.0
473,53.91,0.078,1.17,29.18,-0.125,0.824,long,0.382,vwap_aligned,-13.0,-65.0
295,53.9,0.078,1.169,36.27,0.088,1.138,short,0.618,vwap_aligned+directional_recent_fvg,-11.0,-21.0
295,53.9,0.078,1.169,36.27,0.088,1.138,short,0.618,vwap_aligned,-11.0,-21.0
128,53.91,0.078,1.169,36.72,0.102,1.16,short,0.382,vwap_aligned+directional_v_reversal,-9.0,-13.0
424,53.07,0.061,1.131,33.25,-0.002,0.996,long,0.5,vwap_aligned,-13.0,-25.0
424,53.07,0.061,1.131,33.25,-0.002,0.996,long,0.5,vwap_aligned+directional_recent_fvg,-13.0,-25.0
244,52.05,0.041,1.085,31.97,-0.041,0.94,short,0.382,directional_v_reversal,-14.0,-31.0
244,52.05,0.041,1.085,31.97,-0.041,0.94,short,0.382,directional_recent_fvg+directional_v_reversal,-14.0,-31.0
352,51.14,0.023,1.047,32.95,-0.011,0.983,long,0.618,vwap_aligned,-26.0,-25.0
352,51.14,0.023,1.047,32.95,-0.011,0.983,long,0.618,vwap_aligned+directional_recent_fvg,-26.0,-25.0
765,50.98,0.02,1.04,31.76,-0.047,0.931,long,0.5,directional_recent_fvg,-19.0,-55.0
788,50.51,0.01,1.021,33.76,0.013,1.019,short,0.618,directional_recent_fvg,-24.0,-53.0
775,50.45,0.009,1.018,28.0,-0.16,0.778,long,0.382,directional_recent_fvg,-25.0,-128.0
733,49.39,-0.012,0.976,32.2,-0.034,0.95,long,0.618,directional_recent_fvg,-47.0,-46.0
818,49.02,-0.02,0.962,32.15,-0.035,0.948,short,0.5,directional_recent_fvg,-40.0,-73.0
353,49.01,-0.02,0.961,34.28,0.028,1.043,short,0.5,vwap_aligned+directional_recent_fvg,-30.0,-30.0
353,49.01,-0.02,0.961,34.28,0.028,1.043,short,0.5,vwap_aligned,-30.0,-30.0
792,48.74,-0.025,0.951,28.79,-0.136,0.809,short,0.382,directional_recent_fvg,-42.0,-125.0
374,48.66,-0.027,0.948,30.75,-0.078,0.888,short,0.382,vwap_aligned,-33.0,-53.0
374,48.66,-0.027,0.948,30.75,-0.078,0.888,short,0.382,vwap_aligned+directional_recent_fvg,-33.0,-53.0
