direction,fib,liq_sweep_bucket,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group
long,0.5,1,279,49.46,38.35,30.47,-0.011,-0.041,-0.086,0.979,0.933,0.876,18.83,28.69,-19.73,15.38,-17.25,-18.0,-29.0,-42.0,direction_fib_liq
short,0.5,1,292,48.29,39.04,30.14,-0.034,-0.024,-0.096,0.934,0.961,0.863,18.61,31.79,-19.04,16.12,-16.62,-19.0,-31.5,-46.0,direction_fib_liq
long,0.382,1,284,48.94,39.08,29.23,-0.021,-0.023,-0.123,0.959,0.962,0.826,21.11,30.31,-20.43,16.94,-18.37,-23.0,-24.0,-49.0,direction_fib_liq
long,0.618,0,120,49.17,43.33,31.67,-0.017,0.083,-0.05,0.967,1.147,0.927,13.68,26.47,-14.7,11.38,-11.51,-20.0,-18.5,-23.0,direction_fib_liq
short,0.382,1,286,47.9,36.36,28.67,-0.042,-0.091,-0.14,0.919,0.857,0.804,20.8,33.6,-19.47,17.28,-18.17,-31.0,-44.5,-61.0,direction_fib_liq
long,0.382,0,151,47.68,33.11,25.83,-0.046,-0.172,-0.225,0.911,0.743,0.696,19.9,26.43,-18.43,14.39,-15.68,-19.0,-39.0,-41.0,direction_fib_liq
long,0.5,0,139,50.36,38.85,30.94,0.007,-0.029,-0.072,1.014,0.953,0.896,16.97,28.32,-15.97,12.0,-13.62,-14.0,-22.5,-27.0,direction_fib_liq
short,0.618,0,141,53.9,39.72,32.62,0.078,-0.007,-0.021,1.169,0.988,0.968,14.39,32.83,-15.65,13.66,-13.3,-8.0,-12.5,-13.0,direction_fib_liq
short,0.382,2+,367,48.5,36.78,27.52,-0.03,-0.08,-0.174,0.942,0.873,0.759,21.84,35.2,-20.19,18.78,-17.91,-30.0,-51.0,-82.0,direction_fib_liq
long,0.618,1,254,45.28,38.98,30.71,-0.094,-0.026,-0.079,0.827,0.958,0.886,15.24,27.73,-17.55,11.84,-15.13,-30.0,-19.0,-32.0,direction_fib_liq
short,0.5,0,147,48.98,43.54,34.69,-0.02,0.088,0.041,0.96,1.157,1.062,17.91,36.18,-17.21,14.88,-14.5,-14.0,-15.5,-11.0,direction_fib_liq
long,0.5,2+,347,52.45,43.23,33.14,0.049,0.081,-0.006,1.103,1.142,0.991,20.9,34.83,-21.02,19.5,-18.62,-14.0,-12.5,-27.0,direction_fib_liq
short,0.5,2+,379,49.6,40.11,32.72,-0.008,0.003,-0.018,0.984,1.004,0.973,20.38,39.22,-19.39,19.38,-16.75,-38.0,-38.5,-45.0,direction_fib_liq
short,0.618,2+,367,52.32,41.69,35.15,0.046,0.042,0.054,1.097,1.072,1.084,17.57,37.46,-17.83,15.89,-16.13,-21.0,-37.5,-35.0,direction_fib_liq
long,0.382,2+,340,52.94,37.94,27.94,0.059,-0.051,-0.162,1.125,0.917,0.776,22.84,32.11,-21.34,21.53,-19.42,-12.0,-29.0,-63.0,direction_fib_liq
short,0.618,1,280,46.43,37.86,32.5,-0.071,-0.054,-0.025,0.867,0.914,0.963,15.25,30.76,-16.84,12.98,-13.34,-24.0,-21.0,-24.0,direction_fib_liq
long,0.618,2+,359,52.37,39.83,33.43,0.047,-0.004,0.003,1.099,0.993,1.004,18.18,34.41,-20.69,15.73,-18.01,-18.0,-18.0,-17.0,direction_fib_liq
short,0.382,0,139,51.08,41.01,32.37,0.022,0.025,-0.029,1.044,1.043,0.957,19.85,34.15,-19.27,17.82,-17.11,-15.0,-12.5,-17.0,direction_fib_liq
