direction,fib,rel_vol_bucket,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group
long,0.5,extreme,165,46.06,37.58,29.7,-0.079,-0.061,-0.109,0.854,0.903,0.845,18.82,27.24,-19.85,11.12,-16.12,-20.0,-19.0,-28.0,direction_fib_rel_vol
short,0.382,high,215,47.44,34.42,26.98,-0.051,-0.14,-0.191,0.903,0.787,0.739,21.81,35.33,-20.37,18.78,-19.21,-15.0,-31.5,-44.0,direction_fib_rel_vol
long,0.382,high,206,44.17,35.44,27.18,-0.117,-0.114,-0.184,0.791,0.823,0.747,21.84,28.12,-21.08,14.7,-19.99,-29.0,-28.5,-46.0,direction_fib_rel_vol
short,0.618,extreme,105,40.0,36.19,28.57,-0.2,-0.095,-0.143,0.667,0.851,0.8,15.81,29.48,-17.16,7.22,-11.64,-23.0,-13.5,-24.0,direction_fib_rel_vol
long,0.618,extreme,183,45.9,36.61,27.87,-0.082,-0.085,-0.164,0.848,0.866,0.773,15.13,23.6,-18.76,9.41,-14.59,-23.0,-27.0,-44.0,direction_fib_rel_vol
long,0.5,high,249,51.41,42.17,33.73,0.028,0.054,0.012,1.058,1.094,1.018,19.81,32.41,-19.58,15.75,-17.38,-13.0,-10.0,-18.0,direction_fib_rel_vol
short,0.618,normal,371,53.64,43.67,38.27,0.073,0.092,0.148,1.157,1.163,1.24,16.36,37.72,-17.13,17.05,-15.0,-14.0,-26.0,-23.0,direction_fib_rel_vol
short,0.382,normal,411,49.64,39.17,29.93,-0.007,-0.021,-0.102,0.986,0.966,0.854,21.51,35.74,-19.89,20.78,-18.13,-39.0,-44.5,-55.0,direction_fib_rel_vol
short,0.5,high,209,42.58,33.97,27.75,-0.148,-0.151,-0.167,0.742,0.772,0.768,19.22,34.93,-19.35,12.75,-16.25,-32.0,-34.0,-41.0,direction_fib_rel_vol
long,0.382,extreme,148,54.73,39.86,27.7,0.095,-0.003,-0.169,1.209,0.994,0.766,21.09,30.11,-19.05,20.37,-15.46,-6.0,-15.0,-26.0,direction_fib_rel_vol
short,0.5,normal,440,54.55,44.55,35.91,0.091,0.114,0.077,1.2,1.205,1.121,20.07,39.09,-19.42,21.12,-16.81,-20.0,-28.5,-39.0,direction_fib_rel_vol
short,0.618,high,250,50.8,37.2,30.4,0.016,-0.07,-0.088,1.033,0.889,0.874,16.27,32.89,-17.13,13.22,-14.32,-20.0,-22.5,-29.0,direction_fib_rel_vol
long,0.5,normal,327,52.91,40.98,31.19,0.058,0.024,-0.064,1.123,1.041,0.907,19.53,32.3,-19.47,17.88,-17.5,-16.0,-16.0,-28.0,direction_fib_rel_vol
long,0.382,normal,364,51.1,37.36,28.85,0.022,-0.066,-0.135,1.045,0.895,0.811,22.14,32.21,-20.97,21.43,-19.43,-14.0,-41.0,-54.0,direction_fib_rel_vol
long,0.618,high,245,43.67,39.18,32.24,-0.127,-0.02,-0.033,0.775,0.966,0.952,16.48,29.81,-18.58,12.07,-16.02,-34.0,-17.0,-21.0,direction_fib_rel_vol
long,0.618,normal,272,55.15,40.81,33.46,0.103,0.02,0.004,1.23,1.034,1.006,17.42,36.28,-18.84,18.26,-16.62,-11.0,-20.0,-24.0,direction_fib_rel_vol
