direction,fib,risk_bucket,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group
long,0.618,15-20,133,51.13,46.62,41.35,0.023,0.165,0.241,1.046,1.31,1.41,17.55,39.82,-21.43,21.23,-20.3,-8.0,-7.5,-9.0,direction_fib_risk
long,0.618,20-25,111,54.95,41.44,28.83,0.099,0.036,-0.135,1.22,1.062,0.81,22.39,41.43,-23.26,25.68,-25.38,-8.0,-13.0,-26.0,direction_fib_risk
short,0.5,20-25,119,55.46,48.74,36.97,0.109,0.218,0.109,1.245,1.426,1.173,22.49,47.04,-21.12,30.62,-23.25,-12.0,-9.0,-25.0,direction_fib_risk
long,0.5,30-40,120,45.0,34.17,25.0,-0.1,-0.146,-0.25,0.818,0.778,0.667,34.27,46.43,-32.07,24.81,-35.31,-16.0,-18.5,-34.0,direction_fib_risk
long,0.382,<=15,237,54.43,40.93,31.65,0.089,0.023,-0.051,1.194,1.039,0.926,10.24,17.02,-9.78,10.42,-9.98,-14.0,-14.0,-27.0,direction_fib_risk
long,0.5,20-25,116,56.03,47.41,38.79,0.121,0.185,0.164,1.275,1.352,1.268,22.6,41.06,-23.09,30.19,-24.0,-8.0,-7.5,-13.0,direction_fib_risk
long,0.382,30-40,191,48.69,33.51,26.18,-0.026,-0.162,-0.215,0.949,0.756,0.709,34.57,45.41,-30.93,32.88,-35.25,-15.0,-37.0,-43.0,direction_fib_risk
long,0.618,<=15,366,48.36,38.8,31.15,-0.033,-0.03,-0.066,0.937,0.951,0.905,9.26,16.88,-11.33,8.01,-10.28,-42.0,-42.5,-43.0,direction_fib_risk
long,0.382,15-20,117,41.88,32.48,22.22,-0.162,-0.188,-0.333,0.721,0.722,0.571,17.26,21.65,-17.63,12.4,-18.25,-21.0,-25.5,-42.0,direction_fib_risk
long,0.5,<=15,290,51.38,41.72,33.45,0.028,0.043,0.003,1.057,1.074,1.005,9.71,17.09,-10.36,9.56,-10.25,-13.0,-17.5,-20.0,direction_fib_risk
short,0.5,<=15,315,43.81,34.6,29.52,-0.124,-0.135,-0.114,0.78,0.794,0.838,9.63,17.81,-10.1,7.0,-9.5,-44.0,-52.5,-50.0,direction_fib_risk
short,0.618,15-20,141,55.32,43.97,36.88,0.106,0.099,0.106,1.238,1.177,1.169,17.51,43.08,-17.77,19.05,-19.22,-7.0,-11.0,-16.0,direction_fib_risk
short,0.382,<=15,252,43.25,32.94,28.97,-0.135,-0.177,-0.131,0.762,0.737,0.816,10.11,15.52,-10.16,6.65,-10.17,-40.0,-50.0,-41.0,direction_fib_risk
short,0.5,30-40,125,51.2,44.0,32.0,0.024,0.1,-0.04,1.049,1.179,0.941,34.7,62.51,-33.15,39.62,-36.0,-10.0,-14.0,-16.0,direction_fib_risk
short,0.382,20-25,126,54.76,45.24,33.33,0.095,0.131,0.0,1.211,1.239,1.0,22.57,45.56,-20.75,27.74,-22.62,-7.0,-13.5,-24.0,direction_fib_risk
short,0.618,20-25,112,58.93,50.0,41.07,0.179,0.25,0.232,1.435,1.5,1.394,22.19,48.16,-23.07,33.6,-24.49,-6.0,-6.5,-9.0,direction_fib_risk
short,0.5,25-30,118,51.69,40.68,31.36,0.034,0.017,-0.059,1.07,1.029,0.914,27.53,45.83,-26.55,29.12,-28.81,-9.0,-13.0,-19.0,direction_fib_risk
short,0.618,<=15,398,47.49,35.93,30.9,-0.05,-0.102,-0.073,0.904,0.841,0.895,9.0,20.12,-10.2,7.09,-9.89,-29.0,-53.0,-44.0,direction_fib_risk
long,0.5,25-30,111,57.66,45.05,35.14,0.153,0.126,0.054,1.362,1.23,1.083,27.51,50.86,-25.63,34.12,-29.12,-7.0,-10.0,-15.0,direction_fib_risk
long,0.5,15-20,128,45.31,34.38,25.0,-0.094,-0.141,-0.25,0.829,0.786,0.667,17.68,24.14,-20.66,14.12,-19.81,-18.0,-19.0,-33.0,direction_fib_risk
short,0.382,15-20,127,44.88,40.16,28.35,-0.102,0.004,-0.15,0.814,1.007,0.791,17.32,29.33,-16.26,14.58,-17.94,-15.0,-9.5,-29.0,direction_fib_risk
short,0.5,15-20,141,51.06,42.55,34.75,0.021,0.064,0.043,1.043,1.111,1.065,17.68,35.7,-17.49,20.62,-18.5,-11.0,-15.0,-18.0,direction_fib_risk
short,0.382,25-30,106,55.66,40.57,30.19,0.113,0.014,-0.094,1.255,1.024,0.865,27.33,45.17,-24.54,31.47,-27.57,-11.0,-17.5,-21.0,direction_fib_risk
long,0.382,25-30,108,54.63,43.52,31.48,0.093,0.088,-0.056,1.204,1.156,0.919,27.43,41.81,-25.95,31.48,-27.78,-8.0,-17.0,-29.0,direction_fib_risk
long,0.382,20-25,122,50.0,36.07,26.23,0.0,-0.098,-0.213,1.0,0.846,0.711,22.57,30.81,-22.54,22.07,-24.15,-13.0,-18.0,-27.0,direction_fib_risk
short,0.382,30-40,181,50.83,34.25,24.86,0.017,-0.144,-0.254,1.034,0.782,0.662,34.44,50.34,-32.11,35.33,-34.62,-10.0,-28.5,-48.0,direction_fib_risk
