direction,fib,vwap_aligned,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group
long,0.618,false,381,47.77,39.37,31.5,-0.045,-0.016,-0.055,0.915,0.974,0.92,17.42,31.5,-19.63,13.69,-16.85,-31.0,-22.0,-41.0,direction_fib_vwap
short,0.618,false,493,48.48,39.35,32.25,-0.03,-0.016,-0.032,0.941,0.973,0.952,15.27,31.34,-16.01,11.35,-13.43,-39.0,-36.5,-48.0,direction_fib_vwap
short,0.382,false,418,48.8,35.41,27.03,-0.024,-0.115,-0.189,0.953,0.822,0.741,19.68,31.87,-18.87,16.29,-16.84,-21.0,-60.5,-82.0,direction_fib_vwap
short,0.618,true,295,53.9,41.02,36.27,0.078,0.025,0.088,1.169,1.043,1.138,17.68,39.13,-18.88,18.75,-17.56,-11.0,-23.0,-21.0,direction_fib_vwap
long,0.382,false,302,45.03,36.09,26.16,-0.099,-0.098,-0.215,0.819,0.847,0.709,23.1,30.22,-22.52,19.02,-20.43,-40.0,-46.5,-69.0,direction_fib_vwap
long,0.618,true,352,51.14,40.91,32.95,0.023,0.023,-0.011,1.047,1.038,0.983,15.36,30.03,-17.52,13.28,-14.3,-26.0,-25.0,-25.0,direction_fib_vwap
short,0.5,true,353,49.01,42.21,34.28,-0.02,0.055,0.028,0.961,1.096,1.043,20.81,39.51,-20.29,20.88,-17.62,-30.0,-29.5,-30.0,direction_fib_vwap
long,0.5,false,341,48.39,36.36,29.91,-0.032,-0.091,-0.103,0.938,0.857,0.854,20.81,30.91,-21.53,15.88,-20.0,-24.0,-41.5,-52.0,direction_fib_vwap
short,0.5,false,465,49.03,38.92,30.54,-0.019,-0.027,-0.084,0.962,0.956,0.879,18.15,33.37,-17.8,14.88,-15.75,-20.0,-34.0,-64.0,direction_fib_vwap
short,0.382,true,374,48.66,39.57,30.75,-0.027,-0.011,-0.078,0.948,0.982,0.888,22.72,37.31,-20.77,23.17,-18.69,-33.0,-33.0,-53.0,direction_fib_vwap
long,0.5,true,424,53.07,44.1,33.25,0.061,0.103,-0.002,1.131,1.184,0.996,18.32,31.81,-18.1,16.06,-15.5,-13.0,-17.5,-25.0,direction_fib_vwap
long,0.382,true,473,53.91,38.27,29.18,0.078,-0.043,-0.125,1.17,0.93,0.824,20.69,30.42,-19.11,18.71,-16.55,-13.0,-33.5,-65.0,direction_fib_vwap
