direction,fib,vwap_dist_bucket,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group
long,0.618,above,136,52.21,42.65,31.62,0.044,0.066,-0.051,1.092,1.115,0.925,15.02,26.78,-17.59,11.87,-13.8,-13.0,-15.0,-19.0,direction_fib_vwap_dist
short,0.5,far_below,141,56.03,49.65,39.72,0.121,0.241,0.191,1.274,1.479,1.318,25.02,51.94,-24.31,33.75,-23.62,-7.0,-7.0,-10.0,direction_fib_vwap_dist
short,0.618,near,114,52.63,38.6,30.7,0.053,-0.035,-0.079,1.111,0.943,0.886,11.9,19.01,-13.64,9.97,-9.6,-7.0,-10.5,-12.0,direction_fib_vwap_dist
long,0.618,far_above,160,53.75,42.5,37.5,0.075,0.062,0.125,1.162,1.109,1.2,16.27,38.11,-17.98,19.41,-14.63,-11.0,-11.0,-14.0,direction_fib_vwap_dist
long,0.5,above,167,52.1,41.32,28.14,0.042,0.033,-0.156,1.088,1.056,0.783,17.69,27.13,-17.01,14.25,-13.5,-17.0,-14.5,-31.0,direction_fib_vwap_dist
short,0.5,above,185,50.27,40.54,29.73,0.005,0.014,-0.108,1.011,1.023,0.846,17.11,27.45,-16.86,13.0,-14.25,-10.0,-18.0,-33.0,direction_fib_vwap_dist
long,0.618,below,160,47.5,41.88,32.5,-0.05,0.047,-0.025,0.905,1.081,0.963,15.91,26.39,-18.4,12.87,-15.63,-15.0,-12.0,-14.0,direction_fib_vwap_dist
long,0.5,below,140,47.86,36.43,28.57,-0.043,-0.089,-0.143,0.918,0.86,0.8,19.12,25.93,-20.64,15.5,-18.31,-19.0,-25.0,-31.0,direction_fib_vwap_dist
long,0.5,near,121,47.93,35.54,25.62,-0.041,-0.112,-0.231,0.921,0.827,0.689,16.19,24.62,-15.64,10.88,-11.75,-10.0,-17.0,-36.0,direction_fib_vwap_dist
short,0.382,far_below,144,59.72,51.39,42.36,0.194,0.285,0.271,1.483,1.586,1.47,27.15,54.21,-23.84,39.91,-22.42,-7.0,-7.0,-15.0,direction_fib_vwap_dist
long,0.5,far_above,195,56.92,49.74,40.51,0.138,0.244,0.215,1.321,1.485,1.362,19.44,38.39,-19.17,24.75,-17.12,-9.0,-13.5,-17.0,direction_fib_vwap_dist
short,0.618,above,194,45.36,39.18,31.96,-0.093,-0.021,-0.041,0.83,0.966,0.939,14.13,25.41,-14.55,9.89,-12.19,-29.0,-25.0,-31.0,direction_fib_vwap_dist
short,0.5,below,141,41.84,35.46,32.62,-0.163,-0.113,-0.021,0.72,0.824,0.968,19.13,34.77,-18.92,17.0,-15.88,-34.0,-32.5,-27.0,direction_fib_vwap_dist
short,0.618,far_above,241,50.21,40.25,34.02,0.004,0.006,0.021,1.008,1.01,1.031,17.15,39.7,-18.05,14.94,-15.56,-17.0,-16.5,-14.0,direction_fib_vwap_dist
short,0.382,far_above,182,46.15,33.52,28.02,-0.077,-0.162,-0.159,0.857,0.756,0.779,21.78,36.05,-21.97,17.57,-20.34,-15.0,-31.0,-32.0,direction_fib_vwap_dist
short,0.618,far_below,117,58.97,47.86,41.03,0.179,0.197,0.231,1.438,1.377,1.391,21.77,50.4,-23.15,31.93,-22.57,-8.0,-6.5,-9.0,direction_fib_vwap_dist
short,0.382,near,143,43.36,30.07,20.98,-0.133,-0.248,-0.371,0.765,0.645,0.531,17.4,24.44,-15.62,10.3,-13.83,-19.0,-35.5,-53.0,direction_fib_vwap_dist
short,0.382,below,156,40.38,34.62,25.64,-0.192,-0.135,-0.231,0.677,0.794,0.69,20.81,29.39,-19.89,14.2,-18.09,-33.0,-30.0,-42.0,direction_fib_vwap_dist
short,0.5,near,141,51.06,39.01,29.79,0.021,-0.025,-0.106,1.043,0.959,0.848,15.64,25.01,-14.86,13.12,-12.12,-10.0,-14.5,-18.0,direction_fib_vwap_dist
long,0.618,near,108,45.37,34.26,25.0,-0.093,-0.144,-0.25,0.831,0.782,0.667,12.53,17.72,-14.29,9.03,-11.24,-17.0,-21.5,-31.0,direction_fib_vwap_dist
short,0.618,below,122,49.18,34.43,31.97,-0.016,-0.139,-0.041,0.968,0.788,0.94,16.12,36.29,-16.62,16.32,-13.99,-10.0,-26.5,-18.0,direction_fib_vwap_dist
long,0.382,above,194,53.09,37.11,26.8,0.062,-0.072,-0.196,1.132,0.885,0.732,19.83,26.85,-17.01,16.99,-15.0,-10.0,-20.5,-42.0,direction_fib_vwap_dist
long,0.5,far_below,142,47.18,35.92,32.39,-0.056,-0.102,-0.028,0.893,0.841,0.958,24.54,38.02,-25.76,20.25,-26.0,-16.0,-21.5,-20.0,direction_fib_vwap_dist
long,0.618,far_below,169,47.34,37.87,31.95,-0.053,-0.053,-0.041,0.899,0.914,0.939,20.7,39.64,-23.02,18.31,-22.81,-18.0,-25.0,-27.0,direction_fib_vwap_dist
long,0.382,below,131,45.8,34.35,22.14,-0.084,-0.141,-0.336,0.845,0.785,0.569,21.51,26.09,-21.55,16.36,-18.94,-23.0,-34.5,-53.0,direction_fib_vwap_dist
short,0.382,above,167,54.49,38.32,27.54,0.09,-0.042,-0.174,1.197,0.932,0.76,18.65,28.91,-17.28,16.43,-15.21,-5.0,-26.0,-48.0,direction_fib_vwap_dist
long,0.382,far_above,216,56.02,42.59,33.33,0.12,0.065,0.0,1.274,1.113,1.0,22.62,36.57,-21.71,24.37,-19.67,-9.0,-14.5,-22.0,direction_fib_vwap_dist
long,0.382,near,123,47.97,33.33,25.2,-0.041,-0.167,-0.244,0.922,0.75,0.674,17.63,22.82,-16.12,13.06,-12.67,-20.0,-34.0,-39.0,direction_fib_vwap_dist
short,0.5,far_above,210,46.67,38.1,30.48,-0.067,-0.048,-0.086,0.875,0.923,0.877,19.96,41.11,-19.66,16.94,-17.81,-17.0,-16.0,-27.0,direction_fib_vwap_dist
long,0.382,far_below,111,43.24,36.04,29.73,-0.135,-0.099,-0.108,0.762,0.845,0.846,27.44,37.68,-27.44,25.32,-26.71,-18.0,-15.5,-16.0,direction_fib_vwap_dist
