direction,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group,fib,hour,risk_bucket,orb_range_bucket,body_pct_bucket,rel_vol_bucket,vwap_dist_bucket,liq_sweep_bucket,vwap_aligned,directional_displacement,directional_recent_fvg,directional_v_reversal
short,167,54.49,38.32,27.54,0.09,-0.042,-0.174,1.197,0.932,0.76,18.65,28.91,-17.28,16.43,-15.21,-5.0,-26.0,-48.0,direction_fib_vwap_dist,0.382,,,,,,above,,,,,
short,112,58.93,50.0,41.07,0.179,0.25,0.232,1.435,1.5,1.394,22.19,48.16,-23.07,33.6,-24.49,-6.0,-6.5,-9.0,direction_fib_risk,0.618,,20-25,,,,,,,,,
long,148,54.73,39.86,27.7,0.095,-0.003,-0.169,1.209,0.994,0.766,21.09,30.11,-19.05,20.37,-15.46,-6.0,-15.0,-26.0,direction_fib_rel_vol,0.382,,,,,extreme,,,,,,
short,144,59.72,51.39,42.36,0.194,0.285,0.271,1.483,1.586,1.47,27.15,54.21,-23.84,39.91,-22.42,-7.0,-7.0,-15.0,direction_fib_vwap_dist,0.382,,,,,,far_below,,,,,
long,111,57.66,45.05,35.14,0.153,0.126,0.054,1.362,1.23,1.083,27.51,50.86,-25.63,34.12,-29.12,-7.0,-10.0,-15.0,direction_fib_risk,0.5,,25-30,,,,,,,,,
short,141,56.03,49.65,39.72,0.121,0.241,0.191,1.274,1.479,1.318,25.02,51.94,-24.31,33.75,-23.62,-7.0,-7.0,-10.0,direction_fib_vwap_dist,0.5,,,,,,far_below,,,,,
short,141,55.32,43.97,36.88,0.106,0.099,0.106,1.238,1.177,1.169,17.51,43.08,-17.77,19.05,-19.22,-7.0,-11.0,-16.0,direction_fib_risk,0.618,,15-20,,,,,,,,,
short,126,54.76,45.24,33.33,0.095,0.131,0.0,1.211,1.239,1.0,22.57,45.56,-20.75,27.74,-22.62,-7.0,-13.5,-24.0,direction_fib_risk,0.382,,20-25,,,,,,,,,
short,114,52.63,38.6,30.7,0.053,-0.035,-0.079,1.111,0.943,0.886,11.9,19.01,-13.64,9.97,-9.6,-7.0,-10.5,-12.0,direction_fib_vwap_dist,0.618,,,,,,near,,,,,
short,117,58.97,47.86,41.03,0.179,0.197,0.231,1.438,1.377,1.391,21.77,50.4,-23.15,31.93,-22.57,-8.0,-6.5,-9.0,direction_fib_vwap_dist,0.618,,,,,,far_below,,,,,
long,116,56.03,47.41,38.79,0.121,0.185,0.164,1.275,1.352,1.268,22.6,41.06,-23.09,30.19,-24.0,-8.0,-7.5,-13.0,direction_fib_risk,0.5,,20-25,,,,,,,,,
long,111,54.95,41.44,28.83,0.099,0.036,-0.135,1.22,1.062,0.81,22.39,41.43,-23.26,25.68,-25.38,-8.0,-13.0,-26.0,direction_fib_risk,0.618,,20-25,,,,,,,,,
long,108,54.63,43.52,31.48,0.093,0.088,-0.056,1.204,1.156,0.919,27.43,41.81,-25.95,31.48,-27.78,-8.0,-17.0,-29.0,direction_fib_risk,0.382,,25-30,,,,,,,,,
short,141,53.9,39.72,32.62,0.078,-0.007,-0.021,1.169,0.988,0.968,14.39,32.83,-15.65,13.66,-13.3,-8.0,-12.5,-13.0,direction_fib_liq,0.618,,,,,,,0,,,,
long,133,51.13,46.62,41.35,0.023,0.165,0.241,1.046,1.31,1.41,17.55,39.82,-21.43,21.23,-20.3,-8.0,-7.5,-9.0,direction_fib_risk,0.618,,15-20,,,,,,,,,
long,195,56.92,49.74,40.51,0.138,0.244,0.215,1.321,1.485,1.362,19.44,38.39,-19.17,24.75,-17.12,-9.0,-13.5,-17.0,direction_fib_vwap_dist,0.5,,,,,,far_above,,,,,
long,216,56.02,42.59,33.33,0.12,0.065,0.0,1.274,1.113,1.0,22.62,36.57,-21.71,24.37,-19.67,-9.0,-14.5,-22.0,direction_fib_vwap_dist,0.382,,,,,,far_above,,,,,
short,118,51.69,40.68,31.36,0.034,0.017,-0.059,1.07,1.029,0.914,27.53,45.83,-26.55,29.12,-28.81,-9.0,-13.0,-19.0,direction_fib_risk,0.5,,25-30,,,,,,,,,
long,194,53.09,37.11,26.8,0.062,-0.072,-0.196,1.132,0.885,0.732,19.83,26.85,-17.01,16.99,-15.0,-10.0,-20.5,-42.0,direction_fib_vwap_dist,0.382,,,,,,above,,,,,
short,125,51.2,44.0,32.0,0.024,0.1,-0.04,1.049,1.179,0.941,34.7,62.51,-33.15,39.62,-36.0,-10.0,-14.0,-16.0,direction_fib_risk,0.5,,30-40,,,,,,,,,
short,141,51.06,39.01,29.79,0.021,-0.025,-0.106,1.043,0.959,0.848,15.64,25.01,-14.86,13.12,-12.12,-10.0,-14.5,-18.0,direction_fib_vwap_dist,0.5,,,,,,near,,,,,
short,181,50.83,34.25,24.86,0.017,-0.144,-0.254,1.034,0.782,0.662,34.44,50.34,-32.11,35.33,-34.62,-10.0,-28.5,-48.0,direction_fib_risk,0.382,,30-40,,,,,,,,,
short,185,50.27,40.54,29.73,0.005,0.014,-0.108,1.011,1.023,0.846,17.11,27.45,-16.86,13.0,-14.25,-10.0,-18.0,-33.0,direction_fib_vwap_dist,0.5,,,,,,above,,,,,
short,122,49.18,34.43,31.97,-0.016,-0.139,-0.041,0.968,0.788,0.94,16.12,36.29,-16.62,16.32,-13.99,-10.0,-26.5,-18.0,direction_fib_vwap_dist,0.618,,,,,,below,,,,,
long,121,47.93,35.54,25.62,-0.041,-0.112,-0.231,0.921,0.827,0.689,16.19,24.62,-15.64,10.88,-11.75,-10.0,-17.0,-36.0,direction_fib_vwap_dist,0.5,,,,,,near,,,,,
short,106,55.66,40.57,30.19,0.113,0.014,-0.094,1.255,1.024,0.865,27.33,45.17,-24.54,31.47,-27.57,-11.0,-17.5,-21.0,direction_fib_risk,0.382,,25-30,,,,,,,,,
long,272,55.15,40.81,33.46,0.103,0.02,0.004,1.23,1.034,1.006,17.42,36.28,-18.84,18.26,-16.62,-11.0,-20.0,-24.0,direction_fib_rel_vol,0.618,,,,,normal,,,,,,
short,295,53.9,41.02,36.27,0.078,0.025,0.088,1.169,1.043,1.138,17.68,39.13,-18.88,18.75,-17.56,-11.0,-23.0,-21.0,direction_fib_vwap,0.618,,,,,,,,true,,,
long,160,53.75,42.5,37.5,0.075,0.062,0.125,1.162,1.109,1.2,16.27,38.11,-17.98,19.41,-14.63,-11.0,-11.0,-14.0,direction_fib_vwap_dist,0.618,,,,,,far_above,,,,,
short,141,51.06,42.55,34.75,0.021,0.064,0.043,1.043,1.111,1.065,17.68,35.7,-17.49,20.62,-18.5,-11.0,-15.0,-18.0,direction_fib_risk,0.5,,15-20,,,,,,,,,
,714,60.36,47.76,38.66,0.207,0.194,0.16,1.523,1.371,1.26,19.27,40.4,-17.76,24.35,-15.88,-12.0,-17.5,-25.0,body_pct_bucket,,,,,<=25,,,,,,,
short,119,55.46,48.74,36.97,0.109,0.218,0.109,1.245,1.426,1.173,22.49,47.04,-21.12,30.62,-23.25,-12.0,-9.0,-25.0,direction_fib_risk,0.5,,20-25,,,,,,,,,
,706,54.96,44.76,34.14,0.099,0.119,0.024,1.22,1.215,1.037,22.47,42.28,-22.27,27.21,-24.0,-12.0,-14.0,-58.0,risk_bucket,,,20-25,,,,,,,,,
long,340,52.94,37.94,27.94,0.059,-0.051,-0.162,1.125,0.917,0.776,22.84,32.11,-21.34,21.53,-19.42,-12.0,-29.0,-63.0,direction_fib_liq,0.382,,,,,,,2+,,,,
long,473,53.91,38.27,29.18,0.078,-0.043,-0.125,1.17,0.93,0.824,20.69,30.42,-19.11,18.71,-16.55,-13.0,-33.5,-65.0,direction_fib_vwap,0.382,,,,,,,,true,,,
long,424,53.07,44.1,33.25,0.061,0.103,-0.002,1.131,1.184,0.996,18.32,31.81,-18.1,16.06,-15.5,-13.0,-17.5,-25.0,direction_fib_vwap,0.5,,,,,,,,true,,,
long,136,52.21,42.65,31.62,0.044,0.066,-0.051,1.092,1.115,0.925,15.02,26.78,-17.59,11.87,-13.8,-13.0,-15.0,-19.0,direction_fib_vwap_dist,0.618,,,,,,above,,,,,
long,249,51.41,42.17,33.73,0.028,0.054,0.012,1.058,1.094,1.018,19.81,32.41,-19.58,15.75,-17.38,-13.0,-10.0,-18.0,direction_fib_rel_vol,0.5,,,,,high,,,,,,
long,290,51.38,41.72,33.45,0.028,0.043,0.003,1.057,1.074,1.005,9.71,17.09,-10.36,9.56,-10.25,-13.0,-17.5,-20.0,direction_fib_risk,0.5,,<=15,,,,,,,,,
long,122,50.0,36.07,26.23,0.0,-0.098,-0.213,1.0,0.846,0.711,22.57,30.81,-22.54,22.07,-24.15,-13.0,-18.0,-27.0,direction_fib_risk,0.382,,20-25,,,,,,,,,
long,237,54.43,40.93,31.65,0.089,0.023,-0.051,1.194,1.039,0.926,10.24,17.02,-9.78,10.42,-9.98,-14.0,-14.0,-27.0,direction_fib_risk,0.382,,<=15,,,,,,,,,
short,371,53.64,43.67,38.27,0.073,0.092,0.148,1.157,1.163,1.24,16.36,37.72,-17.13,17.05,-15.0,-14.0,-26.0,-23.0,direction_fib_rel_vol,0.618,,,,,normal,,,,,,
long,347,52.45,43.23,33.14,0.049,0.081,-0.006,1.103,1.142,0.991,20.9,34.83,-21.02,19.5,-18.62,-14.0,-12.5,-27.0,direction_fib_liq,0.5,,,,,,,2+,,,,
long,364,51.1,37.36,28.85,0.022,-0.066,-0.135,1.045,0.895,0.811,22.14,32.21,-20.97,21.43,-19.43,-14.0,-41.0,-54.0,direction_fib_rel_vol,0.382,,,,,normal,,,,,,
long,139,50.36,38.85,30.94,0.007,-0.029,-0.072,1.014,0.953,0.896,16.97,28.32,-15.97,12.0,-13.62,-14.0,-22.5,-27.0,direction_fib_liq,0.5,,,,,,,0,,,,
