trades,wr_1R,avg_r_1R,pf_1R,wr_2R,avg_r_2R,pf_2R,avg_risk,avg_mfe,avg_mae,feature,side,threshold,max_dd_r_1R,max_dd_r_2R
468,0.0,-1.0,,0.0,-1.0,,17.41,0.01,-23.71,mfe_points,<=,0.2395,-468.0,-468.0
935,100.0,1.0,inf,94.12,1.824,32.0,24.4,102.21,-14.46,mfe_points,>=,55.3165,0.0,-2.0
469,100.0,1.0,inf,100.0,2.0,inf,25.86,136.42,-13.01,mfe_points,>=,84.0,0.0,0.0
1402,99.86,0.997,700.0,81.31,1.439,8.702,23.33,83.3,-16.46,mfe_points,>=,37.339,-1.0,-6.0
1870,95.99,0.92,23.933,70.05,1.102,4.679,22.42,70.15,-17.37,mfe_points,>=,25.375,-2.0,-10.0
468,92.95,0.859,13.182,82.69,1.481,9.556,14.2,63.76,-1.66,mae_points,>=,-4.21,-4.0,-5.0
2336,87.8,0.756,7.196,59.97,0.799,2.997,21.83,60.27,-18.16,mfe_points,>=,16.317,-3.0,-16.0
935,80.32,0.606,4.082,65.13,0.954,3.736,12.42,49.03,-3.83,mae_points,>=,-7.6485,-11.0,-16.0
2803,78.49,0.57,3.648,51.02,0.531,2.083,21.37,52.42,-18.92,mfe_points,>=,10.5965,-7.0,-20.0
1402,72.4,0.448,2.623,56.49,0.695,2.597,12.51,44.35,-5.58,mae_points,>=,-10.55,-27.0,-40.0
3270,69.79,0.396,2.31,44.19,0.326,1.584,20.68,46.12,-18.97,mfe_points,>=,6.2945,-13.0,-26.0
1869,67.04,0.341,2.034,50.56,0.517,2.045,12.8,40.83,-7.18,mae_points,>=,-13.433,-34.0,-48.0
2336,62.93,0.259,1.697,45.59,0.368,1.676,13.38,38.52,-8.75,mae_points,>=,-16.738,-39.0,-73.0
468,62.39,0.248,1.659,41.24,0.237,1.404,19.7,42.68,-17.91,body_pct,<=,0.175,-8.0,-16.0
3737,62.19,0.244,1.645,38.88,0.166,1.272,19.94,40.95,-18.83,mfe_points,>=,3.21,-18.0,-48.0
2803,59.79,0.196,1.487,42.45,0.274,1.476,14.16,37.19,-10.37,mae_points,>=,-20.4175,-43.0,-106.0
938,59.49,0.19,1.468,38.49,0.155,1.251,19.33,40.55,-17.78,body_pct,<=,0.3158,-11.0,-26.0
1412,58.07,0.161,1.385,36.12,0.084,1.131,19.39,39.41,-18.0,body_pct,<=,0.4375,-17.0,-34.0
1869,57.78,0.156,1.369,35.69,0.071,1.11,19.21,38.43,-17.96,body_pct,<=,0.5263,-19.0,-55.0
3272,57.27,0.145,1.34,39.27,0.178,1.293,15.15,35.92,-12.12,mae_points,>=,-24.875,-45.0,-155.0
2337,56.48,0.13,1.298,35.0,0.05,1.077,18.99,37.55,-17.86,body_pct,<=,0.6,-23.0,-83.0
4204,55.38,0.108,1.241,34.56,0.037,1.056,19.22,36.59,-18.55,mfe_points,>=,0.2395,-32.0,-100.0
