fib,grade,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,max_dd_1R,max_dd_1_5R,max_dd_2R
0.382,A,696,49.71,38.79,29.6,-0.006,-0.03,-0.112,0.989,0.951,0.841,19.47,30.96,-18.46,-29.0,-50.5,-102.0
0.382,A+,162,53.09,38.27,30.86,0.062,-0.043,-0.074,1.132,0.93,0.893,16.05,28.35,-15.57,-15.0,-16.5,-19.0
0.382,B,685,48.76,35.77,26.57,-0.025,-0.106,-0.203,0.952,0.835,0.724,24.23,34.44,-22.61,-38.0,-77.5,-140.0
0.382,C,24,45.83,37.5,29.17,-0.083,-0.062,-0.125,0.846,0.9,0.824,30.9,43.94,-26.65,-7.0,-6.0,-5.0
0.5,A,962,47.82,38.05,30.56,-0.044,-0.049,-0.083,0.916,0.921,0.88,19.08,31.4,-19.2,-46.0,-63.0,-100.0
0.5,A+,347,54.47,46.11,35.73,0.089,0.153,0.072,1.196,1.283,1.112,15.41,33.44,-15.25,-10.0,-10.5,-17.0
0.5,B,273,51.65,41.76,31.87,0.033,0.044,-0.044,1.068,1.075,0.935,25.4,42.51,-24.49,-11.0,-18.0,-21.0
0.5,C,1,100.0,100.0,100.0,1.0,1.5,2.0,,,,20.38,69.62,-10.88,0.0,0.0,0.0
0.618,A,997,47.04,37.81,31.7,-0.059,-0.055,-0.049,0.888,0.912,0.928,16.01,30.16,-17.87,-64.0,-68.5,-70.0
0.618,A+,300,57.0,45.67,37.33,0.14,0.142,0.12,1.326,1.261,1.191,12.57,32.7,-13.98,-7.0,-12.5,-18.0
0.618,B,224,53.57,42.41,33.04,0.071,0.06,-0.009,1.154,1.105,0.987,22.54,43.22,-22.76,-12.0,-23.5,-28.0
