orb_score,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,max_dd_1R,max_dd_1_5R,max_dd_2R
3,25,48.0,40.0,32.0,-0.04,0.0,-0.04,0.923,1.0,0.941,30.48,44.97,-26.02,-7.0,-6.0,-5.0
4,263,47.53,33.08,24.71,-0.049,-0.173,-0.259,0.906,0.741,0.657,27.67,38.56,-26.1,-24.0,-51.0,-74.0
5,919,51.14,39.93,30.25,0.023,-0.002,-0.092,1.047,0.997,0.867,23.18,37.8,-22.2,-31.0,-38.0,-101.0
6,1422,49.44,38.89,31.08,-0.011,-0.028,-0.068,0.978,0.955,0.902,19.45,32.93,-19.27,-34.0,-63.0,-106.0
7,1233,46.39,37.31,30.33,-0.072,-0.067,-0.09,0.865,0.893,0.871,16.4,28.39,-17.63,-103.0,-114.0,-157.0
8,540,52.04,41.48,32.04,0.041,0.037,-0.039,1.085,1.063,0.943,14.96,30.16,-15.71,-19.0,-23.0,-42.0
9,186,58.06,45.16,37.1,0.161,0.129,0.113,1.385,1.235,1.179,14.33,35.62,-14.56,-6.0,-12.5,-18.0
10,77,67.53,59.74,50.65,0.351,0.494,0.519,2.08,2.226,2.053,11.49,33.8,-10.28,-5.0,-4.0,-7.0
11,4,75.0,75.0,75.0,0.5,0.875,1.25,3.0,4.5,6.0,12.52,63.29,-6.0,-1.0,-1.0,-1.0
12,2,100.0,100.0,100.0,1.0,1.5,2.0,,,,18.05,120.83,0.0,0.0,0.0,0.0
