year,grade,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,max_dd_1R,max_dd_1_5R,max_dd_2R
2018,A,391,48.85,37.85,30.69,-0.023,-0.054,-0.079,0.955,0.914,0.886,11.85,18.52,-11.7,-34.0,-46.0,-59.0
2018,A+,95,47.37,35.79,26.32,-0.053,-0.105,-0.211,0.9,0.836,0.714,9.36,12.77,-10.08,-14.0,-23.0,-33.0
2018,B,135,51.11,39.26,27.41,0.022,-0.019,-0.178,1.045,0.97,0.755,18.48,29.83,-16.47,-7.0,-11.5,-28.0
2018,C,1,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,26.42,7.83,-30.17,-1.0,-1.0,-1.0
2019,A,406,46.55,33.99,26.35,-0.069,-0.15,-0.209,0.871,0.772,0.716,9.49,13.67,-9.56,-34.0,-62.0,-85.0
2019,A+,165,49.7,40.0,32.12,-0.006,0.0,-0.036,0.988,1.0,0.946,9.21,17.03,-8.82,-11.0,-18.0,-16.0
2019,B,102,39.22,29.41,21.57,-0.216,-0.265,-0.353,0.645,0.625,0.55,12.31,16.63,-11.45,-29.0,-34.5,-36.0
2020,A,306,49.67,40.2,30.39,-0.007,0.005,-0.088,0.987,1.008,0.873,18.45,30.52,-18.54,-28.0,-32.5,-47.0
2020,A+,89,68.54,53.93,44.94,0.371,0.348,0.348,2.179,1.756,1.633,14.01,35.42,-14.28,-8.0,-9.0,-11.0
2020,B,162,50.62,38.89,27.78,0.012,-0.028,-0.167,1.025,0.955,0.769,24.75,36.51,-22.13,-13.0,-13.5,-34.0
2020,C,5,20.0,20.0,20.0,-0.6,-0.5,-0.4,0.25,0.375,0.5,32.35,42.4,-30.85,-3.0,-2.5,-2.0
2021,A,347,47.84,39.19,32.85,-0.043,-0.02,-0.014,0.917,0.967,0.979,18.02,30.9,-17.26,-50.0,-53.0,-49.0
2021,A+,102,52.94,38.24,29.41,0.059,-0.044,-0.118,1.125,0.929,0.833,14.2,25.12,-13.96,-8.0,-13.0,-24.0
2021,B,147,54.42,38.78,29.93,0.088,-0.031,-0.102,1.194,0.95,0.854,23.88,38.41,-20.72,-14.0,-23.5,-33.0
2021,C,3,33.33,33.33,33.33,-0.333,-0.167,0.0,0.5,0.75,1.0,28.17,26.5,-27.25,-1.0,-1.0,-1.0
2022,A,225,44.0,33.78,25.78,-0.12,-0.156,-0.227,0.786,0.765,0.695,26.34,42.2,-29.1,-36.0,-44.0,-63.0
2022,A+,54,61.11,51.85,40.74,0.222,0.296,0.222,1.571,1.615,1.375,21.82,46.81,-21.23,-11.0,-12.0,-12.0
2022,B,155,49.03,38.06,29.68,-0.019,-0.048,-0.11,0.962,0.922,0.844,28.1,48.77,-26.62,-23.0,-31.5,-37.0
2022,C,4,50.0,50.0,50.0,0.0,0.25,0.5,1.0,1.5,2.0,33.57,44.06,-26.5,-2.0,-2.0,-2.0
2023,A,364,50.27,42.58,34.89,0.005,0.065,0.047,1.011,1.112,1.072,19.89,35.77,-19.28,-31.0,-34.5,-36.0
2023,A+,100,51.0,42.0,31.0,0.02,0.05,-0.07,1.041,1.086,0.899,18.06,35.82,-18.6,-12.0,-12.5,-27.0
2023,B,166,59.64,46.99,36.14,0.193,0.175,0.084,1.478,1.33,1.132,26.54,45.48,-24.62,-7.0,-10.5,-16.0
2023,C,5,60.0,60.0,60.0,0.2,0.5,0.8,1.5,2.25,3.0,27.87,76.08,-17.67,-1.0,-1.0,-1.0
2024,A,291,47.08,35.74,28.87,-0.058,-0.107,-0.134,0.89,0.834,0.812,23.01,41.94,-23.92,-45.0,-60.0,-67.0
2024,A+,81,53.09,46.91,37.04,0.062,0.173,0.111,1.132,1.326,1.176,16.75,40.85,-17.38,-10.0,-9.0,-11.0
2024,B,169,50.3,37.28,27.81,0.006,-0.068,-0.166,1.012,0.892,0.77,27.04,36.52,-28.47,-19.0,-35.5,-49.0
2024,C,5,80.0,40.0,20.0,0.6,0.0,-0.4,4.0,1.0,0.5,31.05,41.8,-20.65,-1.0,-3.0,-3.0
2025,A,268,49.63,41.79,36.19,-0.007,0.045,0.086,0.985,1.077,1.135,22.45,42.98,-24.82,-21.0,-22.5,-24.0
2025,A+,112,61.61,51.79,43.75,0.232,0.295,0.312,1.605,1.611,1.556,17.98,51.65,-19.78,-13.0,-12.5,-12.0
2025,B,122,41.8,34.43,27.05,-0.164,-0.139,-0.189,0.718,0.788,0.742,26.5,38.81,-27.8,-24.0,-22.5,-29.0
2025,C,2,50.0,50.0,0.0,0.0,0.25,-1.0,1.0,1.5,0.0,30.2,29.67,-43.33,-1.0,-1.0,-2.0
2026,A,57,43.86,36.84,28.07,-0.123,-0.079,-0.158,0.781,0.875,0.78,28.27,48.14,-32.31,-12.0,-15.5,-18.0
2026,A+,11,72.73,54.55,54.55,0.455,0.364,0.636,2.667,1.8,2.4,23.33,97.14,-24.6,-2.0,-2.5,-2.0
2026,B,24,54.17,37.5,37.5,0.083,-0.062,0.125,1.182,0.9,1.2,31.08,65.94,-34.64,-2.0,-7.5,-7.0
