orb_score_v2,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,max_dd_1R,max_dd_1_5R,max_dd_2R
7,123,57.72,43.09,31.71,0.154,0.077,-0.049,1.365,1.136,0.929,27.76,46.9,-25.66,-5.0,-9.5,-14.0
10,564,54.08,42.02,31.21,0.082,0.051,-0.064,1.178,1.087,0.907,25.27,44.99,-24.27,-18.0,-26.5,-40.0
9,415,53.01,40.0,31.33,0.06,0.0,-0.06,1.128,1.0,0.912,26.01,45.68,-24.9,-16.0,-29.0,-55.0
8,287,52.96,42.16,32.75,0.059,0.054,-0.017,1.126,1.093,0.974,26.73,44.64,-24.67,-11.0,-18.5,-37.0
13,537,52.33,43.58,35.75,0.047,0.089,0.073,1.098,1.158,1.113,16.71,31.52,-17.14,-18.0,-18.5,-26.0
12,561,49.73,37.97,29.95,-0.005,-0.051,-0.102,0.989,0.918,0.855,20.01,33.66,-20.6,-29.0,-43.5,-70.0
15,390,47.95,37.69,30.51,-0.041,-0.058,-0.085,0.921,0.907,0.878,10.68,17.84,-11.55,-38.0,-35.0,-54.0
17,196,47.45,34.18,29.59,-0.051,-0.145,-0.112,0.903,0.779,0.841,8.51,16.89,-9.14,-24.0,-39.5,-42.0
11,578,47.4,38.58,31.31,-0.052,-0.035,-0.061,0.901,0.942,0.912,23.2,40.67,-22.81,-33.0,-29.0,-44.0
16,298,46.64,34.23,26.85,-0.067,-0.144,-0.195,0.874,0.781,0.734,9.54,14.97,-11.08,-33.0,-59.5,-75.0
14,453,45.92,38.41,30.24,-0.082,-0.04,-0.093,0.849,0.935,0.867,14.14,23.27,-15.84,-51.0,-53.0,-73.0
18,116,38.79,34.48,27.59,-0.224,-0.138,-0.172,0.634,0.789,0.762,8.0,11.99,-9.26,-28.0,-20.5,-27.0
