fib,grade_v2,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,max_dd_1R,max_dd_1_5R,max_dd_2R
0.5,A,588,50.34,41.84,31.8,0.007,0.046,-0.046,1.014,1.079,0.933,20.66,35.52,-21.12,-24.0,-22.5,-61.0
0.618,A,532,49.62,41.35,35.53,-0.008,0.034,0.066,0.985,1.058,1.102,14.37,28.68,-16.47,-29.0,-28.5,-18.0
0.618,A+,360,45.28,33.89,26.67,-0.094,-0.153,-0.2,0.827,0.769,0.727,8.17,14.79,-10.35,-48.0,-65.5,-87.0
0.382,A,431,48.26,35.96,28.07,-0.035,-0.101,-0.158,0.933,0.842,0.781,15.79,23.7,-15.68,-40.0,-64.0,-85.0
0.382,B,615,50.57,38.7,27.64,0.011,-0.033,-0.171,1.023,0.947,0.764,25.76,40.12,-23.78,-17.0,-39.0,-110.0
0.618,B,491,51.32,40.94,34.42,0.026,0.023,0.033,1.054,1.04,1.05,21.91,45.02,-23.15,-16.0,-22.5,-26.0
0.5,B,451,52.33,41.46,32.82,0.047,0.037,-0.016,1.098,1.062,0.977,26.29,46.7,-24.86,-13.0,-19.5,-33.0
0.5,C,63,53.97,39.68,31.75,0.079,-0.008,-0.048,1.172,0.987,0.93,26.91,47.33,-24.94,-5.0,-8.0,-8.0
0.5,A+,477,46.54,37.74,31.24,-0.069,-0.057,-0.063,0.871,0.909,0.909,10.16,17.41,-10.87,-42.0,-37.5,-48.0
0.382,A+,221,48.42,36.2,29.86,-0.032,-0.095,-0.104,0.939,0.851,0.852,10.05,15.24,-9.9,-18.0,-32.5,-35.0
0.382,C,279,49.46,36.92,28.67,-0.011,-0.077,-0.14,0.979,0.878,0.804,28.66,41.28,-26.76,-17.0,-26.0,-46.0
0.618,C,133,60.15,48.87,35.34,0.203,0.222,0.06,1.509,1.434,1.093,24.99,50.55,-23.69,-6.0,-10.5,-23.0
