trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,max_dd_1R,max_dd_1_5R,max_dd_2R,test_type,feature_set,feature_count,delta_pf_1R,delta_avg_r_1R,delta_dd_1R,quality_score
224,66.07,54.91,45.09,0.321,0.373,0.353,1.947,1.827,1.642,17.98,46.99,-15.59,-8.0,-10.5,-13.0,triple,vwap_aligned + directional_v_reversal + rel_vol_ge_1_25,3,0.953,0.324,71.0,280.87
156,65.38,54.49,40.38,0.308,0.362,0.212,1.889,1.796,1.355,17.84,41.95,-16.63,-5.0,-7.0,-12.0,triple,vwap_aligned + directional_v_reversal + fib_50,3,0.895,0.311,74.0,277.58
529,61.44,49.53,38.19,0.229,0.238,0.146,1.593,1.472,1.235,18.89,40.39,-18.14,-11.0,-22.0,-34.0,triple,vwap_aligned + directional_recent_fvg + directional_v_reversal,3,0.599,0.232,68.0,267.14
125,63.2,55.2,45.6,0.264,0.38,0.368,1.717,1.848,1.676,18.07,49.57,-15.69,-6.0,-7.0,-9.0,triple,directional_v_reversal + fib_50 + rel_vol_ge_1_25,3,0.723,0.267,73.0,252.3
420,60.95,48.81,37.38,0.219,0.22,0.121,1.561,1.43,1.194,19.48,39.61,-18.8,-8.0,-18.0,-27.0,triple,vwap_aligned + directional_v_reversal + has_liq_sweep,3,0.567,0.222,71.0,246.95
369,61.25,49.05,40.92,0.225,0.226,0.228,1.58,1.444,1.385,17.82,43.74,-16.62,-10.0,-12.5,-18.0,triple,directional_recent_fvg + directional_v_reversal + rel_vol_ge_1_25,3,0.586,0.228,69.0,246.75
303,60.07,47.85,38.28,0.201,0.196,0.149,1.504,1.377,1.241,11.67,29.01,-11.32,-9.0,-19.0,-31.0,triple,vwap_aligned + directional_v_reversal + risk_le_20,3,0.51,0.204,70.0,237.07
537,56.8,44.69,35.94,0.136,0.117,0.078,1.315,1.212,1.122,11.89,26.66,-12.3,-15.0,-27.0,-43.0,triple,directional_recent_fvg + directional_v_reversal + risk_le_20,3,0.321,0.139,64.0,219.4
293,59.39,46.76,38.91,0.188,0.169,0.167,1.462,1.317,1.274,18.04,42.7,-16.88,-13.0,-21.0,-22.0,triple,directional_v_reversal + has_liq_sweep + rel_vol_ge_1_25,3,0.468,0.191,66.0,204.89
224,58.48,46.43,40.62,0.17,0.161,0.219,1.409,1.3,1.368,10.84,27.55,-11.07,-9.0,-15.0,-17.0,triple,directional_v_reversal + risk_le_20 + rel_vol_ge_1_25,3,0.415,0.173,70.0,202.88
733,56.75,44.75,35.33,0.135,0.119,0.06,1.312,1.215,1.093,19.31,40.2,-19.03,-28.0,-38.5,-61.0,triple,directional_recent_fvg + directional_v_reversal + has_liq_sweep,3,0.318,0.138,51.0,199.45
