direction,fib,trade_date,year,month,hour,orb_high,orb_low,orb_range,entry,stop,risk_points,mfe_points,mae_points,hit_1R,hit_1_5R,hit_2R,vwap,dist_vwap,ema_9,ema_20,atr_14,bull_fvg,bear_fvg,bull_displacement,bear_displacement,pdh,pdl,above_vwap,below_vwap,is_displacement_candle,body_pct,rel_vol_20,liquidity_sweeps_recent,recent_bull_fvg,recent_bear_fvg,bull_v_reversal_proxy,bear_v_reversal_proxy,r_1R,r_1_5R,r_2R,vwap_aligned,directional_displacement,directional_recent_fvg,directional_v_reversal,has_recent_liquidity_sweep,low_risk,ok_risk,normal_plus_volume,high_volume,fib_50,fib_618,core_morning,orb_score,grade,has_liq_sweep,risk_le_20,risk_le_15,rel_vol_ge_1_25,body_ge_60,body_lt_60
short,0.382,2018-01-04,2018,1,8,6615.75,6590.25,25.5,6599.991,6615.75,15.759000000000015,8.490999999999985,-13.509000000000015,false,false,false,6601.99826614523,-0.24826614523044555,6596.569290939956,6598.943756286949,5.285714285714286,false,false,false,false,6591.25,6511.25,false,true,false,0.42857142857142855,0.745388379972393,4,true,true,true,false,-1.0,-1.0,-1.0,true,false,true,false,true,true,true,false,false,false,false,true,6,A,true,true,false,false,false,true
short,0.5,2018-01-04,2018,1,8,6615.75,6590.25,25.5,6603.0,6615.75,12.75,11.5,-10.5,false,false,false,6602.0023652064765,0.2476347935235026,6597.7054327519645,6599.258636640573,5.267857142857143,true,false,false,false,6591.25,6511.25,true,false,false,0.07692307692307693,0.7089722180051617,4,true,true,true,false,-1.0,-1.0,-1.0,false,false,true,false,true,true,true,false,false,true,false,true,6,A,true,true,true,false,false,true
short,0.618,2018-01-04,2018,1,9,6615.75,6590.25,25.5,6606.009,6615.75,9.740999999999985,14.509000000000015,-7.4909999999999854,true,false,false,6601.34854480364,5.651455196360075,6603.0648887985035,6601.492805009772,3.267857142857143,true,false,false,false,6591.25,6511.25,true,false,false,0.5714285714285714,1.5440457908697474,2,true,true,true,false,1.0,-1.0,-1.0,false,false,true,false,true,true,true,true,true,false,true,true,7,A,true,true,true,true,false,true
long,0.382,2018-01-08,2018,1,8,6672.5,6658.75,13.75,6667.2475,6658.75,8.4975000000004,23.5024999999996,-7.4975000000004,true,true,true,6665.634909972639,2.1150900273605657,6669.266941620122,6667.565285333987,3.357142857142857,false,false,false,false,6671.0,6599.75,true,false,false,0.45454545454545453,1.2880375858330322,3,true,true,false,true,1.0,1.5,2.0,true,false,true,false,true,true,true,true,true,false,false,true,7,A,true,true,true,true,false,true
long,0.5,2018-01-08,2018,1,9,6672.5,6658.75,13.75,6665.625,6658.75,6.875,25.125,-5.875,true,true,true,6666.227354305303,-4.727354305303379,6667.178230102696,6668.234445075742,3.4642857142857144,false,false,false,true,6671.0,6599.75,false,true,true,0.7931034482758621,2.014481662447754,3,true,true,false,true,1.0,1.5,2.0,false,false,true,false,true,true,true,true,true,true,false,true,7,A,true,true,true,true,true,false
long,0.618,2018-01-08,2018,1,9,6672.5,6658.75,13.75,6664.0025,6658.75,5.2524999999996,26.7475000000004,-4.2524999999996,true,true,true,6666.227354305303,-4.727354305303379,6667.178230102696,6668.234445075742,3.4642857142857144,false,false,false,true,6671.0,6599.75,false,true,true,0.7931034482758621,2.014481662447754,3,true,true,false,true,1.0,1.5,2.0,false,false,true,false,true,true,true,true,true,false,true,true,7,A,true,true,true,true,true,false
short,0.382,2018-01-09,2018,1,9,6704.5,6675.0,29.5,6686.269,6704.5,18.230999999999767,17.269000000000233,-14.980999999999767,false,false,false,6685.141994949038,1.108005050961765,6681.821977173012,6680.304353861408,3.232142857142857,false,false,false,false,6690.75,6653.25,true,false,false,0.9,0.7936195352500984,2,true,true,true,false,-1.0,-1.0,-1.0,false,false,true,false,true,true,true,false,false,false,false,true,5,B,true,true,false,false,true,false
short,0.382,2018-01-10,2018,1,9,6669.0,6647.5,21.5,6655.713,6669.0,13.287000000000262,18.462999999999738,-9.537000000000262,true,false,false,6653.985986554555,1.0140134454450163,6648.909796701665,6646.432783279916,4.160714285714286,true,false,false,false,6712.75,6667.25,true,false,false,0.1875,0.9631585565195524,3,true,true,true,false,1.0,-1.0,-1.0,false,false,true,false,true,true,true,false,false,false,false,true,5,B,true,true,true,false,false,true
long,0.382,2018-01-11,2018,1,9,6689.75,6676.75,13.0,6684.784,6676.75,8.03399999999965,4.216000000000349,-11.03399999999965,false,false,false,6684.601692969026,0.8983070309741379,6688.616001119292,6688.009894576563,3.25,false,true,false,false,6686.75,6628.25,true,false,false,0.6666666666666666,1.186785112930384,4,true,true,false,true,-1.0,-1.0,-1.0,true,false,true,false,true,true,true,true,false,false,false,true,6,A,true,true,true,false,true,false
long,0.5,2018-01-11,2018,1,9,6689.75,6676.75,13.0,6683.25,6676.75,6.5,1.25,-9.5,false,false,false,6684.670207673006,-1.670207673006189,6686.115770366678,6686.762601378557,2.4642857142857144,false,true,false,false,6686.75,6628.25,false,true,false,0.6,1.3964481058815583,4,true,true,false,true,-1.0,-1.0,-1.0,false,false,true,false,true,true,true,true,true,true,false,true,7,A,true,true,true,true,true,false
long,0.618,2018-01-11,2018,1,9,6689.75,6676.75,13.0,6681.716,6676.75,4.966000000000349,2.7839999999996508,-7.966000000000349,false,false,false,6684.640294808244,-2.890294808244107,6684.664093034674,6685.917911786075,2.4285714285714284,false,false,false,false,6686.75,6628.25,false,true,false,0.5,0.6076975016880486,4,true,true,false,true,-1.0,-1.0,-1.0,false,false,true,false,true,true,true,false,false,false,true,true,6,A,true,true,true,false,false,true
short,0.382,2018-01-11,2018,1,9,6689.75,6676.75,13.0,6681.716,6689.75,8.03399999999965,1.7160000000003492,-8.03399999999965,false,false,false,6683.870586058972,-3.8705860589716394,6678.854425909828,6679.912673796175,3.0535714285714284,false,false,false,false,6686.75,6628.25,false,true,false,0.2,0.9620866590649942,4,true,true,true,false,-1.0,-1.0,-1.0,true,false,true,false,true,true,true,false,false,false,false,true,6,A,true,true,true,false,false,true
short,0.5,2018-01-11,2018,1,9,6689.75,6676.75,13.0,6683.25,6689.75,6.5,1.75,-6.5,false,false,false,6683.860962666073,-0.8609626660727372,6680.30683258229,6680.45119102136,3.1607142857142856,true,false,false,false,6686.75,6628.25,false,true,false,0.0,0.5999149056871366,4,true,true,true,false,-1.0,-1.0,-1.0,true,false,true,false,true,true,true,false,false,true,false,true,7,A,true,true,true,false,false,true
short,0.618,2018-01-11,2018,1,9,6689.75,6676.75,13.0,6684.784,6689.75,4.966000000000349,3.2839999999996508,-4.966000000000349,false,false,false,6683.861346823822,0.6386531761781953,6682.486478625706,6681.59923419303,1.9464285714285714,false,false,false,false,6686.75,6628.25,true,false,false,0.16666666666666666,0.7938866482700064,3,true,true,false,false,-1.0,-1.0,-1.0,false,false,true,false,true,true,true,false,false,false,true,true,6,A,true,true,true,false,false,true
long,0.382,2018-01-15,2018,1,9,6780.75,6775.25,5.5,6778.649,6775.25,3.399000000000342,5.100999999999658,-3.649000000000342,true,true,false,6782.750440797505,-4.00044079750478,6779.645083521764,6779.932195749669,0.6964285714285714,false,false,false,false,6777.75,6703.25,false,true,false,0.5,1.8468468468468469,1,true,true,false,true,1.0,1.5,-1.0,false,false,true,false,true,true,true,true,true,false,false,true,6,A,true,true,true,true,false,true
long,0.5,2018-01-15,2018,1,9,6780.75,6775.25,5.5,6778.0,6775.25,2.75,5.75,-3.0,true,true,true,6782.715286881114,-4.71528688111357,6779.049826210515,6779.525514997828,0.7142857142857143,false,false,false,true,6777.75,6703.25,false,true,true,0.6666666666666666,1.7148760330578512,1,true,true,false,true,1.0,1.5,2.0,false,false,true,false,true,true,true,true,true,true,false,true,7,A,true,true,true,true,true,false
short,0.382,2018-01-15,2018,1,11,6780.75,6775.25,5.5,6777.351,6780.75,3.399000000000342,0.35099999999965803,-4.899000000000342,false,false,false,6782.192539650323,-4.442539650322942,6776.307688208775,6775.695214006789,0.5892857142857143,false,false,false,false,6777.75,6703.25,false,true,false,0.6,1.4964028776978417,2,true,true,true,false,-1.0,-1.0,-1.0,true,false,true,false,true,true,true,true,true,false,false,false,6,A,true,true,true,true,true,false
short,0.5,2018-01-15,2018,1,11,6780.75,6775.25,5.5,6778.0,6780.75,2.75,1.0,-4.25,false,false,false,6782.192539650323,-4.442539650322942,6776.307688208775,6775.695214006789,0.5892857142857143,false,false,false,false,6777.75,6703.25,false,true,false,0.6,1.4964028776978417,2,true,true,true,false,-1.0,-1.0,-1.0,true,false,true,false,true,true,true,true,true,true,false,false,7,A,true,true,true,true,true,false
