trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_risk,median_mfe,median_mae,max_dd_1R,max_dd_1_5R,max_dd_2R,test_type,feature_set,quality_score
72,73.61,65.28,54.17,0.472,0.632,0.625,2.789,2.82,2.364,17.98,53.78,-14.02,17.25,33.0,-9.88,-2.0,-2.0,-5.0,triple_inside_v,vwap_aligned + fib_50 + rel_vol_ge_1_25,396.71
59,72.88,66.1,54.24,0.458,0.653,0.627,2.688,2.925,2.37,13.27,49.29,-11.89,11.65,23.26,-8.09,-5.0,-5.0,-5.0,triple_inside_v,vwap_aligned + fib_618 + rel_vol_ge_1_25,379.98
100,72.0,62.0,50.0,0.44,0.55,0.5,2.571,2.447,2.0,14.84,47.47,-14.85,13.37,28.17,-10.6,-4.0,-4.0,-9.0,pair_inside_v,vwap_aligned + fib_618,367.1
170,70.59,59.41,48.82,0.412,0.485,0.465,2.4,2.196,1.908,17.9,49.46,-15.07,15.51,26.21,-10.56,-5.0,-6.5,-13.0,triple_inside_v,vwap_aligned + rel_vol_ge_1_25 + body_lt_60,364.29
73,71.23,63.01,50.68,0.425,0.575,0.521,2.476,2.556,2.056,15.55,50.18,-15.14,14.71,25.91,-10.74,-3.0,-3.0,-6.0,triple_inside_v,vwap_aligned + fib_618 + body_lt_60,356.83
174,70.11,57.47,47.7,0.402,0.437,0.431,2.346,2.027,1.824,14.48,48.24,-14.77,13.37,22.04,-11.51,-6.0,-6.0,-9.0,single_inside_v,fib_618,355.91
55,70.91,60.0,49.09,0.418,0.5,0.473,2.438,2.25,1.929,8.27,31.2,-8.69,8.59,14.54,-7.83,-3.0,-3.0,-6.0,triple_inside_v,vwap_aligned + fib_618 + risk_le_15,352.01
120,70.83,60.0,43.33,0.417,0.5,0.3,2.429,2.25,1.529,17.76,44.45,-15.76,16.06,26.0,-13.12,-4.0,-6.0,-10.0,triple_inside_v,vwap_aligned + fib_50 + body_lt_60,349.43
72,70.83,61.11,51.39,0.417,0.528,0.542,2.429,2.357,2.114,10.45,39.18,-10.22,9.93,17.26,-8.54,-4.0,-3.5,-6.0,triple_inside_v,vwap_aligned + fib_618 + risk_le_20,349.43
134,70.15,58.21,47.76,0.403,0.455,0.433,2.35,2.089,1.829,14.95,52.4,-14.65,14.09,21.01,-11.46,-4.0,-8.0,-13.0,pair_inside_v,fib_618 + body_lt_60,339.45
81,69.14,61.73,49.38,0.383,0.543,0.481,2.24,2.419,1.951,15.1,44.69,-15.3,13.18,25.91,-10.74,-3.0,-3.0,-5.0,triple_inside_v,vwap_aligned + fib_618 + has_liq_sweep,326.94
110,68.18,58.18,46.36,0.364,0.455,0.391,2.143,2.087,1.729,15.44,51.31,-15.21,14.28,22.54,-11.85,-6.0,-11.5,-15.0,triple_inside_v,fib_618 + body_lt_60 + has_liq_sweep,309.88
145,67.59,56.55,46.9,0.352,0.414,0.407,2.085,1.952,1.766,14.88,47.31,-15.27,13.18,22.57,-11.75,-5.0,-9.0,-11.0,pair_inside_v,fib_618 + has_liq_sweep,303.79
380,64.47,52.63,39.74,0.289,0.316,0.192,1.815,1.667,1.319,19.0,42.38,-17.81,17.69,25.19,-14.94,-8.0,-15.0,-26.0,pair_inside_v,vwap_aligned + body_lt_60,302.87
101,67.33,52.48,43.56,0.347,0.312,0.307,2.061,1.656,1.544,8.52,28.76,-9.94,8.59,12.18,-8.71,-4.0,-6.5,-9.0,pair_inside_v,fib_618 + risk_le_15,302.13
101,67.33,52.48,43.56,0.347,0.312,0.307,2.061,1.656,1.544,8.52,28.76,-9.94,8.59,12.18,-8.71,-4.0,-6.5,-9.0,triple_inside_v,fib_618 + risk_le_20 + risk_le_15,302.13
224,66.07,54.91,45.09,0.321,0.373,0.353,1.947,1.827,1.642,17.98,46.99,-15.59,16.92,25.42,-11.0,-8.0,-10.5,-13.0,pair_inside_v,vwap_aligned + rel_vol_ge_1_25,300.87
98,67.35,58.16,48.98,0.347,0.454,0.469,2.062,2.085,1.92,13.25,43.68,-13.19,11.56,16.3,-9.56,-5.0,-4.5,-8.0,pair_inside_v,fib_618 + rel_vol_ge_1_25,300.75
178,65.73,53.93,43.82,0.315,0.348,0.315,1.918,1.756,1.56,17.89,44.57,-15.41,16.92,25.85,-11.0,-6.0,-8.5,-11.0,triple_inside_v,vwap_aligned + rel_vol_ge_1_25 + has_liq_sweep,300.03
156,65.38,54.49,40.38,0.308,0.362,0.212,1.889,1.796,1.355,17.84,41.95,-16.63,17.12,23.94,-13.75,-5.0,-7.0,-12.0,pair_inside_v,vwap_aligned + fib_50,297.58
82,67.07,58.54,48.78,0.341,0.463,0.463,2.037,2.118,1.905,13.88,46.71,-13.05,12.08,17.94,-9.76,-5.0,-7.0,-10.0,triple_inside_v,fib_618 + rel_vol_ge_1_25 + body_lt_60,297.37
305,63.93,52.46,38.69,0.279,0.311,0.161,1.773,1.655,1.262,19.67,42.09,-18.56,18.85,26.38,-15.57,-8.0,-12.0,-21.0,triple_inside_v,vwap_aligned + body_lt_60 + has_liq_sweep,297.13
130,66.92,53.85,45.38,0.338,0.346,0.362,2.023,1.75,1.662,10.5,35.54,-11.45,10.03,14.77,-9.62,-5.0,-6.5,-9.0,pair_inside_v,fib_618 + risk_le_20,295.52
120,66.67,55.0,39.17,0.333,0.375,0.175,2.0,1.833,1.288,18.62,41.56,-17.36,17.5,24.62,-15.0,-3.0,-4.0,-9.0,triple_inside_v,vwap_aligned + fib_50 + has_liq_sweep,295.47
98,66.33,53.06,42.86,0.327,0.327,0.286,1.97,1.696,1.5,10.68,36.32,-11.25,10.46,14.77,-9.84,-4.0,-10.5,-13.0,triple_inside_v,fib_618 + risk_le_20 + body_lt_60,290.03
75,66.67,52.0,41.33,0.333,0.3,0.24,2.0,1.625,1.409,8.66,30.55,-8.97,8.69,11.74,-8.49,-7.0,-8.5,-12.0,triple_inside_v,fib_618 + risk_le_15 + body_lt_60,289.47
106,66.04,56.6,48.11,0.321,0.415,0.443,1.944,1.957,1.855,18.23,51.09,-14.78,17.44,26.31,-11.44,-6.0,-7.5,-7.0,triple_inside_v,fib_50 + rel_vol_ge_1_25 + body_lt_60,283.54
72,65.28,54.17,40.28,0.306,0.354,0.208,1.88,1.773,1.349,9.74,27.46,-8.78,10.38,13.75,-8.56,-3.0,-7.0,-9.0,triple_inside_v,vwap_aligned + fib_50 + risk_le_15,279.38
288,63.89,51.04,42.71,0.278,0.276,0.281,1.769,1.564,1.491,17.82,45.23,-16.0,16.25,22.38,-12.81,-10.0,-16.0,-22.0,pair_inside_v,rel_vol_ge_1_25 + body_lt_60,273.59
99,64.65,51.52,39.39,0.293,0.288,0.182,1.829,1.594,1.3,11.91,30.38,-11.21,12.12,18.38,-11.0,-4.0,-7.5,-12.0,triple_inside_v,vwap_aligned + fib_50 + risk_le_20,270.85
529,61.44,49.53,38.19,0.229,0.238,0.146,1.593,1.472,1.235,18.89,40.39,-18.14,17.62,23.26,-15.57,-11.0,-22.0,-34.0,single_inside_v,vwap_aligned,267.14
420,60.95,48.81,37.38,0.219,0.22,0.121,1.561,1.43,1.194,19.48,39.61,-18.8,18.52,23.71,-16.16,-8.0,-18.0,-27.0,pair_inside_v,vwap_aligned + has_liq_sweep,266.95
158,62.66,50.0,38.61,0.253,0.25,0.158,1.678,1.5,1.258,9.41,26.29,-8.41,9.79,12.25,-7.79,-6.0,-8.0,-17.0,triple_inside_v,vwap_aligned + risk_le_15 + body_lt_60,266.76
369,61.25,49.05,40.92,0.225,0.226,0.228,1.58,1.444,1.385,17.82,43.74,-16.62,16.84,20.2,-13.0,-10.0,-12.5,-18.0,single_inside_v,rel_vol_ge_1_25,266.75
135,64.44,53.33,45.93,0.289,0.333,0.378,1.812,1.714,1.699,10.76,33.59,-8.89,10.62,13.11,-7.45,-7.0,-10.0,-13.0,triple_inside_v,vwap_aligned + risk_le_20 + rel_vol_ge_1_25,264.04
215,62.33,50.23,39.53,0.247,0.256,0.186,1.654,1.514,1.308,11.53,30.14,-10.64,11.56,15.32,-10.31,-7.0,-9.0,-21.0,triple_inside_v,vwap_aligned + risk_le_20 + body_lt_60,261.93
61,63.93,50.82,44.26,0.279,0.27,0.328,1.773,1.55,1.588,7.71,24.19,-9.34,7.54,9.44,-6.94,-5.0,-4.5,-7.0,triple_inside_v,fib_618 + risk_le_15 + rel_vol_ge_1_25,261.63
77,63.64,53.25,46.75,0.273,0.331,0.403,1.75,1.708,1.756,9.7,29.33,-10.66,8.98,12.21,-8.49,-5.0,-4.5,-8.0,triple_inside_v,fib_618 + risk_le_20 + rel_vol_ge_1_25,258.44
303,60.07,47.85,38.28,0.201,0.196,0.149,1.504,1.377,1.241,11.67,29.01,-11.32,11.75,15.17,-10.55,-9.0,-19.0,-31.0,pair_inside_v,vwap_aligned + risk_le_20,257.07
82,63.41,54.88,46.34,0.268,0.372,0.39,1.733,1.824,1.727,13.8,43.44,-14.02,11.84,17.02,-10.2,-5.0,-7.5,-9.0,triple_inside_v,fib_618 + rel_vol_ge_1_25 + has_liq_sweep,256.01
