year,v_exec_grade,trades,winrate_scaleout,avg_scaleout_r,pf_scaleout,max_dd_scaleout,avg_risk,avg_mfe,avg_mae,tp1_rate,tp2_rate,tp3_rate
2024,C,34,73.53,0.706,3.667,-3.0,26.57,71.57,-23.41,73.53,64.71,55.88
2024,A,29,62.07,0.385,2.015,-3.5,19.96,45.01,-20.02,62.07,51.72,37.93
2023,C,39,38.46,-0.179,0.708,-7.83,20.75,25.31,-22.4,38.46,30.77,15.38
2023,B,43,55.81,0.236,1.535,-9.67,23.84,41.75,-19.51,55.81,44.19,37.21
2025,A,35,80.0,0.867,5.334,-4.0,19.82,70.86,-19.33,80.0,74.29,54.29
2025,B,35,68.57,0.462,2.47,-2.67,23.81,66.14,-24.77,68.57,48.57,42.86
2018,C,29,72.41,0.569,3.063,-3.0,13.3,24.47,-11.1,72.41,58.62,34.48
2021,C,47,57.45,0.223,1.525,-4.0,18.91,30.31,-18.91,57.45,40.43,36.17
2022,C,43,25.58,-0.45,0.396,-20.83,28.17,42.89,-31.42,25.58,18.6,16.28
2020,B,32,59.38,0.26,1.641,-5.0,18.97,34.34,-18.73,59.38,43.75,31.25
2019,A+,27,48.15,0.062,1.119,-5.0,7.79,18.89,-7.78,48.15,37.04,33.33
2021,B,40,52.5,0.096,1.202,-4.67,19.0,31.66,-18.54,52.5,37.5,25.0
2025,C,37,40.54,-0.077,0.871,-8.33,23.29,43.03,-27.2,40.54,35.14,27.03
2019,B,54,42.59,-0.062,0.892,-8.0,10.47,15.14,-10.47,42.59,33.33,27.78
2023,A,30,56.67,0.2,1.461,-3.83,20.1,38.36,-21.8,56.67,40.0,33.33
2018,B,30,50.0,0.111,1.222,-6.17,14.5,21.7,-12.67,50.0,40.0,33.33
2020,C,32,62.5,0.339,1.903,-4.0,19.53,34.66,-18.1,62.5,46.88,34.38
2019,A,37,51.35,0.09,1.185,-3.33,9.57,15.55,-9.8,51.35,37.84,27.03
2022,B,31,61.29,0.393,2.014,-3.0,27.23,61.63,-27.21,61.29,54.84,35.48
2024,B,35,60.0,0.305,1.762,-4.0,24.66,48.92,-25.42,60.0,45.71,37.14
