column,nulls,unique
above_vwap,0,2
any_ifvg_proxy_fast,0,2
any_liquidity_sweep_reclaim_last_30m,0,2
any_v_reversal_proxy,0,2
asia_high_sweep_reclaim_last_30m,0,2
asia_high_sweep_reclaim_now,0,2
asia_low_sweep_reclaim_last_30m,0,2
asia_low_sweep_reclaim_now,0,2
bear_displacement,4,3
bear_fvg,2,3
bear_fvg_high,2617759,72073
bear_fvg_low,2617759,72071
bear_fvg_min_2pt,2,3
bear_fvg_size,2617759,1026
bear_ifvg_proxy_fast,0,2
bear_v_reversal_proxy,0,2
below_vwap,0,2
bull_displacement,6,3
bull_fvg,2,3
bull_fvg_high,2599448,73384
bull_fvg_low,2599448,73450
bull_fvg_min_2pt,2,3
bull_fvg_size,2599448,1009
bull_ifvg_proxy_fast,0,2
bull_v_reversal_proxy,0,2
dist_vwap,0,2935560
dist_vwap_day,0,2935560
inside_bear_fvg_current_bar,0,2
inside_bull_fvg_current_bar,0,2
is_displacement_candle,855,3
liquidity_sweep_reclaim_count_last_30m,0,9
london_high_sweep_reclaim_last_30m,0,2
london_high_sweep_reclaim_now,0,2
london_low_sweep_reclaim_last_30m,0,2
london_low_sweep_reclaim_now,0,2
pdh_sweep_close_back_below,208108,3
pdh_sweep_reclaim_last_30m,0,2
pdh_sweep_reclaim_now,0,2
pdl_sweep_close_back_above,208108,3
pdl_sweep_reclaim_last_30m,0,2
