trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,max_dd_1R,max_dd_1_5R,max_dd_2R,avg_risk,avg_mfe,avg_mae,test_type,feature_set,quality_score
2601,50.33,38.68,31.49,0.007,-0.033,-0.055,1.013,0.946,0.919,-57.0,-147.0,-198.0,12.25,26.21,-14.65,single,directional_displacement=True,106.83
63974,50.79,40.35,33.1,0.016,0.009,-0.007,1.032,1.015,0.989,-214.0,-341.5,-1053.0,12.29,26.47,-14.91,single,directional_displacement=False,-125.41
64886,50.75,40.25,32.98,0.015,0.006,-0.011,1.03,1.01,0.984,-270.0,-472.5,-1329.0,12.35,26.38,-14.94,single,directional_v_reversal=True,-209.75
1689,51.63,41.74,35.23,0.033,0.044,0.057,1.067,1.075,1.088,-35.0,-36.5,-52.0,10.14,29.74,-13.43,single,directional_v_reversal=False,149.13
36464,51.99,41.41,34.05,0.04,0.035,0.022,1.083,1.06,1.033,-73.0,-129.5,-259.0,12.45,27.26,-15.0,single,vwap_aligned=True,94.79
30111,49.29,38.92,31.8,-0.014,-0.027,-0.046,0.972,0.956,0.933,-598.0,-968.5,-1494.0,12.1,25.5,-14.77,single,vwap_aligned=False,-711.91
45147,50.7,40.37,33.1,0.014,0.009,-0.007,1.029,1.015,0.989,-250.0,-357.0,-836.0,12.82,27.74,-15.53,single,has_liq_sweep=True,-180.0
21428,50.91,40.11,32.9,0.018,0.003,-0.013,1.037,1.005,0.981,-67.0,-140.0,-520.0,11.17,23.78,-13.57,single,has_liq_sweep=False,95.91
66575,50.77,40.28,33.03,0.015,0.007,-0.009,1.031,1.012,0.987,-224.0,-420.5,-1221.0,12.29,26.46,-14.9,single,inside_directional_fvg_entry=False,-140.63
10006,80.19,65.28,54.11,0.604,0.632,0.623,4.048,2.82,2.358,-5.0,-12.5,-14.0,12.27,41.36,-13.27,single,ifvg_proxy=True,577.89
56569,45.56,35.86,29.31,-0.089,-0.103,-0.121,0.837,0.839,0.829,-5023.0,-5855.0,-6851.0,12.29,23.83,-15.19,single,ifvg_proxy=False,-7374.14
36562,61.65,48.95,40.16,0.233,0.224,0.205,1.608,1.438,1.342,-19.0,-37.0,-60.0,12.26,31.66,-14.15,single,body_lt_60=True,257.25
30013,37.51,29.73,24.36,-0.25,-0.257,-0.269,0.6,0.635,0.644,-7500.0,-7712.0,-8095.0,12.33,20.13,-15.81,single,body_lt_60=False,-11137.49
15906,45.03,35.93,29.47,-0.099,-0.102,-0.116,0.819,0.841,0.836,-1588.0,-1633.0,-1863.0,12.28,24.03,-16.08,single,rel_vol_ge_1_25=True,-2224.97
50669,52.57,41.65,34.15,0.051,0.041,0.025,1.108,1.071,1.037,-50.0,-104.5,-243.0,12.3,27.23,-14.53,single,rel_vol_ge_1_25=False,133.47
57501,50.89,40.38,33.16,0.018,0.01,-0.005,1.036,1.016,0.992,-261.0,-368.0,-936.0,10.07,22.39,-12.6,single,risk_le_20=True,-195.21
9074,50.0,39.65,32.23,0.0,-0.009,-0.033,1.0,0.986,0.951,-161.0,-222.0,-462.0,26.36,52.28,-29.48,single,risk_le_20=False,-51.5
40957,50.31,39.88,32.75,0.006,-0.003,-0.018,1.013,0.995,0.974,-363.0,-550.5,-981.0,14.12,29.63,-16.82,single,fvg_size_ge_2=True,-352.29
25618,51.5,40.92,33.49,0.03,0.023,0.005,1.062,1.039,1.007,-62.0,-90.5,-340.0,9.36,21.4,-11.83,single,fvg_size_ge_2=False,107.7
2558,50.43,38.9,31.59,0.009,-0.028,-0.052,1.017,0.955,0.923,-54.0,-137.5,-193.0,12.28,26.2,-14.69,pair,directional_displacement + directional_v_reversal,112.03
1422,51.69,40.23,33.05,0.034,0.006,-0.008,1.07,1.009,0.987,-20.0,-41.0,-63.0,12.43,26.66,-14.6,pair,directional_displacement + vwap_aligned,172.09
1873,49.44,38.01,31.07,-0.011,-0.05,-0.068,0.978,0.92,0.902,-70.0,-131.5,-157.0,12.82,27.43,-15.22,pair,directional_displacement + has_liq_sweep,81.14
