combo,trades,winrate,avg_r,pf,max_dd,avg_risk,avg_mfe,avg_mae,tp1_rate,tp2_rate,tp3_rate
VWAP|VREV|LIQ|BODY_LT60|,172,70.93,0.452,2.553,-4.0,27.53,38.51,-16.13,70.93,50.0,26.74
VREV|LIQ|BODY_LT60|,145,64.83,0.371,2.056,-6.5,26.69,35.58,-17.3,64.83,50.34,26.21
VWAP|VREV|LIQ|BODY_LT60|RVOL|RISK20|,157,60.51,0.238,1.602,-4.5,8.33,11.77,-5.79,60.51,42.04,24.2
VWAP|BODY_LT60|RISK20|,161,59.63,0.224,1.554,-5.5,6.95,10.18,-6.1,59.63,42.24,22.98
VWAP|VREV|BODY_LT60|RISK20|,541,57.67,0.174,1.411,-10.33,8.14,9.9,-6.59,57.67,41.22,18.48
VWAP|VREV|LIQ|BODY_LT60|RISK20|,976,56.05,0.146,1.332,-15.0,8.98,11.2,-7.34,56.05,39.04,22.03
VREV|LIQ|BODY_LT60|RISK20|,880,56.36,0.14,1.321,-14.5,8.81,10.9,-7.12,56.36,38.07,21.36
VREV|BODY_LT60|RISK20|,510,56.08,0.135,1.307,-13.33,8.03,10.21,-6.2,56.08,39.02,18.63
BODY_LT60|RISK20|,230,53.48,0.13,1.28,-9.5,6.76,9.87,-6.5,53.48,40.87,23.04
VWAP|LIQ|BODY_LT60|RISK20|,292,52.05,0.106,1.22,-10.83,7.7,10.67,-7.44,52.05,39.38,25.0
LIQ|BODY_LT60|RISK20|,442,49.1,0.021,1.041,-20.83,7.67,10.02,-8.32,49.1,35.52,21.04
VWAP|VREV|LIQ|RVOL|RISK20|,140,46.43,-0.021,0.96,-8.67,8.1,8.9,-11.21,46.43,35.71,18.57
VREV|LIQ|BODY_LT60|RVOL|RISK20|,137,47.45,-0.051,0.903,-19.83,7.53,9.15,-8.12,47.45,32.12,14.6
RISK20|,101,40.59,-0.153,0.742,-20.17,6.9,6.32,-8.83,40.59,28.71,19.8
VWAP|VREV|LIQ|RISK20|,487,39.01,-0.179,0.706,-104.83,9.22,8.26,-10.07,39.01,29.16,17.25
LIQ|RISK20|,237,37.13,-0.189,0.699,-51.66,7.64,8.76,-10.21,37.13,29.96,19.83
VWAP|VREV|RISK20|,270,40.0,-0.194,0.677,-54.34,8.34,7.8,-8.91,40.0,25.93,17.04
VWAP|LIQ|RISK20|,146,36.3,-0.226,0.645,-37.67,7.78,7.86,-10.52,36.3,27.4,18.49
VREV|LIQ|RISK20|,523,36.71,-0.254,0.599,-132.84,8.63,6.89,-10.13,36.71,25.05,14.34
VREV|RISK20|,265,34.34,-0.276,0.58,-74.5,7.66,6.49,-9.76,34.34,25.28,16.6
VREV|LIQ|RVOL|RISK20|,147,30.61,-0.388,0.441,-60.0,8.48,5.44,-12.61,30.61,20.41,10.2
