candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,natural_risk_points,risk_points,stop_was_capped,exit_ts,final_exit_price,tp1_hit,tp2_hit,tp3_hit,stopped,closed_eod,contract_points,mnq_profit_dollars,largest_open_adverse_points,ambiguous_bars,entry_bar_ambiguous,stop_tp_same_bar_count,be_tp_same_bar_count,result
3,true,"",2026-01-02T08:00:00.000000,2026-01-02T15:12:00.000000,bull,NQH6,25625.75,25637.0,25631.375,11.25,25637.0,25625.75,11.25,11.25,false,2026-01-02T15:12:00.000000,25625.75,false,false,false,true,false,-33.75,-67.5,-19.25,1,true,1,0,stop
26,true,"",2026-01-18T20:00:00.000000,2026-01-18T23:00:00.000000,bear,NQH6,25472.0,25654.0,25563.0,182.0,25472.0,25547.0,182.0,75.0,true,2026-01-18T23:00:00.000000,25472.0,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
33,true,"",2026-01-25T20:00:00.000000,2026-01-25T23:00:00.000000,bear,NQH6,25585.5,25683.0,25634.25,97.5,25585.5,25660.5,97.5,75.0,true,2026-01-25T23:00:00.000000,25585.5,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
49,true,"",2026-02-06T12:00:00.000000,2026-02-06T14:32:00.000000,bull,NQH6,24613.75,24700.75,24657.25,87.0,24700.75,24625.75,87.0,75.0,true,2026-02-06T14:32:00.000000,24700.75,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
52,true,"",2026-02-08T20:00:00.000000,2026-02-08T23:00:00.000000,bull,NQH6,25124.0,25153.75,25138.875,29.75,25153.75,25124.0,29.75,29.75,false,2026-02-08T23:00:00.000000,25153.75,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
72,true,"",2026-03-03T12:00:00.000000,2026-03-03T14:39:00.000000,bear,NQH6,24661.25,24668.5,24664.875,7.25,24661.25,24668.5,7.25,7.25,false,2026-03-03T14:39:00.000000,24661.25,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
77,true,"",2026-03-06T12:00:00.000000,2026-03-06T13:30:00.000000,bear,NQH6,24908.75,25091.75,25000.25,183.0,24908.75,24983.75,183.0,75.0,true,2026-03-06T13:30:00.000000,24908.75,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
78,true,"",2026-03-08T20:00:00.000000,2026-03-08T22:00:00.000000,bear,NQH6,24473.0,24744.25,24608.625,271.25,24473.0,24548.0,271.25,75.0,true,2026-03-08T22:00:00.000000,24473.0,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
95,true,"",2026-03-26T20:00:00.000000,2026-03-26T20:12:00.000000,bear,NQM6,24022.25,24030.25,24026.25,8.0,24022.25,24030.25,8.0,8.0,false,2026-03-26T20:12:00.000000,24022.25,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
97,true,"",2026-03-27T16:00:00.000000,2026-03-30T11:26:00.000000,bear,NQM6,23556.75,23608.25,23582.5,51.5,23556.75,23608.25,51.5,51.5,false,2026-03-30T11:26:00.000000,23556.75,true,false,false,true,false,25.0,50.0,-17.25,1,false,0,1,tp1_partial_or_be
96,true,"",2026-03-27T12:00:00.000000,2026-03-31T16:39:00.000000,bear,NQM6,23667.5,23853.75,23760.625,186.25,23667.5,23742.5,186.25,75.0,true,2026-03-31T16:39:00.000000,23667.5,true,false,false,true,false,25.0,50.0,-2.75,1,false,0,1,tp1_partial_or_be
130,true,"",2026-04-17T16:00:00.000000,2026-04-17T17:24:00.000000,bull,NQM6,26568.25,26735.5,26651.875,167.25,26735.5,26660.5,167.25,75.0,true,2026-04-17T17:24:00.000000,26735.5,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
141,true,"",2026-04-30T00:00:00.000000,2026-04-30T02:31:00.000000,bull,NQM6,27340.25,27386.5,27363.375,46.25,27386.5,27340.25,46.25,46.25,false,2026-04-30T02:31:00.000000,27386.5,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
