candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,natural_risk_points,risk_points,stop_was_capped,exit_ts,final_exit_price,tp1_hit,tp2_hit,tp3_hit,stopped,closed_eod,contract_points,mnq_profit_dollars,largest_open_adverse_points,ambiguous_bars,entry_bar_ambiguous,stop_tp_same_bar_count,be_tp_same_bar_count,result
13,true,"",2026-01-09T16:00:00.000000,2026-01-12T00:38:00.000000,bull,NQH6,25767.25,25810.75,25789.0,43.5,25810.75,25767.25,43.5,43.5,false,2026-01-12T01:02:00.000000,25767.25,false,false,false,true,false,-130.5,-261.0,-48.75,0,false,0,0,stop
59,true,"",2026-02-18T08:00:00.000000,2026-02-18T13:47:00.000000,bull,NQH6,24798.75,24833.5,24816.125,34.75,24833.5,24798.75,34.75,34.75,false,2026-02-18T14:30:00.000000,24798.75,false,false,false,true,false,-104.25,-208.5,-81.5,0,false,0,0,stop
38,true,"",2026-01-28T00:00:00.000000,2026-01-28T16:42:00.000000,bull,NQH6,26106.75,26135.5,26121.125,28.75,26135.5,26106.75,28.75,28.75,false,2026-01-28T16:53:00.000000,26106.75,false,false,false,true,false,-86.25,-172.5,-32.0,0,false,0,0,stop
89,true,"",2026-03-18T12:00:00.000000,2026-04-08T04:05:00.000000,bear,NQM6,25119.0,25130.5,25124.75,11.5,25119.0,25130.5,11.5,11.5,false,2026-04-08T04:13:00.000000,25130.5,false,false,false,true,false,-34.5,-69.0,-20.0,0,false,0,0,stop
3,true,"",2026-01-02T08:00:00.000000,2026-01-02T15:12:00.000000,bull,NQH6,25625.75,25637.0,25631.375,11.25,25637.0,25625.75,11.25,11.25,false,2026-01-02T15:12:00.000000,25625.75,false,false,false,true,false,-33.75,-67.5,-19.25,1,true,1,0,stop
6,true,"",2026-01-06T04:00:00.000000,2026-01-06T08:09:00.000000,bull,NQH6,25613.0,25620.5,25616.75,7.5,25620.5,25613.0,7.5,7.5,false,2026-01-06T08:11:00.000000,25613.0,false,false,false,true,false,-22.5,-45.0,-11.0,0,false,0,0,stop
32,true,"",2026-01-23T04:00:00.000000,2026-01-23T07:46:00.000000,bull,NQH6,25676.5,25682.25,25679.375,5.75,25682.25,25676.5,5.75,5.75,false,2026-01-23T08:01:00.000000,25676.5,false,false,false,true,false,-17.25,-34.5,-8.25,0,false,0,0,stop
92,true,"",2026-03-20T20:00:00.000000,2026-03-20T20:59:00.000000,bear,NQM6,24219.75,24231.25,24225.5,11.5,24219.75,24231.25,11.5,11.5,false,2026-03-20T20:59:00.000000,24217.25,false,false,false,false,true,7.5,15.0,0.0,0,false,0,0,eod
1,true,"",2026-01-01T20:00:00.000000,2026-01-01T23:46:00.000000,bear,NQH6,25504.0,25532.0,25518.0,28.0,25504.0,25532.0,28.0,28.0,false,2026-01-02T00:20:00.000000,25504.0,true,false,false,true,false,25.0,50.0,-3.25,0,false,0,0,tp1_partial_or_be
11,true,"",2026-01-08T04:00:00.000000,2026-01-08T07:24:00.000000,bear,NQH6,25805.25,25814.5,25809.875,9.25,25805.25,25814.5,9.25,9.25,false,2026-01-08T07:24:00.000000,25805.25,true,false,false,true,false,25.0,50.0,0.0,0,false,0,0,tp1_partial_or_be
17,true,"",2026-01-12T16:00:00.000000,2026-01-12T23:53:00.000000,bull,NQH6,25750.0,25901.0,25825.5,151.0,25901.0,25826.0,151.0,75.0,true,2026-01-13T08:15:00.000000,25901.0,true,false,false,true,false,25.0,50.0,-55.25,0,false,0,0,tp1_partial_or_be
19,true,"",2026-01-14T12:00:00.000000,2026-01-14T13:30:00.000000,bear,NQH6,25805.5,25835.5,25820.5,30.0,25805.5,25835.5,30.0,30.0,false,2026-01-14T13:30:00.000000,25805.5,true,false,false,true,false,25.0,50.0,0.0,0,false,0,0,tp1_partial_or_be
22,true,"",2026-01-15T12:00:00.000000,2026-01-15T15:52:00.000000,bull,NQH6,25723.0,25803.25,25763.125,80.25,25803.25,25728.25,80.25,75.0,true,2026-01-15T15:52:00.000000,25803.25,true,false,false,true,false,25.0,50.0,0.0,0,false,0,0,tp1_partial_or_be
26,true,"",2026-01-18T20:00:00.000000,2026-01-18T23:00:00.000000,bear,NQH6,25472.0,25654.0,25563.0,182.0,25472.0,25547.0,182.0,75.0,true,2026-01-18T23:00:00.000000,25472.0,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
28,true,"",2026-01-19T20:00:00.000000,2026-01-19T23:16:00.000000,bull,NQH6,25348.5,25367.25,25357.875,18.75,25367.25,25348.5,18.75,18.75,false,2026-01-20T00:00:00.000000,25367.25,true,false,false,true,false,25.0,50.0,-5.75,0,false,0,0,tp1_partial_or_be
29,true,"",2026-01-20T08:00:00.000000,2026-01-20T14:30:00.000000,bear,NQH6,25288.25,25323.75,25306.0,35.5,25288.25,25323.75,35.5,35.5,false,2026-01-20T14:30:00.000000,25288.25,true,false,false,true,false,25.0,50.0,-28.25,0,false,0,0,tp1_partial_or_be
27,true,"",2026-01-19T00:00:00.000000,2026-01-21T15:46:00.000000,bear,NQH6,25470.0,25671.0,25570.5,201.0,25470.0,25545.0,201.0,75.0,true,2026-01-21T16:28:00.000000,25470.0,true,false,false,true,false,25.0,50.0,-24.25,0,false,0,0,tp1_partial_or_be
33,true,"",2026-01-25T20:00:00.000000,2026-01-25T23:00:00.000000,bear,NQH6,25585.5,25683.0,25634.25,97.5,25585.5,25660.5,97.5,75.0,true,2026-01-25T23:00:00.000000,25585.5,true,false,false,true,false,25.0,50.0,0.0,1,false,0,1,tp1_partial_or_be
36,true,"",2026-01-26T16:00:00.000000,2026-01-26T16:21:00.000000,bull,NQH6,25742.0,25850.75,25796.375,108.75,25850.75,25775.75,108.75,75.0,true,2026-01-26T16:21:00.000000,25850.75,true,false,false,true,false,25.0,50.0,0.0,0,false,0,0,tp1_partial_or_be
39,true,"",2026-01-28T04:00:00.000000,2026-01-28T15:34:00.000000,bull,NQH6,26148.0,26200.5,26174.25,52.5,26200.5,26148.0,52.5,52.5,false,2026-01-28T15:41:00.000000,26200.5,true,false,false,true,false,25.0,50.0,-10.25,0,false,0,0,tp1_partial_or_be
