candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,risk_points,exit_ts,final_exit_price,tp1_hit,tp2_hit,tp3_hit,stopped,closed_eod,contract_points,mnq_profit_dollars,largest_open_adverse_points,result
96,true,"",2026-03-27T12:00:00.000000,2026-03-31T16:39:00.000000,bear,NQM6,23667.5,23853.75,23760.625,186.25,23667.5,23853.75,186.25,2026-03-31T16:43:00.000000,23853.75,false,false,false,true,false,-558.75,-1117.5,-189.75,stop
44,true,"",2026-02-02T12:00:00.000000,2026-02-03T17:12:00.000000,bull,NQH6,25376.0,25450.0,25413.0,74.0,25450.0,25376.0,74.0,2026-02-03T17:36:00.000000,25376.0,false,false,false,true,false,-222.0,-444.0,-88.0,stop
13,true,"",2026-01-09T16:00:00.000000,2026-01-12T00:38:00.000000,bull,NQH6,25767.25,25810.75,25789.0,43.5,25810.75,25767.25,43.5,2026-01-12T01:02:00.000000,25767.25,false,false,false,true,false,-130.5,-261.0,-48.75,stop
59,true,"",2026-02-18T08:00:00.000000,2026-02-18T13:47:00.000000,bull,NQH6,24798.75,24833.5,24816.125,34.75,24833.5,24798.75,34.75,2026-02-18T14:30:00.000000,24798.75,false,false,false,true,false,-104.25,-208.5,-81.5,stop
38,true,"",2026-01-28T00:00:00.000000,2026-01-28T16:42:00.000000,bull,NQH6,26106.75,26135.5,26121.125,28.75,26135.5,26106.75,28.75,2026-01-28T16:53:00.000000,26106.75,false,false,false,true,false,-86.25,-172.5,-32.0,stop
89,true,"",2026-03-18T12:00:00.000000,2026-04-08T04:05:00.000000,bear,NQM6,25119.0,25130.5,25124.75,11.5,25119.0,25130.5,11.5,2026-04-08T04:13:00.000000,25130.5,false,false,false,true,false,-34.5,-69.0,-20.0,stop
3,true,"",2026-01-02T08:00:00.000000,2026-01-02T15:12:00.000000,bull,NQH6,25625.75,25637.0,25631.375,11.25,25637.0,25625.75,11.25,2026-01-02T15:13:00.000000,25625.75,false,false,false,true,false,-33.75,-67.5,-17.5,stop
6,true,"",2026-01-06T04:00:00.000000,2026-01-06T08:09:00.000000,bull,NQH6,25613.0,25620.5,25616.75,7.5,25620.5,25613.0,7.5,2026-01-06T08:11:00.000000,25613.0,false,false,false,true,false,-22.5,-45.0,-11.0,stop
50,true,"",2026-02-06T16:00:00.000000,2026-02-12T16:20:00.000000,bull,NQH6,24873.25,24880.5,24876.875,7.25,24880.5,24873.25,7.25,2026-02-12T16:21:00.000000,24873.25,false,false,false,true,false,-21.75,-43.5,-10.25,stop
32,true,"",2026-01-23T04:00:00.000000,2026-01-23T07:46:00.000000,bull,NQH6,25676.5,25682.25,25679.375,5.75,25682.25,25676.5,5.75,2026-01-23T08:01:00.000000,25676.5,false,false,false,true,false,-17.25,-34.5,-8.25,stop
