candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,natural_risk_points,risk_points,max_sl,stop_was_capped,exit_ts,final_exit_price,tp1_hit,tp2_hit,tp3_hit,stopped,closed_eod,contract_points,mnq_profit_dollars,largest_open_adverse_points,result
1,true,"",2026-01-01T20:00:00.000000,2026-01-01T23:46:00.000000,bear,NQH6,25504.0,25532.0,25518.0,28.0,25504.0,25532.0,28.0,28.0,100,false,2026-01-02T00:20:00.000000,25504.0,true,false,false,true,false,25.0,50.0,-3.25,tp1_partial_or_be
2,true,"",2026-01-02T04:00:00.000000,2026-01-02T05:05:00.000000,bull,NQH6,25504.0,25612.5,25558.25,108.5,25612.5,25512.5,108.5,100.0,100,true,2026-01-02T08:14:00.000000,25687.5,true,true,true,false,false,150.0,300.0,0.0,tp3
3,true,"",2026-01-02T08:00:00.000000,2026-01-02T15:12:00.000000,bull,NQH6,25625.75,25637.0,25631.375,11.25,25637.0,25625.75,11.25,11.25,100,false,2026-01-02T15:13:00.000000,25625.75,false,false,false,true,false,-33.75,-67.5,-17.5,stop
4,true,"",2026-01-02T16:00:00.000000,2026-01-02T19:40:00.000000,bear,NQH6,25457.0,25637.0,25547.0,180.0,25457.0,25557.0,180.0,100.0,100,true,2026-01-02T20:30:00.000000,25425.25,true,true,false,false,true,106.75,213.5,0.0,tp2_partial_or_eod
5,true,"",2026-01-05T12:00:00.000000,2026-01-05T13:22:00.000000,bull,NQH6,25509.0,25520.25,25514.625,11.25,25520.25,25509.0,11.25,11.25,100,false,2026-01-05T14:01:00.000000,25595.25,true,true,true,false,false,150.0,300.0,0.0,tp3
6,true,"",2026-01-06T04:00:00.000000,2026-01-06T08:09:00.000000,bull,NQH6,25613.0,25620.5,25616.75,7.5,25620.5,25613.0,7.5,7.5,100,false,2026-01-06T08:11:00.000000,25613.0,false,false,false,true,false,-22.5,-45.0,-11.0,stop
7,true,"",2026-01-06T20:00:00.000000,2026-01-06T20:06:00.000000,bull,NQH6,25779.0,25801.25,25790.125,22.25,25801.25,25779.0,22.25,22.25,100,false,2026-01-06T20:30:00.000000,25813.25,false,false,false,false,true,36.0,72.0,0.0,eod
8,true,"",2026-01-07T08:00:00.000000,2026-01-07T08:22:00.000000,bear,NQH6,25788.0,25796.75,25792.375,8.75,25788.0,25796.75,8.75,8.75,100,false,2026-01-07T13:31:00.000000,25788.0,true,true,false,true,false,75.0,150.0,-1.0,tp2_partial_or_eod
9,true,"",2026-01-07T16:00:00.000000,2026-01-07T16:29:00.000000,bull,NQH6,25788.0,25879.25,25833.625,91.25,25879.25,25788.0,91.25,91.25,100,false,2026-01-07T16:45:00.000000,25954.25,true,true,true,false,false,150.0,300.0,0.0,tp3
10,true,"",2026-01-08T00:00:00.000000,2026-01-08T01:00:00.000000,bear,NQH6,25844.5,25879.25,25861.875,34.75,25844.5,25879.25,34.75,34.75,100,false,2026-01-08T05:12:00.000000,25769.5,true,true,true,false,false,150.0,300.0,0.0,tp3
11,true,"",2026-01-08T04:00:00.000000,2026-01-08T07:24:00.000000,bear,NQH6,25805.25,25814.5,25809.875,9.25,25805.25,25814.5,9.25,9.25,100,false,2026-01-08T13:20:00.000000,25805.25,true,true,false,true,false,75.0,150.0,-4.75,tp2_partial_or_eod
12,true,"",2026-01-08T16:00:00.000000,2026-01-08T17:52:00.000000,bear,NQH6,25703.75,25738.75,25721.25,35.0,25703.75,25738.75,35.0,35.0,100,false,2026-01-08T18:13:00.000000,25628.75,true,true,true,false,false,150.0,300.0,0.0,tp3
