candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,natural_risk_points,risk_points,stop_was_capped,entry_ct,ny_morning_entry,exit_ts,final_exit_price,tp1_hit,tp2_hit,tp3_hit,stopped,closed_eod,contract_points,mnq_profit_dollars,ambiguous_bars,largest_open_adverse_points,result
3,true,"",2026-01-02T08:00:00.000000,2026-01-02T15:12:00.000000,bull,NQH6,25625.75,25637.0,25631.375,11.25,25637.0,25625.75,11.25,11.25,false,2026-01-02 09:12:00-06:00,true,2026-01-02T15:12:00.000000,25625.75,false,false,false,true,false,-33.75,-67.5,1,-19.25,stop
9,true,"",2026-01-07T16:00:00.000000,2026-01-07T16:29:00.000000,bull,NQH6,25788.0,25879.25,25833.625,91.25,25879.25,25804.25,91.25,75.0,true,2026-01-07 10:29:00-06:00,true,2026-01-07T16:45:00.000000,25954.25,true,true,true,false,false,150.0,300.0,0,0.0,tp3
20,true,"",2026-01-14T16:00:00.000000,2026-01-14T16:30:00.000000,bear,NQH6,25592.25,25712.25,25652.25,120.0,25592.25,25667.25,120.0,75.0,true,2026-01-14 10:30:00-06:00,true,2026-01-14T16:42:00.000000,25517.25,true,true,true,false,false,150.0,300.0,0,0.0,tp3
22,true,"",2026-01-15T12:00:00.000000,2026-01-15T15:52:00.000000,bull,NQH6,25723.0,25803.25,25763.125,80.25,25803.25,25728.25,80.25,75.0,true,2026-01-15 09:52:00-06:00,true,2026-01-15T15:52:00.000000,25803.25,true,false,false,true,false,25.0,50.0,0,0.0,tp1_partial_or_be
25,true,"",2026-01-16T16:00:00.000000,2026-01-16T16:45:00.000000,bear,NQH6,25752.75,25795.5,25774.125,42.75,25752.75,25795.5,42.75,42.75,false,2026-01-16 10:45:00-06:00,true,2026-01-16T17:31:00.000000,25677.75,true,true,true,false,false,150.0,300.0,0,0.0,tp3
29,true,"",2026-01-20T08:00:00.000000,2026-01-20T14:30:00.000000,bear,NQH6,25288.25,25323.75,25306.0,35.5,25288.25,25323.75,35.5,35.5,false,2026-01-20 08:30:00-06:00,true,2026-01-20T14:30:00.000000,25288.25,true,false,false,true,false,25.0,50.0,0,-28.25,tp1_partial_or_be
27,true,"",2026-01-19T00:00:00.000000,2026-01-21T15:46:00.000000,bear,NQH6,25470.0,25671.0,25570.5,201.0,25470.0,25545.0,201.0,75.0,true,2026-01-21 09:46:00-06:00,true,2026-01-21T16:28:00.000000,25470.0,true,false,false,true,false,25.0,50.0,0,-24.25,tp1_partial_or_be
36,true,"",2026-01-26T16:00:00.000000,2026-01-26T16:21:00.000000,bull,NQH6,25742.0,25850.75,25796.375,108.75,25850.75,25775.75,108.75,75.0,true,2026-01-26 10:21:00-06:00,true,2026-01-26T16:21:00.000000,25850.75,true,false,false,true,false,25.0,50.0,0,0.0,tp1_partial_or_be
39,true,"",2026-01-28T04:00:00.000000,2026-01-28T15:34:00.000000,bull,NQH6,26148.0,26200.5,26174.25,52.5,26200.5,26148.0,52.5,52.5,false,2026-01-28 09:34:00-06:00,true,2026-01-28T15:41:00.000000,26200.5,true,false,false,true,false,25.0,50.0,0,-10.25,tp1_partial_or_be
38,true,"",2026-01-28T00:00:00.000000,2026-01-28T16:42:00.000000,bull,NQH6,26106.75,26135.5,26121.125,28.75,26135.5,26106.75,28.75,28.75,false,2026-01-28 10:42:00-06:00,true,2026-01-28T16:53:00.000000,26106.75,false,false,false,true,false,-86.25,-172.5,0,-32.0,stop
45,true,"",2026-02-02T16:00:00.000000,2026-02-02T16:06:00.000000,bull,NQH6,25491.25,25803.0,25647.125,311.75,25803.0,25728.0,311.75,75.0,true,2026-02-02 10:06:00-06:00,true,2026-02-02T16:18:00.000000,25878.0,true,true,true,false,false,150.0,300.0,0,0.0,tp3
