candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,natural_risk_points,risk_points,stop_was_capped,entry_ct,ny_morning_entry,overlap_skipped,overlap_active_until
1,false,outside_ny_morning,2026-01-01T20:00:00.000000,2026-01-01T23:46:00.000000,bear,NQH6,25504.0,25532.0,25518.0,28.0,25504.0,25532.0,28.0,28.0,false,2026-01-01 17:46:00-06:00,false,false,
2,false,outside_ny_morning,2026-01-02T04:00:00.000000,2026-01-02T05:05:00.000000,bull,NQH6,25504.0,25612.5,25558.25,108.5,25612.5,25537.5,108.5,75.0,true,2026-01-01 23:05:00-06:00,false,false,
4,false,outside_ny_morning,2026-01-02T16:00:00.000000,2026-01-02T19:40:00.000000,bear,NQH6,25457.0,25637.0,25547.0,180.0,25457.0,25532.0,180.0,75.0,true,2026-01-02 13:40:00-06:00,false,false,
5,false,outside_ny_morning,2026-01-05T12:00:00.000000,2026-01-05T13:22:00.000000,bull,NQH6,25509.0,25520.25,25514.625,11.25,25520.25,25509.0,11.25,11.25,false,2026-01-05 07:22:00-06:00,false,false,
6,false,outside_ny_morning,2026-01-06T04:00:00.000000,2026-01-06T08:09:00.000000,bull,NQH6,25613.0,25620.5,25616.75,7.5,25620.5,25613.0,7.5,7.5,false,2026-01-06 02:09:00-06:00,false,false,
7,false,outside_ny_morning,2026-01-06T20:00:00.000000,2026-01-06T20:06:00.000000,bull,NQH6,25779.0,25801.25,25790.125,22.25,25801.25,25779.0,22.25,22.25,false,2026-01-06 14:06:00-06:00,false,false,
8,false,outside_ny_morning,2026-01-07T08:00:00.000000,2026-01-07T08:22:00.000000,bear,NQH6,25788.0,25796.75,25792.375,8.75,25788.0,25796.75,8.75,8.75,false,2026-01-07 02:22:00-06:00,false,false,
10,false,outside_ny_morning,2026-01-08T00:00:00.000000,2026-01-08T01:00:00.000000,bear,NQH6,25844.5,25879.25,25861.875,34.75,25844.5,25879.25,34.75,34.75,false,2026-01-07 19:00:00-06:00,false,false,
11,false,outside_ny_morning,2026-01-08T04:00:00.000000,2026-01-08T07:24:00.000000,bear,NQH6,25805.25,25814.5,25809.875,9.25,25805.25,25814.5,9.25,9.25,false,2026-01-08 01:24:00-06:00,false,false,
12,false,outside_ny_morning,2026-01-08T16:00:00.000000,2026-01-08T17:52:00.000000,bear,NQH6,25703.75,25738.75,25721.25,35.0,25703.75,25738.75,35.0,35.0,false,2026-01-08 11:52:00-06:00,false,false,
14,false,outside_ny_morning,2026-01-09T20:00:00.000000,2026-01-09T21:47:00.000000,bull,NQH6,25879.0,25923.25,25901.125,44.25,25923.25,25879.0,44.25,44.25,false,2026-01-09 15:47:00-06:00,false,false,
15,false,outside_ny_morning,2026-01-12T00:00:00.000000,2026-01-12T00:03:00.000000,bear,NQH6,25902.75,25923.25,25913.0,20.5,25902.75,25923.25,20.5,20.5,false,2026-01-11 18:03:00-06:00,false,false,
13,false,outside_ny_morning,2026-01-09T16:00:00.000000,2026-01-12T00:38:00.000000,bull,NQH6,25767.25,25810.75,25789.0,43.5,25810.75,25767.25,43.5,43.5,false,2026-01-11 18:38:00-06:00,false,false,
16,false,outside_ny_morning,2026-01-12T04:00:00.000000,2026-01-12T07:10:00.000000,bear,NQH6,25746.25,25870.0,25808.125,123.75,25746.25,25821.25,123.75,75.0,true,2026-01-12 01:10:00-06:00,false,false,
17,false,outside_ny_morning,2026-01-12T16:00:00.000000,2026-01-12T23:53:00.000000,bull,NQH6,25750.0,25901.0,25825.5,151.0,25901.0,25826.0,151.0,75.0,true,2026-01-12 17:53:00-06:00,false,false,
18,false,outside_ny_morning,2026-01-13T00:00:00.000000,2026-01-13T00:02:00.000000,bear,NQH6,25898.25,25901.0,25899.625,2.75,25898.25,25901.0,2.75,2.75,false,2026-01-12 18:02:00-06:00,false,false,
19,false,outside_ny_morning,2026-01-14T12:00:00.000000,2026-01-14T13:30:00.000000,bear,NQH6,25805.5,25835.5,25820.5,30.0,25805.5,25835.5,30.0,30.0,false,2026-01-14 07:30:00-06:00,false,false,
21,false,outside_ny_morning,2026-01-15T08:00:00.000000,2026-01-15T08:04:00.000000,bull,NQH6,25643.0,25673.75,25658.375,30.75,25673.75,25643.0,30.75,30.75,false,2026-01-15 02:04:00-06:00,false,false,
23,false,outside_ny_morning,2026-01-15T20:00:00.000000,2026-01-15T20:05:00.000000,bear,NQH6,25771.75,25803.25,25787.5,31.5,25771.75,25803.25,31.5,31.5,false,2026-01-15 14:05:00-06:00,false,false,
24,false,outside_ny_morning,2026-01-16T04:00:00.000000,2026-01-16T04:03:00.000000,bull,NQH6,25771.75,25784.75,25778.25,13.0,25784.75,25771.75,13.0,13.0,false,2026-01-15 22:03:00-06:00,false,false,
26,false,outside_ny_morning,2026-01-18T20:00:00.000000,2026-01-18T23:00:00.000000,bear,NQH6,25472.0,25654.0,25563.0,182.0,25472.0,25547.0,182.0,75.0,true,2026-01-18 17:00:00-06:00,false,false,
28,false,outside_ny_morning,2026-01-19T20:00:00.000000,2026-01-19T23:16:00.000000,bull,NQH6,25348.5,25367.25,25357.875,18.75,25367.25,25348.5,18.75,18.75,false,2026-01-19 17:16:00-06:00,false,false,
30,false,outside_ny_morning,2026-01-20T20:00:00.000000,2026-01-20T23:02:00.000000,bear,NQH6,25175.25,25181.0,25178.125,5.75,25175.25,25181.0,5.75,5.75,false,2026-01-20 17:02:00-06:00,false,false,
31,false,outside_ny_morning,2026-01-21T04:00:00.000000,2026-01-21T04:15:00.000000,bull,NQH6,25175.25,25183.0,25179.125,7.75,25183.0,25175.25,7.75,7.75,false,2026-01-20 22:15:00-06:00,false,false,
32,false,outside_ny_morning,2026-01-23T04:00:00.000000,2026-01-23T07:46:00.000000,bull,NQH6,25676.5,25682.25,25679.375,5.75,25682.25,25676.5,5.75,5.75,false,2026-01-23 01:46:00-06:00,false,false,
33,false,outside_ny_morning,2026-01-25T20:00:00.000000,2026-01-25T23:00:00.000000,bear,NQH6,25585.5,25683.0,25634.25,97.5,25585.5,25660.5,97.5,75.0,true,2026-01-25 17:00:00-06:00,false,false,
34,false,outside_ny_morning,2026-01-26T00:00:00.000000,2026-01-26T01:53:00.000000,bear,NQH6,25668.75,25672.25,25670.5,3.5,25668.75,25672.25,3.5,3.5,false,2026-01-25 19:53:00-06:00,false,false,
35,false,outside_ny_morning,2026-01-26T04:00:00.000000,2026-01-26T04:44:00.000000,bull,NQH6,25585.5,25622.75,25604.125,37.25,25622.75,25585.5,37.25,37.25,false,2026-01-25 22:44:00-06:00,false,false,
37,false,outside_ny_morning,2026-01-27T04:00:00.000000,2026-01-27T04:04:00.000000,bull,NQH6,25897.0,25971.5,25934.25,74.5,25971.5,25897.0,74.5,74.5,false,2026-01-26 22:04:00-06:00,false,false,
40,false,outside_ny_morning,2026-01-28T08:00:00.000000,2026-01-28T09:32:00.000000,bull,NQH6,26228.25,26252.5,26240.375,24.25,26252.5,26228.25,24.25,24.25,false,2026-01-28 03:32:00-06:00,false,false,
41,false,outside_ny_morning,2026-01-28T16:00:00.000000,2026-01-28T19:52:00.000000,bear,NQH6,26210.25,26252.5,26231.375,42.25,26210.25,26252.5,42.25,42.25,false,2026-01-28 13:52:00-06:00,false,false,
42,false,outside_ny_morning,2026-01-29T16:00:00.000000,2026-01-29T19:18:00.000000,bear,NQH6,25898.5,26175.25,26036.875,276.75,25898.5,25973.5,276.75,75.0,true,2026-01-29 13:18:00-06:00,false,false,
43,false,outside_ny_morning,2026-01-30T20:00:00.000000,2026-01-30T20:50:00.000000,bear,NQH6,25731.75,25752.5,25742.125,20.75,25731.75,25752.5,20.75,20.75,false,2026-01-30 14:50:00-06:00,false,false,
47,false,outside_ny_morning,2026-02-04T16:00:00.000000,2026-02-04T21:34:00.000000,bear,NQH6,25171.5,25354.5,25263.0,183.0,25171.5,25246.5,183.0,75.0,true,2026-02-04 15:34:00-06:00,false,false,
48,false,outside_ny_morning,2026-02-05T16:00:00.000000,2026-02-05T17:47:00.000000,bear,NQH6,24887.5,24978.75,24933.125,91.25,24887.5,24962.5,91.25,75.0,true,2026-02-05 11:47:00-06:00,false,false,
52,false,outside_ny_morning,2026-02-08T20:00:00.000000,2026-02-08T23:00:00.000000,bull,NQH6,25124.0,25153.75,25138.875,29.75,25153.75,25124.0,29.75,29.75,false,2026-02-08 17:00:00-06:00,false,false,
51,false,outside_ny_morning,2026-02-06T20:00:00.000000,2026-02-09T10:06:00.000000,bull,NQH6,24984.0,25052.75,25018.375,68.75,25052.75,24984.0,68.75,68.75,false,2026-02-09 04:06:00-06:00,false,false,
54,false,outside_ny_morning,2026-02-12T08:00:00.000000,2026-02-12T08:40:00.000000,bull,NQH6,25320.75,25324.75,25322.75,4.0,25324.75,25320.75,4.0,4.0,false,2026-02-12 02:40:00-06:00,false,false,
57,false,outside_ny_morning,2026-02-16T16:00:00.000000,2026-02-16T17:51:00.000000,bear,NQH6,24770.75,24841.0,24805.875,70.25,24770.75,24841.0,70.25,70.25,false,2026-02-16 11:51:00-06:00,false,false,
58,false,outside_ny_morning,2026-02-17T04:00:00.000000,2026-02-17T07:55:00.000000,bear,NQH6,24663.75,24739.0,24701.375,75.25,24663.75,24738.75,75.25,75.0,true,2026-02-17 01:55:00-06:00,false,false,
59,false,outside_ny_morning,2026-02-18T08:00:00.000000,2026-02-18T13:47:00.000000,bull,NQH6,24798.75,24833.5,24816.125,34.75,24833.5,24798.75,34.75,34.75,false,2026-02-18 07:47:00-06:00,false,false,
61,false,outside_ny_morning,2026-02-23T04:00:00.000000,2026-02-23T07:16:00.000000,bear,NQH6,24914.75,24936.5,24925.625,21.75,24914.75,24936.5,21.75,21.75,false,2026-02-23 01:16:00-06:00,false,false,
60,false,outside_ny_morning,2026-02-23T00:00:00.000000,2026-02-23T09:08:00.000000,bear,NQH6,24971.0,25014.25,24992.625,43.25,24971.0,25014.25,43.25,43.25,false,2026-02-23 03:08:00-06:00,false,false,
62,false,outside_ny_morning,2026-02-23T16:00:00.000000,2026-02-23T18:23:00.000000,bear,NQH6,24820.25,24877.5,24848.875,57.25,24820.25,24877.5,57.25,57.25,false,2026-02-23 12:23:00-06:00,false,false,
64,false,outside_ny_morning,2026-02-25T12:00:00.000000,2026-02-25T12:13:00.000000,bull,NQH6,25067.75,25105.0,25086.375,37.25,25105.0,25067.75,37.25,37.25,false,2026-02-25 06:13:00-06:00,false,false,
66,false,outside_ny_morning,2026-02-26T08:00:00.000000,2026-02-26T08:47:00.000000,bull,NQH6,25341.5,25343.25,25342.375,1.75,25343.25,25341.5,1.75,1.75,false,2026-02-26 02:47:00-06:00,false,false,
67,false,outside_ny_morning,2026-02-26T16:00:00.000000,2026-02-26T19:55:00.000000,bear,NQH6,25099.0,25343.25,25221.125,244.25,25099.0,25174.0,244.25,75.0,true,2026-02-26 13:55:00-06:00,false,false,
68,false,outside_ny_morning,2026-03-01T20:00:00.000000,2026-03-01T23:12:00.000000,bear,NQH6,24815.0,24873.0,24844.0,58.0,24815.0,24873.0,58.0,58.0,false,2026-03-01 17:12:00-06:00,false,false,
70,false,outside_ny_morning,2026-03-03T04:00:00.000000,2026-03-03T04:01:00.000000,bear,NQH6,24864.0,24944.25,24904.125,80.25,24864.0,24939.0,80.25,75.0,true,2026-03-02 22:01:00-06:00,false,false,
71,false,outside_ny_morning,2026-03-03T08:00:00.000000,2026-03-03T08:10:00.000000,bear,NQH6,24694.5,24804.25,24749.375,109.75,24694.5,24769.5,109.75,75.0,true,2026-03-03 02:10:00-06:00,false,false,
73,false,outside_ny_morning,2026-03-03T20:00:00.000000,2026-03-03T23:06:00.000000,bull,NQH6,24661.25,24669.75,24665.5,8.5,24669.75,24661.25,8.5,8.5,false,2026-03-03 17:06:00-06:00,false,false,
74,false,outside_ny_morning,2026-03-04T12:00:00.000000,2026-03-04T12:31:00.000000,bull,NQH6,24677.75,24720.5,24699.125,42.75,24720.5,24677.75,42.75,42.75,false,2026-03-04 06:31:00-06:00,false,false,
76,false,outside_ny_morning,2026-03-06T04:00:00.000000,2026-03-06T07:13:00.000000,bull,NQH6,25070.0,25091.75,25080.875,21.75,25091.75,25070.0,21.75,21.75,false,2026-03-06 01:13:00-06:00,false,false,
77,false,outside_ny_morning,2026-03-06T12:00:00.000000,2026-03-06T13:30:00.000000,bear,NQH6,24908.75,25091.75,25000.25,183.0,24908.75,24983.75,183.0,75.0,true,2026-03-06 07:30:00-06:00,false,false,
78,false,outside_ny_morning,2026-03-08T20:00:00.000000,2026-03-08T22:00:00.000000,bear,NQH6,24473.0,24744.25,24608.625,271.25,24473.0,24548.0,271.25,75.0,true,2026-03-08 17:00:00-05:00,false,false,
79,false,outside_ny_morning,2026-03-09T00:00:00.000000,2026-03-09T00:05:00.000000,bear,NQH6,24238.75,24601.0,24419.875,362.25,24238.75,24313.75,362.25,75.0,true,2026-03-08 19:05:00-05:00,false,false,
80,false,outside_ny_morning,2026-03-09T16:00:00.000000,2026-03-09T17:43:00.000000,bull,NQH6,24495.75,24575.75,24535.75,80.0,24575.75,24500.75,80.0,75.0,true,2026-03-09 12:43:00-05:00,false,false,
81,false,outside_ny_morning,2026-03-09T20:00:00.000000,2026-03-09T23:52:00.000000,bull,NQH6,24659.25,24858.0,24758.625,198.75,24858.0,24783.0,198.75,75.0,true,2026-03-09 18:52:00-05:00,false,false,
82,false,outside_ny_morning,2026-03-12T00:00:00.000000,2026-03-12T01:43:00.000000,bear,NQH6,24842.25,24873.5,24857.875,31.25,24842.25,24873.5,31.25,31.25,false,2026-03-11 20:43:00-05:00,false,false,
85,false,outside_ny_morning,2026-03-16T04:00:00.000000,2026-03-16T07:39:00.000000,bull,NQM6,24496.75,24716.0,24606.375,219.25,24716.0,24641.0,219.25,75.0,true,2026-03-16 02:39:00-05:00,false,false,
88,false,outside_ny_morning,2026-03-18T04:00:00.000000,2026-03-18T04:41:00.000000,bull,NQM6,25030.0,25130.5,25080.25,100.5,25130.5,25055.5,100.5,75.0,true,2026-03-17 23:41:00-05:00,false,false,
90,false,outside_ny_morning,2026-03-18T16:00:00.000000,2026-03-18T18:04:00.000000,bear,NQM6,24916.5,25097.5,25007.0,181.0,24916.5,24991.5,181.0,75.0,true,2026-03-18 13:04:00-05:00,false,false,
84,false,outside_ny_morning,2026-03-16T00:00:00.000000,2026-03-18T19:59:00.000000,bull,NQM6,24400.25,24647.0,24523.625,246.75,24647.0,24572.0,246.75,75.0,true,2026-03-18 14:59:00-05:00,false,false,
91,false,outside_ny_morning,2026-03-18T20:00:00.000000,2026-03-18T20:01:00.000000,bear,NQM6,24690.0,24811.75,24750.875,121.75,24690.0,24765.0,121.75,75.0,true,2026-03-18 15:01:00-05:00,false,false,
