fvg_ts,entry_ts,year,symbol,gap_low,gap_high,gap_width,entry_price,stop,risk,tp1,tp2,max_high,min_low,result,pnl_r
2018-02-22T12:00:00.000000,2018-02-22T18:45:00.000000,2018,NQH8,6733.5,6758.25,24.75,6759.25,6728.5,30.75,6820.75,6882.25,7009.0,6646.0,tp2,4.0
2018-04-04T16:00:00.000000,2018-04-04T17:26:00.000000,2018,NQM8,6384.25,6435.5,51.25,6435.75,6379.25,56.5,6548.75,6661.75,6713.0,6408.5,tp2,4.0
2018-05-23T16:00:00.000000,2018-05-23T16:29:00.000000,2018,NQM8,6852.5,6883.25,30.75,6885.0,6847.5,37.5,6960.0,7035.0,7090.5,6885.0,tp2,4.0
2018-07-17T16:00:00.000000,2018-07-17T16:04:00.000000,2018,NQU8,7323.75,7387.25,63.5,7389.0,7318.75,70.25,7529.5,7670.0,7530.0,7311.5,stop,-1.0
2018-07-25T16:00:00.000000,2018-07-25T16:04:00.000000,2018,NQU8,7427.5,7451.5,24.0,7451.5,7422.5,29.0,7509.5,7567.5,7530.0,7166.75,tp1,2.0
2018-09-20T12:00:00.000000,2018-09-20T13:34:00.000000,2018,NQZ8,7527.25,7552.75,25.5,7554.25,7522.25,32.0,7618.25,7682.25,7686.25,7473.75,stop,-1.0
2018-11-26T08:00:00.000000,2018-11-26T17:35:00.000000,2018,NQZ8,6573.75,6597.5,23.75,6597.25,6568.75,28.5,6654.25,6711.25,7139.0,6596.25,tp2,4.0
2018-12-26T20:00:00.000000,2018-12-26T20:03:00.000000,2018,NQH9,6051.75,6150.25,98.5,6154.5,6046.75,107.75,6370.0,6585.5,6462.0,6053.25,tp1,2.0
2019-01-17T16:00:00.000000,2019-01-17T17:58:00.000000,2019,NQH9,6646.5,6681.25,34.75,6684.75,6641.5,43.25,6771.25,6857.75,6828.25,6592.25,tp1,2.0
2019-03-13T12:00:00.000000,2019-03-13T13:00:00.000000,2019,NQM9,7233.25,7253.25,20.0,7254.75,7228.25,26.5,7307.75,7360.75,7544.75,7254.5,tp2,4.0
2019-03-21T16:00:00.000000,2019-03-21T16:37:00.000000,2019,NQM9,7421.25,7466.0,44.75,7470.0,7416.25,53.75,7577.5,7685.0,7544.75,7276.0,stop,-1.0
2019-06-10T16:00:00.000000,2019-06-10T18:17:00.000000,2019,NQM9,7469.5,7501.5,32.0,7503.25,7464.5,38.75,7580.75,7658.25,7821.0,7421.0,stop,-1.0
2019-06-18T12:00:00.000000,2019-06-18T13:32:00.000000,2019,NQU9,7568.0,7625.25,57.25,7632.75,7563.0,69.75,7772.25,7911.75,7821.0,7609.5,tp1,2.0
2019-09-25T16:00:00.000000,2019-09-25T16:01:00.000000,2019,NQZ9,7718.75,7748.75,30.0,7750.75,7713.75,37.0,7824.75,7898.75,7844.25,7474.25,tp1,2.0
2019-12-26T16:00:00.000000,2019-12-26T17:25:00.000000,2019,NQH0,8743.0,8766.75,23.75,8768.25,8738.0,30.25,8828.75,8889.25,8907.25,8691.25,stop,-1.0
2020-04-06T16:00:00.000000,2020-04-06T16:01:00.000000,2020,NQM0,7848.25,7881.5,33.25,7884.0,7843.25,40.75,7965.5,8047.0,8785.5,7884.0,tp2,4.0
2020-04-29T20:00:00.000000,2020-04-30T13:38:00.000000,2020,NQM0,8939.75,8960.25,20.5,8953.25,8934.75,18.5,8990.25,9027.25,9238.0,8556.25,stop,-1.0
2020-05-20T12:00:00.000000,2020-05-20T12:01:00.000000,2020,NQM0,9366.75,9390.75,24.0,9394.5,9361.75,32.75,9460.0,9525.5,9604.0,9172.5,stop,-1.0
