fvg_ts,entry_ts,year,symbol,gap_low,gap_high,gap_width,entry_price,stop,risk,tp1,tp2,max_high,min_low,result,pnl_r
2018-02-22T12:00:00.000000,2018-02-22T18:45:00.000000,2018,NQH8,6733.5,6758.25,24.75,6759.25,6728.5,30.75,6820.75,6882.25,7009.0,6646.0,tp2,4.0
2018-04-04T16:00:00.000000,2018-04-04T17:26:00.000000,2018,NQM8,6384.25,6435.5,51.25,6435.75,6379.25,56.5,6548.75,6661.75,6713.0,6408.5,tp2,4.0
2018-05-23T16:00:00.000000,2018-05-23T16:29:00.000000,2018,NQM8,6852.5,6883.25,30.75,6885.0,6847.5,37.5,6960.0,7035.0,7090.5,6885.0,tp2,4.0
2018-11-26T08:00:00.000000,2018-11-26T17:35:00.000000,2018,NQZ8,6573.75,6597.5,23.75,6597.25,6568.75,28.5,6654.25,6711.25,7139.0,6596.25,tp2,4.0
2019-03-13T12:00:00.000000,2019-03-13T13:00:00.000000,2019,NQM9,7233.25,7253.25,20.0,7254.75,7228.25,26.5,7307.75,7360.75,7544.75,7254.5,tp2,4.0
2020-04-06T16:00:00.000000,2020-04-06T16:01:00.000000,2020,NQM0,7848.25,7881.5,33.25,7884.0,7843.25,40.75,7965.5,8047.0,8785.5,7884.0,tp2,4.0
2020-07-06T00:00:00.000000,2020-07-14T13:53:00.000000,2020,NQU0,10353.0,10391.25,38.25,10422.25,10348.0,74.25,10570.75,10719.25,10766.5,10358.75,tp2,4.0
2020-08-20T16:00:00.000000,2020-08-20T17:06:00.000000,2020,NQU0,11336.75,11389.25,52.5,11393.5,11331.75,61.75,11517.0,11640.5,12046.0,11392.75,tp2,4.0
2020-08-26T16:00:00.000000,2020-08-26T18:57:00.000000,2020,NQU0,11784.0,11868.0,84.0,11877.25,11779.0,98.25,12073.75,12270.25,12465.25,11142.0,tp2,4.0
2020-10-12T12:00:00.000000,2020-10-12T13:52:00.000000,2020,NQZ0,11800.0,11867.25,67.25,11881.5,11795.0,86.5,12054.5,12227.5,12249.0,11585.0,tp2,4.0
2021-01-19T20:00:00.000000,2021-01-19T21:00:00.000000,2021,NQH1,12932.75,12965.0,32.25,12969.25,12927.75,41.5,13052.25,13135.25,13599.75,12829.0,tp2,4.0
2021-03-31T12:00:00.000000,2021-03-31T12:04:00.000000,2021,NQM1,12899.25,12947.5,48.25,12950.75,12894.25,56.5,13063.75,13176.75,13841.75,12949.25,tp2,4.0
2021-04-05T12:00:00.000000,2021-04-05T12:20:00.000000,2021,NQM1,13335.0,13367.5,32.5,13368.5,13330.0,38.5,13445.5,13522.5,14029.0,13367.75,tp2,4.0
2021-06-24T12:00:00.000000,2021-06-24T12:54:00.000000,2021,NQU1,14313.75,14336.5,22.75,14339.5,14308.75,30.75,14401.0,14462.5,14729.0,14313.25,tp2,4.0
2021-06-28T16:00:00.000000,2021-06-28T17:29:00.000000,2021,NQU1,14389.0,14457.75,68.75,14459.75,14384.0,75.75,14611.25,14762.75,14883.75,14458.5,tp2,4.0
2021-10-25T16:00:00.000000,2021-10-25T16:01:00.000000,2021,NQZ1,15393.0,15433.75,40.75,15442.0,15388.0,54.0,15550.0,15658.0,16331.5,15442.25,tp2,4.0
2021-11-29T16:00:00.000000,2021-11-30T06:06:00.000000,2021,NQZ1,16228.75,16262.0,33.25,16251.75,16223.75,28.0,16307.75,16363.75,16456.25,15538.0,tp2,4.0
2021-12-15T20:00:00.000000,2021-12-15T20:01:00.000000,2021,NQH2,15968.0,15988.5,20.5,16012.25,15963.0,49.25,16110.75,16209.25,16457.0,15492.0,tp2,4.0
2022-02-24T16:00:00.000000,2022-02-24T17:24:00.000000,2022,NQH2,13249.75,13403.5,153.75,13411.25,13244.75,166.5,13744.25,14077.25,14391.0,13406.75,tp2,4.0
2022-04-12T12:00:00.000000,2022-04-12T12:03:00.000000,2022,NQM2,13986.5,14021.5,35.0,14028.5,13981.5,47.0,14122.5,14216.5,14298.0,13612.25,tp2,4.0
2022-06-02T16:00:00.000000,2022-06-02T16:01:00.000000,2022,NQM2,12655.5,12684.5,29.0,12685.5,12650.5,35.0,12755.5,12825.5,12945.25,11823.0,tp2,4.0
2022-07-27T16:00:00.000000,2022-07-27T18:08:00.000000,2022,NQU2,12331.25,12404.0,72.75,12416.0,12326.25,89.75,12595.5,12775.0,13384.5,12407.0,tp2,4.0
2022-08-10T12:00:00.000000,2022-08-10T12:02:00.000000,2022,NQU2,13042.5,13081.5,39.0,13082.0,13037.5,44.5,13171.0,13260.0,13740.75,13081.5,tp2,4.0
2022-09-07T16:00:00.000000,2022-09-07T16:23:00.000000,2022,NQU2,12077.75,12101.0,23.25,12105.0,12072.75,32.25,12169.5,12234.0,12987.0,11778.5,tp2,4.0
2022-10-03T16:00:00.000000,2022-10-03T16:52:00.000000,2022,NQZ2,11075.75,11174.0,98.25,11176.5,11070.75,105.75,11388.0,11599.5,11729.75,10484.75,tp2,4.0
