ts_event,symbol,entry,stop,target,outcome,pnl,bars_held,mae,mfe
2020-09-24T14:39:00.000000,NQZ0,10777.25,10757.25,10797.25,TIME_WIN,154.0,60,0.0,0.0
2020-10-19T14:40:00.000000,NQZ0,11782.5,11762.5,11802.5,WIN,20.0,1,1.25,20.25
2020-09-24T14:40:00.000000,NQZ0,10800.25,10780.25,10820.25,BREAKEVEN,0.0,4,10.25,15.0
2020-09-16T14:49:00.000000,NQZ0,11344.75,11324.75,11364.75,TIME_WIN,60.5,60,0.0,0.0
2020-09-16T14:50:00.000000,NQZ0,11341.0,11321.0,11361.0,TIME_WIN,57.25,60,0.0,0.0
2020-07-14T14:54:00.000000,NQU0,10559.25,10539.25,10579.25,LOSS,-20.0,2,42.25,11.5
2020-10-19T14:55:00.000000,NQZ0,11783.0,11763.0,11803.0,BREAKEVEN,0.0,2,3.25,18.5
2020-09-24T14:35:00.000000,NQZ0,10786.0,10766.0,10806.0,WIN,20.0,3,12.0,21.0
2020-09-24T14:38:00.000000,NQZ0,10777.5,10757.5,10797.5,TIME_WIN,161.75,60,0.0,0.0
2020-10-19T14:41:00.000000,NQZ0,11787.0,11767.0,11807.0,LOSS,-20.0,4,32.0,8.25
2020-10-19T14:43:00.000000,NQZ0,11783.25,11763.25,11803.25,LOSS,-20.0,2,28.25,12.0
2021-11-24T14:44:00.000000,NQZ1,16119.75,16099.75,16139.75,WIN,20.0,4,17.75,23.5
2021-11-24T14:48:00.000000,NQZ1,16129.0,16109.0,16149.0,WIN,20.0,3,3.25,34.0
2022-02-08T14:35:00.000000,NQH2,14528.25,14508.25,14548.25,WIN,20.0,15,6.5,30.25
2022-03-10T14:37:00.000000,NQH2,13503.75,13483.75,13523.75,BREAKEVEN,0.0,1,8.25,18.5
2022-03-10T14:53:00.000000,NQH2,13505.0,13485.0,13525.0,BREAKEVEN,0.0,14,1.75,15.5
2022-01-03T14:56:00.000000,NQH2,16318.25,16298.25,16338.25,BREAKEVEN,0.0,1,2.5,18.25
2022-01-06T14:51:00.000000,NQH2,15782.0,15762.0,15802.0,BREAKEVEN,0.0,1,10.25,16.25
2022-02-16T15:01:00.000000,NQH2,14420.75,14400.75,14440.75,BREAKEVEN,0.0,5,11.75,17.5
2022-01-03T14:50:00.000000,NQH2,16309.5,16289.5,16329.5,WIN,20.0,2,11.75,29.75
2022-01-03T14:59:00.000000,NQH2,16306.5,16286.5,16326.5,WIN,20.0,1,1.5,44.75
2022-01-05T14:36:00.000000,NQH2,16139.5,16119.5,16159.5,TIME_WIN,17.75,60,0.0,0.0
2022-01-06T14:33:00.000000,NQH2,15756.75,15736.75,15776.75,BREAKEVEN,0.0,17,9.0,19.75
2022-03-04T14:33:00.000000,NQH2,13951.75,13931.75,13971.75,WIN,20.0,1,9.5,21.25
2022-01-03T14:58:00.000000,NQH2,16305.0,16285.0,16325.0,WIN,20.0,2,0.0,46.25
2022-01-03T15:00:00.000000,NQH2,16340.75,16320.75,16360.75,WIN,20.0,5,2.5,25.5
2022-02-04T14:39:00.000000,NQH2,14448.75,14428.75,14468.75,TIME_WIN,110.25,60,0.0,0.0
2022-02-16T15:06:00.000000,NQH2,14426.0,14406.0,14446.0,BREAKEVEN,0.0,1,1.0,15.75
2022-03-10T14:47:00.000000,NQH2,13493.25,13473.25,13513.25,WIN,20.0,3,1.5,20.25
2022-03-10T14:52:00.000000,NQH2,13490.25,13470.25,13510.25,WIN,20.0,41,13.75,21.0
2021-12-17T14:49:00.000000,NQH2,15785.5,15765.5,15805.5,WIN,20.0,5,21.0,26.5
2022-01-14T14:35:00.000000,NQH2,15454.75,15434.75,15474.75,BREAKEVEN,0.0,1,9.5,17.25
2022-01-14T14:37:00.000000,NQH2,15481.25,15461.25,15501.25,BREAKEVEN,0.0,54,0.5,19.25
2022-01-21T14:34:00.000000,NQH2,14797.0,14777.0,14817.0,WIN,20.0,1,20.5,20.75
2022-02-11T15:12:00.000000,NQH2,14620.0,14600.0,14640.0,BREAKEVEN,0.0,3,12.0,19.75
2022-03-07T14:54:00.000000,NQH2,13734.0,13714.0,13754.0,WIN,20.0,3,12.25,22.0
2022-03-08T14:35:00.000000,NQH2,13343.5,13323.5,13363.5,LOSS,-20.0,1,75.5,10.75
2022-03-08T14:43:00.000000,NQH2,13355.0,13335.0,13375.0,LOSS,-20.0,1,30.5,12.0
2022-03-10T14:50:00.000000,NQH2,13495.75,13475.75,13515.75,BREAKEVEN,0.0,2,7.0,15.5
2021-11-23T14:46:00.000000,NQZ1,16380.5,16360.5,16400.5,WIN,20.0,14,12.5,24.75
2021-12-02T14:32:00.000000,NQZ1,15857.25,15837.25,15877.25,BREAKEVEN,0.0,2,30.75,16.25
2022-01-14T14:36:00.000000,NQH2,15456.25,15436.25,15476.25,TIME_WIN,34.5,60,0.0,0.0
2022-03-07T14:47:00.000000,NQH2,13727.5,13707.5,13747.5,BREAKEVEN,0.0,1,2.0,19.0
2022-03-07T14:49:00.000000,NQH2,13732.0,13712.0,13752.0,WIN,20.0,5,17.25,20.25
2022-02-04T14:38:00.000000,NQH2,14458.75,14438.75,14478.75,BREAKEVEN,0.0,1,15.0,15.75
2022-03-04T14:30:00.000000,NQH2,13950.5,13930.5,13970.5,BREAKEVEN,0.0,3,9.75,17.5
2022-03-04T14:35:00.000000,NQH2,13971.25,13951.25,13991.25,BREAKEVEN,0.0,1,0.25,16.25
2021-12-02T14:33:00.000000,NQZ1,15849.0,15829.0,15869.0,WIN,20.0,1,22.5,24.5
2021-12-17T14:50:00.000000,NQH2,15819.0,15799.0,15839.0,BREAKEVEN,0.0,1,5.25,17.25
2022-01-28T15:10:00.000000,NQH2,13935.5,13915.5,13955.5,WIN,20.0,1,0.0,34.0
2022-02-16T14:45:00.000000,NQH2,14436.0,14416.0,14456.0,LOSS,-20.0,5,43.5,12.25
2022-02-16T15:07:00.000000,NQH2,14424.0,14404.0,14444.0,BREAKEVEN,0.0,3,6.75,16.0
2022-02-04T14:36:00.000000,NQH2,14459.0,14439.0,14479.0,BREAKEVEN,0.0,1,23.75,17.0
2022-02-08T14:30:00.000000,NQH2,14534.0,14514.0,14554.0,LOSS,-20.0,4,32.5,14.25
2022-02-16T15:09:00.000000,NQH2,14420.75,14400.75,14440.75,BREAKEVEN,0.0,1,3.5,19.25
2022-02-17T14:54:00.000000,NQH2,14377.5,14357.5,14397.5,LOSS,-20.0,27,32.75,14.0
2022-02-18T15:02:00.000000,NQH2,14150.25,14130.25,14170.25,BREAKEVEN,0.0,1,7.25,16.0
2022-01-03T14:51:00.000000,NQH2,16307.75,16287.75,16327.75,WIN,20.0,1,10.0,31.5
2022-01-28T15:11:00.000000,NQH2,13956.25,13936.25,13976.25,BREAKEVEN,0.0,1,3.25,16.0
2022-02-04T14:40:00.000000,NQH2,14511.25,14491.25,14531.25,WIN,20.0,1,2.25,42.0
2022-02-08T14:34:00.000000,NQH2,14502.0,14482.0,14522.0,WIN,20.0,26,17.0,21.0
2022-02-10T14:50:00.000000,NQH2,14875.5,14855.5,14895.5,TIME_WIN,92.5,60,0.0,0.0
2022-02-11T15:14:00.000000,NQH2,14619.5,14599.5,14639.5,WIN,20.0,1,11.5,20.25
2021-03-04T14:30:00.000000,NQH1,12677.75,12657.75,12697.75,LOSS,-20.0,17,32.5,14.25
2021-03-24T14:53:00.000000,NQM1,12981.25,12961.25,13001.25,TIME_LOSS,-7.75,60,12.75,6.5
2021-03-19T14:37:00.000000,NQM1,12761.75,12741.75,12781.75,WIN,20.0,48,4.25,26.25
2021-04-20T14:43:00.000000,NQM1,13814.5,13794.5,13834.5,BREAKEVEN,0.0,8,4.25,16.75
2021-04-20T14:48:00.000000,NQM1,13818.0,13798.0,13838.0,LOSS,-20.0,5,31.5,8.5
2021-06-03T15:06:00.000000,NQM1,13597.5,13577.5,13617.5,LOSS,-20.0,10,25.5,6.25
2021-06-03T15:07:00.000000,NQM1,13598.0,13578.0,13618.0,LOSS,-20.0,9,26.0,5.75
2021-03-24T14:48:00.000000,NQM1,12972.5,12952.5,12992.5,WIN,20.0,6,8.25,28.0
2018-12-10T14:54:00.000000,NQZ8,6587.0,6567.0,6607.0,WIN,20.0,53,7.75,20.25
2018-12-24T14:39:00.000000,NQH9,6021.75,6001.75,6041.75,LOSS,-20.0,3,24.5,11.75
2018-12-24T14:30:00.000000,NQH9,6025.5,6005.5,6045.5,LOSS,-20.0,12,28.25,14.75
