date,front_symbol,day_volume,bars,roll_flag
2018-01-01,NQH8,2705,60,
2018-01-02,NQH8,254986,1354,false
2018-01-03,NQH8,221080,1331,false
2018-01-04,NQH8,251725,1361,false
2018-01-05,NQH8,208154,1296,false
2018-01-07,NQH8,3507,60,false
2018-01-08,NQH8,190239,1352,false
2018-01-09,NQH8,270413,1348,false
2018-01-10,NQH8,315537,1354,false
2018-01-11,NQH8,224447,1362,false
2018-01-12,NQH8,271123,1297,false
2018-01-14,NQH8,2261,60,false
2018-01-15,NQH8,36755,1129,false
2018-01-16,NQH8,477751,1363,false
2018-01-17,NQH8,352163,1365,false
2018-01-18,NQH8,312231,1365,false
2018-01-19,NQH8,308688,1304,false
2018-01-21,NQH8,4057,60,false
2018-01-22,NQH8,255456,1359,false
2018-01-23,NQH8,331569,1365,false
2018-01-24,NQH8,522347,1358,false
2018-01-25,NQH8,414793,1361,false
2018-01-26,NQH8,318289,1303,false
2018-01-28,NQH8,4531,60,false
2018-01-29,NQH8,397255,1364,false
2018-01-30,NQH8,519186,1365,false
2018-01-31,NQH8,416940,1364,false
2018-02-01,NQH8,491017,1363,false
2018-02-02,NQH8,628746,1305,false
2018-02-04,NQH8,12706,60,false
2018-02-05,NQH8,930665,1365,false
2018-02-06,NQH8,794153,1365,false
2018-02-07,NQH8,579509,1365,false
2018-02-08,NQH8,625182,1365,false
2018-02-09,NQH8,769656,1305,false
2018-02-11,NQH8,7040,60,false
2018-02-12,NQH8,398299,1363,false
2018-02-13,NQH8,378965,1365,false
2018-02-14,NQH8,473442,1364,false
2018-02-15,NQH8,453408,1365,false
2018-02-16,NQH8,439392,1305,false
2018-02-18,NQH8,2592,60,false
2018-02-19,NQH8,53301,1125,false
2018-02-20,NQH8,405033,1365,false
2018-02-21,NQH8,441771,1365,false
2018-02-22,NQH8,432125,1364,false
2018-02-23,NQH8,367621,1304,false
2018-02-25,NQH8,3891,60,false
2018-02-26,NQH8,289611,1365,false
2018-02-27,NQH8,495710,1365,false
2018-02-28,NQH8,458363,1365,false
2018-03-01,NQH8,788376,1365,false
2018-03-02,NQH8,629646,1305,false
2018-03-04,NQH8,5733,60,false
2018-03-05,NQH8,460157,1364,false
2018-03-06,NQH8,421102,1365,false
2018-03-07,NQH8,475490,1365,false
2018-03-08,NQH8,358574,1362,false
2018-03-09,NQM8,231083,1303,true
2018-03-11,NQM8,4012,119,false
2018-03-12,NQM8,285065,1360,false
2018-03-13,NQM8,483635,1358,false
2018-03-14,NQM8,433346,1364,false
2018-03-15,NQM8,330268,1365,false
2018-03-16,NQM8,279972,1245,false
2018-03-18,NQM8,5178,120,false
2018-03-19,NQM8,561191,1365,false
2018-03-20,NQM8,393585,1363,false
2018-03-21,NQM8,444867,1357,false
2018-03-22,NQM8,682500,1365,false
2018-03-23,NQM8,722599,1245,false
2018-03-25,NQM8,10192,120,false
2018-03-26,NQM8,626982,1365,false
2018-03-27,NQM8,726259,1365,false
2018-03-28,NQM8,939766,1365,false
2018-03-29,NQM8,631352,1245,false
2018-04-01,NQM8,6978,120,false
2018-04-02,NQM8,652542,1364,false
2018-04-03,NQM8,673319,1364,false
2018-04-04,NQM8,635552,1365,false
2018-04-05,NQM8,506114,1365,false
2018-04-06,NQM8,606244,1245,false
2018-04-08,NQM8,5862,120,false
2018-04-09,NQM8,474473,1364,false
2018-04-10,NQM8,539273,1366,false
2018-04-11,NQM8,436473,1365,false
2018-04-12,NQM8,359427,1363,false
2018-04-13,NQM8,453339,1244,false
2018-04-15,NQM8,7010,120,false
2018-04-16,NQM8,318835,1365,false
2018-04-17,NQM8,323442,1362,false
2018-04-18,NQM8,296787,1361,false
2018-04-19,NQM8,373833,1360,false
2018-04-20,NQM8,409632,1244,false
2018-04-22,NQM8,5643,120,false
2018-04-23,NQM8,378049,1362,false
2018-04-24,NQM8,622861,1360,false
2018-04-25,NQM8,546356,1365,false
2018-04-26,NQM8,422749,1364,false
2018-04-27,NQM8,468011,1244,false
2018-04-29,NQM8,3335,90,false
2018-04-30,NQM8,386439,1363,false
2018-05-01,NQM8,359878,1361,false
2018-05-02,NQM8,378205,1364,false
2018-05-03,NQM8,511753,1361,false
2018-05-04,NQM8,397881,1244,false
2018-05-06,NQM8,5439,120,false
2018-05-07,NQM8,319780,1366,false
2018-05-08,NQM8,369339,1359,false
2018-05-09,NQM8,314751,1362,false
2018-05-10,NQM8,291134,1363,false
