date,day_high,day_low,day_open,day_close,pdh,pdl,pdc
2018-01-01,6417.25,6401.5,6405.0,6417.0,,,
2018-01-02,6523.25,6397.75,6416.75,6516.75,6417.25,6401.5,6417.0
2018-01-03,6591.25,6516.25,6516.5,6584.75,6523.25,6397.75,6516.75
2018-01-04,6617.5,6580.75,6584.5,6604.75,6591.25,6516.25,6584.75
2018-01-05,6671.0,6599.75,6605.0,6665.75,6617.5,6580.75,6604.75
2018-01-07,6681.25,6666.0,6667.75,6673.5,6671.0,6599.75,6665.75
2018-01-08,6693.25,6653.25,6673.5,6691.75,6681.25,6666.0,6673.5
2018-01-09,6707.25,6667.25,6691.75,6684.25,6693.25,6653.25,6691.75
2018-01-10,6686.0,6628.25,6684.5,6674.75,6707.25,6667.25,6684.25
2018-01-11,6728.75,6664.25,6675.0,6719.75,6686.0,6628.25,6674.75
2018-01-12,6777.75,6703.25,6719.5,6772.0,6728.75,6664.25,6719.75
2018-01-14,6789.0,6776.0,6781.5,6787.25,6777.75,6703.25,6772.0
2018-01-15,6798.5,6773.0,6786.75,6778.75,6789.0,6776.0,6787.25
2018-01-16,6845.75,6729.25,6779.0,6751.25,6798.5,6773.0,6778.75
2018-01-17,6834.25,6749.25,6751.5,6830.75,6845.75,6729.25,6751.25
2018-01-18,6838.0,6796.0,6831.0,6821.25,6834.25,6749.25,6830.75
2018-01-19,6857.0,6801.5,6821.25,6850.0,6838.0,6796.0,6821.25
2018-01-21,6843.5,6824.25,6830.75,6838.0,6857.0,6801.5,6850.0
2018-01-22,6941.25,6831.0,6837.75,6930.75,6843.5,6824.25,6838.0
2018-01-23,6981.25,6919.75,6930.75,6959.75,6941.25,6831.0,6930.75
2018-01-24,7004.25,6888.25,6960.0,6929.25,6981.25,6919.75,6959.75
2018-01-25,6987.25,6902.0,6929.25,6942.0,7004.25,6888.25,6929.25
2018-01-26,7034.5,6939.0,6942.0,7031.5,6987.25,6902.0,6942.0
2018-01-28,7043.5,7030.0,7030.0,7041.25,7034.5,6939.0,7031.5
2018-01-29,7047.25,6980.0,7041.25,7004.5,7043.5,7030.0,7041.25
2018-01-30,7006.5,6902.75,7004.25,6941.25,7047.25,6980.0,7004.5
2018-01-31,6991.0,6921.5,6941.5,6970.5,7006.5,6902.75,6941.25
2018-02-01,6987.75,6884.75,6970.0,6953.75,6991.0,6921.5,6970.5
2018-02-02,6955.0,6752.25,6953.5,6753.25,6987.75,6884.75,6953.75
2018-02-04,6759.25,6710.0,6752.25,6727.0,6955.0,6752.25,6753.25
2018-02-05,6813.5,6387.75,6727.0,6450.75,6759.25,6710.0,6727.0
2018-02-06,6677.5,6260.25,6449.75,6640.5,6813.5,6387.75,6450.75
2018-02-07,6717.75,6490.25,6641.25,6498.5,6677.5,6260.25,6640.5
2018-02-08,6618.5,6297.0,6499.25,6313.25,6717.75,6490.25,6498.5
2018-02-09,6455.5,6164.0,6313.25,6425.75,6618.5,6297.0,6313.25
2018-02-11,6442.75,6414.25,6434.5,6439.75,6455.5,6164.0,6425.75
2018-02-12,6567.5,6425.0,6440.0,6527.0,6442.75,6414.25,6439.75
2018-02-13,6571.0,6470.75,6528.0,6563.25,6567.5,6425.0,6527.0
2018-02-14,6692.75,6456.25,6563.25,6679.0,6571.0,6470.75,6563.25
2018-02-15,6828.25,6669.75,6678.5,6823.5,6692.75,6456.25,6679.0
2018-02-16,6859.75,6762.0,6823.25,6781.5,6828.25,6669.75,6823.5
2018-02-18,6806.0,6782.25,6783.25,6802.5,6859.75,6762.0,6781.5
2018-02-19,6819.5,6758.25,6802.25,6787.0,6806.0,6782.25,6802.5
2018-02-20,6843.75,6723.25,6787.0,6802.75,6819.5,6758.25,6787.0
2018-02-21,6885.5,6717.0,6802.5,6722.0,6843.75,6723.25,6802.75
2018-02-22,6831.5,6694.75,6722.5,6791.0,6885.5,6717.0,6722.0
2018-02-23,6913.75,6782.75,6791.5,6902.5,6831.5,6694.75,6791.0
2018-02-25,6928.75,6913.0,6918.25,6914.75,6913.75,6782.75,6902.5
2018-02-26,7007.5,6890.0,6914.75,7001.0,6928.75,6913.0,6914.75
2018-02-27,7009.0,6904.0,7001.0,6927.0,7007.5,6890.0,7001.0
2018-02-28,6970.5,6857.75,6927.0,6882.25,7009.0,6904.0,6927.0
2018-03-01,6898.75,6689.0,6882.0,6770.0,6970.5,6857.75,6882.25
2018-03-02,6823.25,6646.0,6770.25,6808.5,6898.75,6689.0,6770.0
2018-03-04,6802.0,6779.0,6795.75,6793.25,6823.25,6646.0,6808.5
2018-03-05,6904.5,6742.5,6793.25,6881.5,6802.0,6779.0,6793.25
2018-03-06,6939.25,6818.5,6881.75,6826.0,6904.5,6742.5,6881.5
2018-03-07,6937.0,6798.25,6825.75,6920.25,6939.25,6818.5,6826.0
2018-03-08,6983.5,6914.25,6920.5,6976.0,6937.0,6798.25,6920.25
2018-03-09,7129.5,6987.75,7001.75,7124.0,6983.5,6914.25,6976.0
2018-03-11,7149.75,7124.0,7132.75,7146.75,7129.5,6987.75,7124.0
2018-03-12,7185.0,7135.25,7147.0,7156.75,7149.75,7124.0,7146.75
2018-03-13,7214.5,7047.0,7156.5,7064.5,7185.0,7135.25,7156.75
2018-03-14,7121.5,7036.5,7064.5,7063.25,7214.5,7047.0,7064.5
2018-03-15,7100.0,7027.25,7063.0,7080.25,7121.5,7036.5,7063.25
2018-03-16,7084.75,7033.0,7080.0,7045.5,7100.0,7027.25,7080.25
2018-03-18,7043.0,7031.25,7043.0,7037.0,7084.75,7033.0,7045.5
2018-03-19,7041.5,6821.25,7037.25,6885.25,7043.0,7031.25,7037.0
2018-03-20,6927.75,6863.0,6885.5,6912.75,7041.5,6821.25,6885.25
2018-03-21,6951.0,6842.25,6913.0,6884.5,6927.75,6863.0,6912.75
2018-03-22,6915.0,6634.5,6884.25,6635.75,6951.0,6842.25,6884.5
2018-03-23,6721.25,6519.0,6635.5,6548.0,6915.0,6634.5,6635.75
2018-03-25,6574.75,6525.0,6549.75,6569.25,6721.25,6519.0,6548.0
2018-03-26,6786.75,6552.25,6569.0,6786.25,6574.75,6525.0,6569.25
2018-03-27,6849.25,6490.0,6786.25,6550.0,6786.75,6552.25,6786.25
2018-03-28,6582.25,6421.0,6549.75,6492.0,6849.25,6490.0,6550.0
2018-03-29,6653.75,6443.75,6492.0,6570.5,6582.25,6421.0,6492.0
2018-04-01,6588.5,6548.25,6557.0,6559.0,6653.75,6443.75,6570.5
2018-04-02,6576.5,6326.5,6559.25,6412.5,6588.5,6548.25,6559.0
2018-04-03,6496.75,6351.25,6413.0,6455.0,6576.5,6326.5,6412.5
2018-04-04,6602.75,6306.75,6455.75,6599.25,6496.75,6351.25,6455.0
2018-04-05,6654.5,6490.25,6599.75,6524.75,6602.75,6306.75,6599.25
2018-04-06,6599.25,6408.5,6525.5,6456.5,6654.5,6490.25,6524.75
2018-04-08,6485.0,6460.0,6463.0,6479.75,6599.25,6408.5,6456.5
2018-04-09,6618.0,6469.0,6479.0,6483.5,6485.0,6460.0,6479.75
2018-04-10,6651.75,6471.75,6483.0,6611.75,6618.0,6469.0,6483.5
