timeframe,year,direction,fvg_count,avg_gap_width,median_gap_width
15m,2018,bear,2311,5.301276503678062,2.75
15m,2018,bull,2570,4.770330739299611,2.5
15m,2019,bear,2123,4.944771549693829,2.5
15m,2019,bull,2483,4.373741441804269,2.25
15m,2020,bear,2136,11.474016853932584,5.75
15m,2020,bull,2647,9.424820551567812,5.5
15m,2021,bear,2137,9.422204024333178,5.0
15m,2021,bull,2659,8.482700263256863,4.75
15m,2022,bear,2512,15.391421178343949,8.0
15m,2022,bull,2555,13.229941291585128,7.25
15m,2023,bear,2259,9.014165559982294,4.75
15m,2023,bull,2568,8.848714953271028,4.5
15m,2024,bear,2129,12.387036167214655,6.25
15m,2024,bull,2658,11.225545522949586,6.0
15m,2025,bear,2090,17.603947368421053,8.5
15m,2025,bull,2606,15.589504988488104,7.5
15m,2026,bear,782,20.39002557544757,10.25
15m,2026,bull,937,17.941568836712914,9.5
1h,2018,bear,601,12.032861896838602,6.0
1h,2018,bull,733,8.80593451568895,4.75
1h,2019,bear,499,11.222945891783567,6.25
1h,2019,bull,737,8.957598371777475,5.0
1h,2020,bear,515,26.57864077669903,16.25
1h,2020,bull,760,18.334868421052633,11.75
1h,2021,bear,499,22.145791583166332,12.0
1h,2021,bull,738,16.83062330623306,10.0
1h,2022,bear,635,32.00314960629921,18.25
1h,2022,bull,628,28.348328025477706,15.75
1h,2023,bear,560,18.93392857142857,10.5
1h,2023,bull,702,17.826566951566953,9.75
1h,2024,bear,527,27.697817836812145,13.25
1h,2024,bull,711,23.41912798874824,12.5
1h,2025,bear,545,39.237155963302754,17.25
1h,2025,bull,715,30.922027972027973,15.25
1h,2026,bear,212,44.70990566037736,28.375
1h,2026,bull,266,35.94172932330827,18.5
4h,2018,bear,160,28.846875,17.5
4h,2018,bull,225,19.95888888888889,10.75
4h,2019,bear,145,22.232758620689655,12.75
4h,2019,bull,222,18.08783783783784,11.0
4h,2020,bear,141,52.333333333333336,32.5
4h,2020,bull,247,34.73886639676113,22.5
4h,2021,bear,146,46.49828767123287,30.375
4h,2021,bull,218,38.50573394495413,23.0
4h,2022,bear,203,72.13793103448276,46.25
4h,2022,bull,185,59.310810810810814,36.5
4h,2023,bear,143,39.19405594405595,22.75
4h,2023,bull,217,44.64055299539171,25.75
4h,2024,bear,157,60.83757961783439,32.75
4h,2024,bull,214,57.57359813084112,34.25
4h,2025,bear,165,81.49242424242425,45.0
4h,2025,bull,236,68.60593220338983,35.375
4h,2026,bear,64,94.58984375,57.625
4h,2026,bull,85,81.87647058823529,54.25
