signal_time,entry_time,trade_date,year,month,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,signal_high,signal_low,signal_close,range_expansion,rel_volume,day_of_week,equity_points,peak_points,drawdown_points
2019-08-29T08:37:00.000000,2019-08-29T08:38:00.000000,2019-08-29,2019,2019-08,8,38,short,7682.44,7693.5,7660.31,11.06,22.12,2.0,target,1,1,26.19,-2.06,7691.5,7655.25,7660.5,5.9184,8.1109,4,22.12,22.12,0.0
2020-02-21T08:49:00.000000,2020-02-21T08:50:00.000000,2020-02-21,2020,2020-02,8,50,short,9501.44,9510.0,9484.31,8.56,17.12,2.0,target,1,1,18.94,-5.56,9508.0,9481.75,9483.25,1.8551,1.6804,5,39.24,39.24,0.0
2020-03-04T08:37:00.000000,2020-03-04T08:38:00.000000,2020-03-04,2020,2020-03,8,38,short,8715.56,8724.75,8697.19,9.19,18.38,2.0,target,1,1,28.56,-0.94,8722.75,8694.0,8700.25,2.0852,2.4222,3,57.620000000000005,57.620000000000005,0.0
2020-03-20T10:09:00.000000,2020-03-20T10:10:00.000000,2020-03-20,2020,2020-03,10,10,short,7222.12,7232.75,7200.88,10.62,21.25,2.0,target,1,1,25.38,-8.38,7230.75,7196.25,7198.0,1.5629,1.6994,5,78.87,78.87,0.0
2020-04-16T10:36:00.000000,2020-04-16T10:37:00.000000,2020-04-16,2020,2020-04,10,37,short,8624.75,8633.25,8607.75,8.5,17.0,2.0,target,1,1,17.5,-0.75,8631.25,8605.25,8606.75,1.7233,1.1513,4,95.87,95.87,0.0
2020-11-09T08:34:00.000000,2020-11-09T08:35:00.000000,2020-11-09,2020,2020-11,8,35,short,12115.0,12126.25,12092.5,11.25,22.5,2.0,target,1,1,43.25,-3.5,12124.25,12087.25,12093.75,1.5164,2.4793,1,118.37,118.37,0.0
2020-12-02T08:40:00.000000,2020-12-02T08:41:00.000000,2020-12-02,2020,2020-12,8,41,short,12352.56,12362.5,12332.69,9.94,19.88,2.0,target,1,1,25.31,-1.19,12360.5,12328.75,12332.0,2.816,2.8289,3,138.25,138.25,0.0
2021-01-27T08:32:00.000000,2021-01-27T08:33:00.000000,2021-01-27,2021,2021-01,8,33,short,13303.06,13322.0,13265.19,18.94,37.88,2.0,target,1,1,41.06,-1.44,13320.0,13252.25,13267.5,4.6604,5.0893,3,176.13,176.13,0.0
2021-02-24T08:36:00.000000,2021-02-24T08:37:00.000000,2021-02-24,2021,2021-02,8,37,short,13042.19,13056.0,13014.56,13.81,27.62,2.0,target,1,1,40.19,-5.81,13054.0,13006.75,13013.25,1.9276,2.4653,3,203.75,203.75,0.0
2021-11-09T10:13:00.000000,2021-11-09T10:14:00.000000,2021-11-09,2021,2021-11,10,14,short,16231.5,16240.5,16213.5,9.0,18.0,2.0,target,1,1,19.5,-2.75,16238.5,16210.5,16211.75,2.0837,1.94,2,221.75,221.75,0.0
