month,trades,wins,losses,net_points,avg_trade,avg_risk,avg_mfe,avg_mae,winrate
2019-08,1,1,0,22.12,22.12,11.06,26.19,-2.06,100.0
2020-02,1,1,0,17.12,17.12,8.56,18.94,-5.56,100.0
2020-03,2,2,0,39.63,19.81,9.9,26.97,-4.66,100.0
2020-04,1,1,0,17.0,17.0,8.5,17.5,-0.75,100.0
2020-11,1,1,0,22.5,22.5,11.25,43.25,-3.5,100.0
2020-12,1,1,0,19.88,19.88,9.94,25.31,-1.19,100.0
2021-01,1,1,0,37.88,37.88,18.94,41.06,-1.44,100.0
2021-02,1,1,0,27.62,27.62,13.81,40.19,-5.81,100.0
2021-11,2,2,0,34.88,17.44,8.72,19.03,-2.6,100.0
2021-12,4,4,0,88.01,22.0,11.0,27.5,-3.69,100.0
2022-02,2,2,0,41.38,20.69,10.34,23.53,-7.35,100.0
2022-03,1,1,0,24.25,24.25,12.12,58.62,-6.62,100.0
2022-09,3,1,2,0.93,0.31,9.19,16.89,-6.27,33.33
2022-12,1,0,1,-8.19,-8.19,8.19,26.06,-9.94,0.0
2023-02,1,1,0,23.5,23.5,11.75,32.5,-3.75,100.0
2024-02,1,1,0,17.5,17.5,8.75,21.0,-5.25,100.0
2024-08,1,1,0,16.5,16.5,8.25,17.5,-4.0,100.0
2024-09,1,1,0,19.75,19.75,9.88,25.88,-0.12,100.0
2024-11,1,1,0,16.62,16.62,8.31,20.69,-0.06,100.0
2025-01,3,3,0,61.88,20.63,10.32,29.1,-5.23,100.0
2025-02,3,3,0,65.76,21.92,10.96,25.54,-1.71,100.0
2025-04,1,1,0,17.5,17.5,8.75,19.0,-4.0,100.0
2025-05,1,1,0,28.5,28.5,14.25,33.75,-8.25,100.0
2025-06,1,1,0,26.5,26.5,13.25,57.25,-7.75,100.0
2025-07,1,0,1,-9.38,-9.38,9.38,19.38,-9.62,0.0
2025-09,1,1,0,16.88,16.88,8.44,17.81,-0.44,100.0
2025-11,2,2,0,42.13,21.06,10.54,23.72,-0.9,100.0
2025-12,2,2,0,62.12,31.06,15.53,41.97,-4.9,100.0
2026-01,1,1,0,22.62,22.62,11.31,29.94,-1.81,100.0
2026-02,3,3,0,68.01,22.67,11.34,30.33,-5.75,100.0
2026-03,2,2,0,38.75,19.38,9.69,21.18,-2.56,100.0
