filter,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,removed_trades
lower_wick_pct_gt_q25_0.0351,35,35,0,100.0,773.53,22.1,,13
body_pct_lt_q50_0.6975,24,24,0,100.0,543.77,22.66,,24
lower_wick_pct_gt_q50_0.1068,23,23,0,100.0,528.77,22.99,,25
range_expansion_20_gt_q50_1.5932,23,23,0,100.0,510.65,22.2,,25
dist_vwap_lt_q25_-110.2211,12,12,0,100.0,295.76,24.65,,36
dist_vwap_day_lt_q25_-110.2211,12,12,0,100.0,295.76,24.65,,36
liquidity_sweep_reclaim_count_last_30m_lt_q50_2.0,14,14,0,100.0,294.4,21.03,,34
rel_vol_20_gt_q75_1.9122,12,12,0,100.0,291.14,24.26,,36
range_expansion_20_gt_q75_1.809,12,12,0,100.0,289.27,24.11,,36
lower_wick_pct_gt_q75_0.2373,12,12,0,100.0,289.26,24.11,,36
body_pct_lt_q25_0.3724,12,12,0,100.0,281.52,23.46,,36
dist_dol_lt_q25_-106.0,12,12,0,100.0,280.38,23.36,,36
dist_pdh_lt_q25_-277.5,12,12,0,100.0,278.9,23.24,,36
upper_wick_pct_gt_q75_0.3846,12,12,0,100.0,277.4,23.12,,36
dist_or_low_30m_gt_q75_68.25,12,12,0,100.0,274.02,22.83,,36
dist_pdl_lt_q25_12.5,12,12,0,100.0,267.02,22.25,,36
dist_dol_gt_q75_18.75,12,12,0,100.0,246.13,20.51,,36
rel_vol_20_gt_q25_1.2052,35,34,1,97.14,743.46,21.24,77.72,13
dist_vwap_lt_q50_-54.9269,24,23,1,95.83,523.37,21.81,63.45,24
dist_vwap_day_lt_q50_-54.9269,24,23,1,95.83,523.37,21.81,63.45,24
dist_or_low_30m_gt_q50_39.0,23,22,1,95.65,478.34,20.8,59.41,25
liquidity_sweep_reclaim_count_last_30m_lt_q75_3.0,26,25,1,96.15,522.66,20.1,56.72,22
dist_pdl_lt_q50_235.0,24,23,1,95.83,507.77,21.16,55.13,24
dist_dol_lt_q50_-39.5,24,23,1,95.83,510.21,21.26,53.65,24
dist_pdh_lt_q50_-153.5,24,23,1,95.83,493.03,20.54,53.56,24
rel_vol_20_gt_q50_1.5495,23,22,1,95.65,489.44,21.28,51.51,25
upper_wick_pct_gt_q50_0.1852,23,22,1,95.65,473.47,20.59,49.86,25
dist_or_high_30m_lt_q25_-164.75,12,11,1,91.67,243.38,20.28,30.04,36
upper_wick_pct_lt_q25_0.1124,12,11,1,91.67,228.5,19.04,28.27,36
dist_pdl_gt_q75_340.25,12,11,1,91.67,214.82,17.9,27.23,36
range_expansion_20_lt_q25_1.4207,12,11,1,91.67,211.95,17.66,26.88,36
body_pct_gt_q75_0.8148,12,11,1,91.67,206.5,17.21,25.64,36
dist_or_high_30m_gt_q75_-53.75,12,11,1,91.67,204.01,17.0,22.75,36
dist_vwap_lt_q75_-23.8091,35,33,2,94.29,729.32,20.84,41.36,13
dist_vwap_day_lt_q75_-23.8091,35,33,2,94.29,729.32,20.84,41.36,13
dist_or_low_30m_gt_q25_20.0,35,33,2,94.29,706.59,20.19,41.22,13
dist_or_high_30m_lt_q75_-53.75,35,33,2,94.29,724.33,20.7,41.08,13
range_expansion_20_gt_q25_1.4207,35,33,2,94.29,717.58,20.5,40.71,13
body_pct_lt_q75_0.8148,35,33,2,94.29,721.84,20.62,38.85,13
dist_pdh_lt_q75_-69.75,35,33,2,94.29,711.47,20.33,38.31,13
dist_or_high_30m_lt_q50_-101.25,24,22,2,91.67,499.57,20.82,28.65,24
upper_wick_pct_lt_q50_0.1852,24,22,2,91.67,454.87,18.95,26.61,24
dist_or_high_30m_gt_q50_-101.25,22,20,2,90.91,374.96,17.04,22.34,26
dist_pdh_gt_q75_-69.75,12,10,2,83.33,192.06,16.0,12.59,36
dist_or_low_30m_lt_q25_20.0,12,10,2,83.33,185.06,15.42,11.24,36
dist_vwap_day_gt_q75_-23.8091,12,10,2,83.33,173.45,14.45,10.87,36
dist_vwap_gt_q75_-23.8091,12,10,2,83.33,173.45,14.45,10.87,36
liquidity_sweep_reclaim_count_last_30m_gt_q75_3.0,10,8,2,80.0,173.43,17.34,10.6,38
dist_pdl_lt_q75_340.25,35,32,3,91.43,688.71,19.68,26.09,13
upper_wick_pct_gt_q25_0.1124,35,32,3,91.43,673.65,19.25,25.71,13
dist_or_high_30m_gt_q25_-164.75,35,32,3,91.43,652.52,18.64,24.94,13
rel_vol_20_lt_q50_1.5495,24,21,3,87.5,409.96,17.08,16.8,24
dist_pdh_gt_q50_-153.5,23,20,3,86.96,403.62,17.55,16.37,25
dist_dol_gt_q50_-39.5,23,20,3,86.96,393.32,17.1,16.16,25
liquidity_sweep_reclaim_count_last_30m_gt_q50_2.0,22,19,3,86.36,397.49,18.07,16.14,26
dist_or_low_30m_lt_q50_39.0,24,21,3,87.5,414.19,17.26,16.09,24
dist_pdl_gt_q50_235.0,23,20,3,86.96,389.88,16.95,15.85,25
dist_vwap_gt_q50_-54.9269,23,20,3,86.96,370.4,16.1,14.59,25
dist_vwap_day_gt_q50_-54.9269,23,20,3,86.96,370.4,16.1,14.59,25
rel_vol_20_lt_q25_1.2052,12,9,3,75.0,148.44,12.37,6.72,36
dist_dol_lt_q75_18.75,35,31,4,88.57,657.02,18.77,19.43,13
dist_or_low_30m_lt_q75_68.25,35,31,4,88.57,629.13,17.98,18.65,13
dist_pdl_gt_q25_12.5,35,31,4,88.57,628.75,17.96,18.64,13
liquidity_sweep_reclaim_count_last_30m_gt_q25_1.0,34,30,4,88.24,625.75,18.4,18.56,14
dist_dol_gt_q25_-106.0,35,31,4,88.57,622.89,17.8,18.48,13
upper_wick_pct_lt_q75_0.3846,35,31,4,88.57,619.37,17.7,18.38,13
dist_pdh_gt_q25_-277.5,35,31,4,88.57,618.87,17.68,18.36,13
body_pct_gt_q25_0.3724,35,31,4,88.57,615.13,17.58,18.26,13
range_expansion_20_lt_q75_1.809,35,31,4,88.57,613.88,17.54,18.22,13
lower_wick_pct_lt_q75_0.2373,35,31,4,88.57,612.51,17.5,18.19,13
dist_vwap_gt_q25_-110.2211,35,31,4,88.57,601.64,17.19,17.88,13
dist_vwap_day_gt_q25_-110.2211,35,31,4,88.57,601.64,17.19,17.88,13
rel_vol_20_lt_q75_1.9122,35,31,4,88.57,601.39,17.18,17.87,13
range_expansion_20_lt_q50_1.5932,24,20,4,83.33,381.0,15.88,11.69,24
lower_wick_pct_lt_q50_0.1068,24,20,4,83.33,371.63,15.48,11.43,24
body_pct_gt_q50_0.6975,23,19,4,82.61,353.63,15.38,10.92,25
lower_wick_pct_lt_q25_0.0351,12,8,4,66.67,121.74,10.15,4.42,36
