feature,win_mean,loss_mean,diff_loss_minus_win,abs_diff
pdh,18324.0341,14982.0,-3342.0341,3342.0341
pdl,17922.517,14602.6875,-3319.8295,3319.8295
vwap,18190.5416,14918.7451,-3271.7965,3271.7965
vwap_day,18190.5416,14918.7451,-3271.7965,3271.7965
ema_50,18183.9985,14932.2353,-3251.7632,3251.7632
signal_high,18142.7727,14891.3125,-3251.4602,3251.4602
ema_20,18164.1509,14913.1934,-3250.9576,3250.9576
dol,18164.1364,14913.1875,-3250.9489,3250.9489
ny_open,18164.1364,14913.1875,-3250.9489,3250.9489
high,18137.5852,14891.4375,-3246.1477,3246.1477
signal_low,18107.3295,14863.6875,-3243.642,3243.642
open,18112.0227,14868.8125,-3243.2102,3243.2102
signal_close,18111.9943,14868.9375,-3243.0568,3243.0568
close,18128.4489,14887.375,-3241.0739,3241.0739
low,18106.5057,14868.4375,-3238.0682,3238.0682
volume,2688.6136,2103.75,-584.8636,584.8636
dist_pdh,-195.5852,-94.625,100.9602,100.9602
dist_pdl,205.9318,284.6875,78.7557,78.7557
dist_london_high,-157.3068,-91.3125,65.9943,65.9943
dist_asia_high,-109.8182,-47.5,62.3182,62.3182
dist_or_low_30m,30.6364,-11.5625,-42.1989,42.1989
dist_london_low,27.858,60.875,33.017,33.017
dist_vwap,-62.0927,-31.3701,30.7226,30.7226
dist_vwap_day,-62.0927,-31.3701,30.7226,30.7226
dist_asia_low,37.1989,10.0,-27.1989,27.1989
dist_or_high_30m,-116.9943,-105.875,11.1193,11.1193
dist_ema_50,-55.5496,-44.8603,10.6893,10.6893
dist_ema_20,-35.702,-25.8184,9.8837,9.8837
dist_dol,-35.6875,-25.8125,9.875,9.875
dist_ny_open,-35.6875,-25.8125,9.875,9.875
mfe_points,28.2632,19.155,-9.1082,9.1082
bar_range,31.0795,23.0,-8.0795,8.0795
mae_points,-3.6736,-9.4675,-5.7939,5.7939
lower_wick,5.1534,0.375,-4.7784,4.7784
upper_wick,8.7727,4.0625,-4.7102,4.7102
atr_14,22.2524,18.1473,-4.1051,4.1051
atr_50,17.0812,13.1837,-3.8975,3.8975
body,16.4261,18.5625,2.1364,2.1364
risk_points,10.8616,8.91,-1.9516,1.9516
body_abs,17.1534,18.5625,1.4091,1.4091
liquidity_sweep_reclaim_count_last_30m,2.3409,3.5,1.1591,1.1591
rel_vol_50,2.6095,1.6519,-0.9576,0.9576
day_of_week,3.1818,4.0,0.8182,0.8182
rel_volume,2.4425,1.7907,-0.6518,0.6518
rel_vol_20,1.7649,1.1747,-0.5902,0.5902
range_expansion_20,1.7562,1.4019,-0.3543,0.3543
range_expansion,2.1724,1.8185,-0.3539,0.3539
body_pct,0.5781,0.8048,0.2267,0.2267
hour_ct,8.8182,9.0,0.1818,0.1818
lower_wick_pct,0.1442,0.0136,-0.1306,0.1306
upper_wick_pct,0.2777,0.1816,-0.0961,0.0961
body_expansion_20,1.8102,1.898,0.0878,0.0878
minute_ct,35.7045,35.75,0.0455,0.0455
