month,trades,wins,net_points,avg_rr,win_rate
2018-01,6,1,-35.5,-0.5,16.67
2018-02,3,0,-27.25,-1.0,0.0
2018-03,5,3,71.5,0.8,60.0
2018-04,1,0,-10.5,-1.0,0.0
2018-05,1,0,-6.25,-1.0,0.0
2018-08,2,1,5.25,0.5,50.0
2018-09,1,0,-6.75,-0.75,0.0
2018-10,1,0,-15.5,-1.0,0.0
2018-11,2,1,6.5,0.5,50.0
2018-12,4,3,131.25,1.25,75.0
2019-01,1,0,-16.5,-1.0,0.0
2019-02,8,2,-31.25,-0.25,25.0
2019-03,1,0,-11.25,-1.0,0.0
2019-05,2,1,10.75,0.5,50.0
2019-06,1,0,-5.5,-1.0,0.0
2019-08,1,1,97.5,2.0,100.0
2019-09,2,0,-40.5,-0.6799999999999999,0.0
2019-10,1,0,-8.75,-1.0,0.0
2019-11,4,1,-16.5,-0.25,25.0
2019-12,5,2,7.0,0.2,40.0
2020-01,3,1,-9.75,0.0,33.33
2020-02,3,1,15.5,0.0,33.33
2020-03,2,1,37.75,0.5,50.0
2020-06,1,0,-34.25,-1.0,0.0
2020-07,2,1,1.5,0.5,50.0
2020-08,1,0,-22.25,-1.0,0.0
2020-09,3,2,89.25,1.0,66.67
2020-10,3,3,104.75,1.1300000000000001,100.0
2020-11,5,1,34.0,-0.4,20.0
2020-12,4,1,-10.25,-0.25,25.0
2021-01,6,3,146.75,0.5,50.0
2021-02,4,1,-14.75,-0.25,25.0
2021-03,2,1,12.25,0.5,50.0
2021-04,1,1,90.0,2.0,100.0
2021-05,1,1,41.5,2.0,100.0
2021-07,2,0,-50.75,-1.0,0.0
2021-09,1,1,11.25,0.45,100.0
2021-11,1,0,-20.75,-1.0,0.0
2021-12,10,2,-141.0,-0.4,20.0
2022-01,4,1,-86.75,-0.25,25.0
2022-02,2,1,18.0,0.5,50.0
2022-03,2,0,-106.0,-1.0,0.0
2022-05,1,0,-46.25,-1.0,0.0
2022-07,1,1,59.5,2.0,100.0
2022-09,5,2,-149.0,0.2,40.0
2022-10,2,0,-71.0,-0.97,0.0
2022-11,3,0,-87.0,-1.0,0.0
2022-12,2,1,32.0,0.5,50.0
2023-01,10,3,0.5,-0.1,30.0
2023-02,4,1,-24.75,-0.25,25.0
2023-03,1,0,-17.5,-1.0,0.0
2023-04,2,1,3.5,0.5,50.0
2023-05,2,1,2.75,0.04500000000000004,50.0
2023-06,1,0,-57.5,-1.0,0.0
2023-07,2,1,-3.0,-0.13,50.0
2023-09,2,1,5.75,0.5,50.0
2023-10,2,1,8.5,0.5,50.0
2023-11,1,0,-18.25,-1.0,0.0
2023-12,3,1,-33.25,-0.5166666666666667,33.33
2024-01,3,1,8.75,0.0,33.33
2024-02,2,0,-32.5,-1.0,0.0
2024-03,1,0,-13.25,-1.0,0.0
2024-04,2,0,-90.75,-1.0,0.0
2024-05,2,2,24.25,1.125,100.0
2024-06,2,1,33.0,0.5,50.0
2024-07,2,0,-28.75,-0.515,0.0
2024-09,2,0,-40.0,-1.0,0.0
2024-10,2,1,38.25,0.5,50.0
2024-11,2,2,27.5,0.355,100.0
2024-12,1,0,-32.5,-1.0,0.0
2025-01,1,0,-14.25,-1.0,0.0
2025-02,6,2,-19.25,0.13,33.33
2025-03,4,2,146.25,0.6575,50.0
2025-04,1,0,-39.5,-1.0,0.0
2025-05,1,1,118.5,2.0,100.0
2025-06,2,1,30.0,0.5,50.0
2025-07,1,1,15.0,2.0,100.0
2025-08,1,1,59.5,2.0,100.0
2025-09,1,1,8.25,0.3,100.0
2025-11,5,3,227.0,0.8,60.0
2025-12,4,2,37.25,0.3525,50.0
2026-01,7,1,-258.5,-0.5714285714285714,14.29
2026-02,5,0,-245.5,-1.0,0.0
2026-03,3,1,-44.5,0.0,33.33
2026-04,1,1,144.0,2.0,100.0
