date,entry_time,side,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae,swept_levels,below_dol,below_vwap,year,month
2018-01-08,2018-01-08 09:09:00,short,6661.25,6669.0,6645.75,6669.0,loss,7.75,-7.75,-1.0,1.5,-8.25,PMH,True,True,2018,2018-01
2018-01-15,2018-01-15 10:27:00,short,6780.0,6782.25,6775.5,6775.5,win,2.25,4.5,2.0,4.5,-0.5,PMH,True,True,2018,2018-01
2018-01-15,2018-01-15 11:07:00,short,6776.5,6779.0,6771.5,6779.0,loss,2.5,-2.5,-1.0,3.25,-2.5,PDH,True,True,2018,2018-01
2018-01-18,2018-01-18 08:35:00,short,6811.0,6820.25,6792.5,6820.25,loss,9.25,-9.25,-1.0,0.75,-10.75,PMH,True,True,2018,2018-01
2018-01-18,2018-01-18 10:29:00,short,6812.75,6819.75,6798.75,6819.75,loss,7.0,-7.0,-1.0,0.5,-8.25,PMH,True,True,2018,2018-01
2018-01-25,2018-01-25 08:56:00,short,6933.25,6946.75,6906.25,6946.75,loss,13.5,-13.5,-1.0,17.0,-13.75,ASIA_HIGH,True,True,2018,2018-01
2018-02-05,2018-02-05 11:16:00,short,6730.25,6739.75,6711.25,6739.75,loss,9.5,-9.5,-1.0,11.75,-9.5,PMH,True,True,2018,2018-02
2018-02-05,2018-02-05 11:36:00,short,6733.75,6744.0,6713.25,6744.0,loss,10.25,-10.25,-1.0,4.5,-17.5,PMH,True,True,2018,2018-02
2018-02-13,2018-02-13 12:00:00,short,6510.0,6517.5,6495.0,6517.5,loss,7.5,-7.5,-1.0,0.5,-8.5,PMH,True,True,2018,2018-02
2018-03-02,2018-03-02 08:35:00,short,6691.5,6705.0,6664.5,6664.5,win,13.5,27.0,2.0,27.0,-8.0,PMH,True,True,2018,2018-03
2018-03-02,2018-03-02 08:37:00,short,6683.0,6700.5,6648.0,6648.0,win,17.5,35.0,2.0,37.0,-5.5,PMH,True,True,2018,2018-03
2018-03-02,2018-03-02 10:19:00,short,6696.75,6708.0,6674.25,6708.0,loss,11.25,-11.25,-1.0,4.0,-11.25,PMH,True,True,2018,2018-03
2018-03-07,2018-03-07 11:11:00,short,6853.25,6865.0,6829.75,6865.0,loss,11.75,-11.75,-1.0,3.0,-13.25,ASIA_HIGH,True,True,2018,2018-03
2018-03-23,2018-03-23 09:39:00,short,6664.0,6680.25,6631.5,6631.5,win,16.25,32.5,2.0,33.75,-1.25,ASIA_HIGH,True,True,2018,2018-03
2018-04-05,2018-04-05 11:23:00,short,6586.0,6596.5,6565.0,6596.5,loss,10.5,-10.5,-1.0,10.0,-12.5,PDH,True,True,2018,2018-04
2018-05-09,2018-05-09 08:34:00,short,6822.25,6828.5,6809.75,6828.5,loss,6.25,-6.25,-1.0,0.25,-9.0,ASIA_HIGH,True,True,2018,2018-05
2018-08-23,2018-08-23 09:16:00,short,7437.5,7442.5,7427.5,7427.5,win,5.0,10.0,2.0,18.5,-2.0,ASIA_HIGH|LONDON_HIGH,True,True,2018,2018-08
2018-08-23,2018-08-23 11:38:00,short,7435.0,7439.75,7425.5,7439.75,loss,4.75,-4.75,-1.0,0.25,-4.75,LONDON_HIGH,True,True,2018,2018-08
2018-09-10,2018-09-10 10:20:00,short,7439.25,7448.25,7421.25,7446.0,loss,9.0,-6.75,-0.75,5.5,-8.75,PDH,True,True,2018,2018-09
2018-10-09,2018-10-09 10:46:00,short,7385.25,7400.75,7354.25,7400.75,loss,15.5,-15.5,-1.0,15.5,-17.25,LONDON_HIGH,True,True,2018,2018-10
2018-11-16,2018-11-16 10:33:00,short,6849.0,6859.0,6829.0,6829.0,win,10.0,20.0,2.0,21.75,-7.25,PMH,True,True,2018,2018-11
2018-11-29,2018-11-29 08:35:00,short,6890.0,6903.5,6863.0,6903.5,loss,13.5,-13.5,-1.0,15.0,-13.75,PMH,True,True,2018,2018-11
2018-12-06,2018-12-06 09:49:00,short,6685.25,6708.25,6639.25,6639.25,win,23.0,46.0,2.0,46.25,-14.5,PMH,True,True,2018,2018-12
2018-12-07,2018-12-07 09:07:00,short,6812.25,6827.25,6782.25,6782.25,win,15.0,30.0,2.0,30.75,-6.75,LONDON_HIGH,True,True,2018,2018-12
2018-12-10,2018-12-10 09:40:00,short,6592.25,6611.0,6554.75,6611.0,loss,18.75,-18.75,-1.0,13.0,-21.25,ASIA_HIGH,True,True,2018,2018-12
2018-12-24,2018-12-24 08:36:00,short,6030.75,6067.75,5956.75,5956.75,win,37.0,74.0,2.0,77.5,-9.5,PMH,True,True,2018,2018-12
2019-01-07,2019-01-07 08:36:00,short,6431.25,6447.75,6398.25,6447.75,loss,16.5,-16.5,-1.0,6.25,-17.25,PMH,True,True,2019,2019-01
2019-02-01,2019-02-01 10:00:00,short,6894.25,6902.0,6878.75,6902.0,loss,7.75,-7.75,-1.0,8.0,-9.0,PMH,True,True,2019,2019-02
2019-02-01,2019-02-01 11:25:00,short,6894.75,6902.5,6879.25,6879.25,win,7.75,15.5,2.0,15.5,-5.75,PMH,True,True,2019,2019-02
