group,trades,wins,losses,win_rate,net_points,avg_points,avg_rr,profit_factor,avg_risk,avg_mfe,avg_mae
2018-01,13,2,11,15.38,-31.81,-2.45,-0.54,0.36,4.48,6.14,-4.73
2018-02,9,4,5,44.44,19.32,2.15,0.33,1.83,4.96,9.37,-5.82
2018-03,12,4,8,33.33,-3.12,-0.26,0.0,0.93,5.34,9.02,-6.38
2018-04,14,3,11,21.43,-24.7,-1.76,-0.36,0.53,4.8,8.11,-5.62
2018-05,5,1,4,20.0,-7.31,-1.46,-0.4,0.58,4.54,7.56,-5.84
2018-06,4,2,2,50.0,11.38,2.84,0.5,2.36,4.56,8.25,-2.93
2018-07,5,2,3,40.0,4.5,0.9,0.2,1.31,4.8,9.35,-4.8
2018-08,1,0,1,0.0,-4.19,-4.19,-1.0,0.0,4.19,6.06,-5.44
2018-09,4,1,3,25.0,-1.56,-0.39,-0.25,0.88,4.61,7.02,-6.42
2018-10,21,10,11,47.62,50.42,2.4,0.43,1.78,5.84,10.36,-5.67
2018-11,15,5,10,33.33,-8.07,-0.54,0.0,0.85,5.25,9.9,-6.6
2018-12,20,9,11,45.0,41.64,2.08,0.35,1.61,6.18,12.52,-6.85
2019-01,11,7,4,63.64,50.37,4.58,0.91,3.53,5.0,10.14,-5.14
2019-02,10,4,6,40.0,11.26,1.13,0.2,1.43,4.48,7.27,-4.73
2019-03,6,3,3,50.0,15.55,2.59,0.5,2.0,5.19,8.6,-3.81
2019-04,1,0,1,0.0,-4.94,-4.94,-1.0,0.0,4.94,4.31,-6.44
2019-05,9,1,8,11.11,-29.19,-3.24,-0.67,0.24,4.81,7.11,-6.58
2019-06,4,2,2,50.0,10.12,2.53,0.5,2.08,4.78,7.59,-3.53
2019-08,7,3,4,42.86,31.94,4.56,0.29,2.64,6.44,12.7,-5.66
2019-09,9,3,6,33.33,1.43,0.16,0.0,1.05,4.92,6.16,-7.37
2019-10,5,2,3,40.0,4.63,0.93,0.2,1.36,4.36,7.89,-4.61
2019-11,4,1,3,25.0,-4.62,-1.16,-0.25,0.64,4.25,6.68,-5.56
2019-12,1,0,1,0.0,-4.19,-4.19,-1.0,0.0,4.19,5.56,-12.44
2020-01,7,3,4,42.86,11.31,1.62,0.29,1.59,4.92,8.08,-4.92
2020-02,12,5,7,41.67,27.69,2.31,0.25,1.79,5.55,10.57,-5.28
2020-03,7,4,3,57.14,57.57,8.22,0.71,3.36,9.35,19.65,-6.85
2020-04,15,8,7,53.33,96.18,6.41,0.6,3.21,7.55,14.8,-7.48
2020-05,9,3,6,33.33,5.77,0.64,0.0,1.18,5.8,10.01,-5.88
2020-06,14,6,8,42.86,22.89,1.64,0.29,1.38,7.2,13.95,-8.19
2020-07,16,7,9,43.75,26.69,1.67,0.31,1.5,5.86,12.16,-6.68
2020-08,12,5,7,41.67,14.8,1.23,0.25,1.35,5.97,11.68,-5.74
2020-09,18,7,11,38.89,60.36,3.35,0.17,1.7,8.91,16.95,-10.64
2020-10,17,8,9,47.06,59.82,3.52,0.41,1.96,7.26,14.33,-9.43
2020-11,22,8,14,36.36,48.39,2.2,0.09,1.54,7.23,14.03,-7.06
2020-12,17,8,9,47.06,38.62,2.27,0.41,1.7,5.98,10.96,-6.23
2021-01,16,11,5,68.75,142.44,8.9,1.06,4.69,8.07,17.43,-5.63
2021-02,25,12,13,48.0,96.02,3.84,0.44,2.01,7.65,16.57,-7.87
2021-03,14,4,10,28.57,-12.62,-0.9,-0.14,0.84,8.09,12.73,-9.41
2021-04,13,3,10,23.08,-20.94,-1.61,-0.31,0.63,5.75,9.38,-6.98
2021-05,8,3,5,37.5,-0.87,-0.11,0.12,0.97,5.8,8.91,-5.93
2021-06,12,3,9,25.0,-22.55,-1.88,-0.25,0.53,5.11,7.64,-6.89
2021-07,19,6,13,31.58,4.3,0.23,-0.05,1.06,5.93,10.03,-6.73
2021-08,9,3,6,33.33,-3.25,-0.36,0.0,0.92,6.24,10.26,-8.54
2021-09,19,10,9,52.63,70.62,3.72,0.58,2.32,6.09,11.43,-6.12
2021-10,10,6,4,60.0,31.38,3.14,0.8,1.99,6.31,12.21,-6.74
2021-11,22,14,8,63.64,147.53,6.71,0.91,3.35,7.63,17.04,-6.11
2021-12,18,11,7,61.11,149.19,8.29,0.83,3.03,10.26,21.63,-9.68
2022-01,16,7,9,43.75,22.13,1.38,0.31,1.2,10.84,23.74,-10.68
2022-02,16,7,9,43.75,37.77,2.36,0.31,1.37,10.75,17.86,-12.82
2022-03,7,5,2,71.43,69.43,9.92,1.14,3.81,10.25,26.04,-6.39
2022-04,9,1,8,11.11,-63.95,-7.11,-0.67,0.18,9.48,14.05,-15.7
2022-05,11,5,6,45.45,37.55,3.41,0.36,1.58,10.6,21.27,-10.64
2022-06,14,6,8,42.86,36.06,2.58,0.29,1.6,7.74,14.03,-8.81
2022-07,4,3,1,75.0,39.19,9.8,1.25,7.47,7.17,14.39,-5.42
2022-08,14,7,7,50.0,46.37,3.31,0.5,1.99,6.65,13.13,-6.3
2022-09,14,8,6,57.14,81.87,5.85,0.71,2.66,8.2,20.78,-6.15
2022-10,7,2,5,28.57,-10.19,-1.46,-0.14,0.71,6.89,13.54,-6.75
2022-11,21,8,13,38.1,26.94,1.28,0.14,1.28,7.59,15.55,-10.03
2022-12,15,5,10,33.33,2.39,0.16,0.0,1.03,8.4,16.8,-13.89
2023-01,10,2,8,20.0,-31.94,-3.19,-0.4,0.46,7.34,10.06,-12.39
2023-02,14,7,7,50.0,57.8,4.13,0.5,2.01,8.22,14.98,-8.25
2023-03,12,4,8,33.33,-1.57,-0.13,0.0,0.98,8.69,15.6,-20.63
