trade_date,trades,net_points,wins,losses,win_rate
2019-08-29,1,22.12,1,0,100.0
2020-02-21,1,17.12,1,0,100.0
2020-03-04,1,18.38,1,0,100.0
2020-03-20,1,21.25,1,0,100.0
2020-04-16,1,17.0,1,0,100.0
2020-05-21,1,17.88,1,0,100.0
2020-06-12,1,-9.62,0,1,0.0
2020-06-26,1,-8.19,0,1,0.0
2020-08-27,1,-8.69,0,1,0.0
2020-09-10,2,14.88,1,1,50.0
2020-11-09,1,22.5,1,0,100.0
2020-12-02,1,19.88,1,0,100.0
2021-01-27,1,37.88,1,0,100.0
2021-02-24,1,27.62,1,0,100.0
2021-03-08,1,-11.19,0,1,0.0
2021-11-09,1,18.0,1,0,100.0
2021-11-10,1,16.88,1,0,100.0
2021-12-03,1,28.25,1,0,100.0
2021-12-16,1,21.0,1,0,100.0
2021-12-17,1,21.38,1,0,100.0
2021-12-28,1,17.38,1,0,100.0
2022-01-11,1,-12.62,0,1,0.0
2022-02-04,1,24.38,1,0,100.0
2022-02-25,1,17.0,1,0,100.0
2022-03-08,1,24.25,1,0,100.0
2022-05-02,1,22.25,1,0,100.0
2022-07-22,1,18.12,1,0,100.0
2022-09-02,1,-8.38,0,1,0.0
2022-09-08,1,-9.69,0,1,0.0
2022-09-27,1,19.0,1,0,100.0
2022-12-01,1,-8.19,0,1,0.0
2022-12-07,1,18.25,1,0,100.0
2023-02-14,1,23.5,1,0,100.0
2023-03-08,1,-9.25,0,1,0.0
2023-05-19,1,16.75,1,0,100.0
2024-01-30,1,18.25,1,0,100.0
2024-02-15,1,-8.31,0,1,0.0
2024-02-23,1,17.5,1,0,100.0
2024-07-23,1,-8.69,0,1,0.0
2024-08-08,1,16.5,1,0,100.0
2024-08-22,1,-11.0,0,1,0.0
2024-09-17,1,19.75,1,0,100.0
2024-09-23,1,-8.31,0,1,0.0
2024-10-02,1,-8.44,0,1,0.0
2024-10-24,1,-8.5,0,1,0.0
2024-11-11,1,-8.69,0,1,0.0
2024-11-13,1,-8.81,0,1,0.0
2024-11-14,1,20.25,1,0,100.0
2024-11-20,1,16.62,1,0,100.0
2024-11-22,1,-11.31,0,1,0.0
2024-12-23,1,29.88,1,0,100.0
2025-01-02,1,23.38,1,0,100.0
2025-01-07,1,20.75,1,0,100.0
2025-01-16,1,17.75,1,0,100.0
2025-01-29,2,-18.5,0,2,0.0
2025-01-30,1,-11.69,0,1,0.0
2025-02-07,1,23.5,1,0,100.0
2025-02-12,1,17.38,1,0,100.0
2025-02-25,1,24.88,1,0,100.0
2025-02-26,1,28.0,1,0,100.0
2025-02-28,1,-11.56,0,1,0.0
2025-03-03,1,-11.31,0,1,0.0
2025-04-15,1,17.5,1,0,100.0
2025-04-28,1,-12.69,0,1,0.0
2025-05-01,1,-10.38,0,1,0.0
2025-05-08,1,28.5,1,0,100.0
2025-05-16,1,-8.88,0,1,0.0
2025-06-05,1,-14.94,0,1,0.0
2025-06-23,1,26.5,1,0,100.0
2025-07-09,1,-9.62,0,1,0.0
2025-07-16,1,-9.38,0,1,0.0
2025-08-07,1,-8.62,0,1,0.0
2025-08-20,1,-12.56,0,1,0.0
2025-09-03,1,16.88,1,0,100.0
2025-11-04,1,19.75,1,0,100.0
2025-11-06,1,22.38,1,0,100.0
2025-11-12,1,27.5,1,0,100.0
2025-11-17,1,-13.19,0,1,0.0
2025-11-20,2,22.38,1,1,50.0
2025-12-04,1,33.62,1,0,100.0
2025-12-05,1,18.25,1,0,100.0
2025-12-17,1,28.5,1,0,100.0
2026-01-02,1,-9.81,0,1,0.0
2026-01-08,2,14.43,1,1,50.0
2026-01-15,1,21.25,1,0,100.0
2026-01-22,1,23.75,1,0,100.0
2026-02-10,3,32.63,2,1,66.67
2026-02-18,1,26.38,1,0,100.0
2026-02-26,1,29.62,1,0,100.0
2026-03-16,1,22.75,1,0,100.0
2026-03-18,1,16.0,1,0,100.0
2026-05-04,1,31.38,1,0,100.0
