group,trades,wins,losses,win_rate,net_points,avg_points,avg_rr,profit_factor,avg_risk,avg_mfe,avg_mae,max_drawdown_points
2019-08,1,1,0,100.0,22.12,22.12,2.0,,11.06,26.19,-2.06,0.0
2020-02,1,1,0,100.0,17.12,17.12,2.0,,8.56,18.94,-5.56,0.0
2020-03,2,2,0,100.0,39.63,19.81,2.0,,9.9,26.97,-4.66,0.0
2020-04,1,1,0,100.0,17.0,17.0,2.0,,8.5,17.5,-0.75,0.0
2020-05,1,1,0,100.0,17.88,17.88,2.0,,8.94,20.06,-2.19,0.0
2020-06,2,0,2,0.0,-17.81,-8.9,-1.0,0.0,8.9,17.84,-16.03,-8.19
2020-08,1,0,1,0.0,-8.69,-8.69,-1.0,0.0,8.69,17.56,-11.94,0.0
2020-09,2,1,1,50.0,14.88,7.44,0.5,2.57,10.84,21.66,-6.6,-9.5
2020-11,1,1,0,100.0,22.5,22.5,2.0,,11.25,43.25,-3.5,0.0
2020-12,1,1,0,100.0,19.88,19.88,2.0,,9.94,25.31,-1.19,0.0
2021-01,1,1,0,100.0,37.88,37.88,2.0,,18.94,41.06,-1.44,0.0
2021-02,1,1,0,100.0,27.62,27.62,2.0,,13.81,40.19,-5.81,0.0
2021-03,1,0,1,0.0,-11.19,-11.19,-1.0,0.0,11.19,23.56,-16.19,0.0
2021-11,2,2,0,100.0,34.88,17.44,2.0,,8.72,19.03,-2.6,0.0
2021-12,4,4,0,100.0,88.01,22.0,2.0,,11.0,27.5,-3.69,0.0
2022-01,1,0,1,0.0,-12.62,-12.62,-1.0,0.0,12.62,28.12,-19.62,0.0
2022-02,2,2,0,100.0,41.38,20.69,2.0,,10.34,23.53,-7.35,0.0
2022-03,1,1,0,100.0,24.25,24.25,2.0,,12.12,58.62,-6.62,0.0
2022-05,1,1,0,100.0,22.25,22.25,2.0,,11.12,28.88,-7.12,0.0
2022-07,1,1,0,100.0,18.12,18.12,2.0,,9.06,19.69,-0.81,0.0
2022-09,3,1,2,33.33,0.93,0.31,0.0,1.05,9.19,16.89,-6.27,-9.69
2022-12,2,1,1,50.0,10.06,5.03,0.5,2.23,8.65,25.22,-6.03,0.0
2023-02,1,1,0,100.0,23.5,23.5,2.0,,11.75,32.5,-3.75,0.0
2023-03,1,0,1,0.0,-9.25,-9.25,-1.0,0.0,9.25,18.75,-22.0,0.0
2023-05,1,1,0,100.0,16.75,16.75,2.0,,8.38,19.12,-1.38,0.0
2024-01,1,1,0,100.0,18.25,18.25,2.0,,9.12,18.38,-3.38,0.0
2024-02,2,1,1,50.0,9.19,4.6,0.5,2.11,8.53,18.6,-7.9,0.0
2024-07,1,0,1,0.0,-8.69,-8.69,-1.0,0.0,8.69,12.81,-10.94,0.0
2024-08,2,1,1,50.0,5.5,2.75,0.5,1.5,9.62,19.25,-7.88,-11.0
2024-09,2,1,1,50.0,11.44,5.72,0.5,2.38,9.1,19.78,-10.84,-8.31
2024-10,2,0,2,0.0,-16.94,-8.47,-1.0,0.0,8.47,17.4,-12.1,-8.5
2024-11,5,2,3,40.0,8.06,1.61,0.2,1.28,9.45,21.25,-9.25,-11.31
2024-12,1,1,0,100.0,29.88,29.88,2.0,,14.94,46.31,-9.44,0.0
2025-01,6,3,3,50.0,31.69,5.28,0.5,2.05,10.19,24.6,-9.06,-30.19
2025-02,5,4,1,80.0,82.2,16.44,1.4,8.11,11.69,27.56,-14.54,-11.56
2025-03,1,0,1,0.0,-11.31,-11.31,-1.0,0.0,11.31,23.44,-18.06,0.0
2025-04,2,1,1,50.0,4.81,2.41,0.5,1.38,10.72,21.16,-10.47,-12.69
2025-05,3,1,2,33.33,9.24,3.08,0.0,1.48,11.17,28.83,-10.66,-8.88
2025-06,2,1,1,50.0,11.56,5.78,0.5,1.77,14.1,43.03,-12.1,0.0
2025-07,2,0,2,0.0,-19.0,-9.5,-1.0,0.0,9.5,18.5,-11.37,-9.38
2025-08,2,0,2,0.0,-21.18,-10.59,-1.0,0.0,10.59,21.04,-12.59,-12.56
2025-09,1,1,0,100.0,16.88,16.88,2.0,,8.44,17.81,-0.44,0.0
2025-11,6,4,2,66.67,78.82,13.14,1.0,3.94,13.27,29.98,-10.81,-26.81
2025-12,3,3,0,100.0,80.37,26.79,2.0,,13.39,37.02,-5.81,0.0
2026-01,5,3,2,60.0,49.62,9.92,0.8,3.76,10.36,26.59,-8.91,-8.19
2026-02,5,4,1,80.0,88.63,17.73,1.4,10.85,11.56,29.69,-7.66,0.0
2026-03,2,2,0,100.0,38.75,19.38,2.0,,9.69,21.18,-2.56,0.0
2026-05,1,1,0,100.0,31.38,31.38,2.0,,15.69,45.81,-7.19,0.0
