signal_time,entry_time,trade_date,year,month,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,signal_high,signal_low,signal_close,range_expansion,rel_volume
2019-08-29T08:37:00.000000,2019-08-29T08:38:00.000000,2019-08-29,2019,2019-08,8,38,short,7682.44,7693.5,7660.31,11.06,22.12,2.0,target,1,1,26.19,-2.06,7691.5,7655.25,7660.5,5.9184,8.1109
2020-02-21T08:49:00.000000,2020-02-21T08:50:00.000000,2020-02-21,2020,2020-02,8,50,short,9501.44,9510.0,9484.31,8.56,17.12,2.0,target,1,1,18.94,-5.56,9508.0,9481.75,9483.25,1.8551,1.6804
2020-03-04T08:37:00.000000,2020-03-04T08:38:00.000000,2020-03-04,2020,2020-03,8,38,short,8715.56,8724.75,8697.19,9.19,18.38,2.0,target,1,1,28.56,-0.94,8722.75,8694.0,8700.25,2.0852,2.4222
2020-03-20T10:09:00.000000,2020-03-20T10:10:00.000000,2020-03-20,2020,2020-03,10,10,short,7222.12,7232.75,7200.88,10.62,21.25,2.0,target,1,1,25.38,-8.38,7230.75,7196.25,7198.0,1.5629,1.6994
2020-04-16T10:36:00.000000,2020-04-16T10:37:00.000000,2020-04-16,2020,2020-04,10,37,short,8624.75,8633.25,8607.75,8.5,17.0,2.0,target,1,1,17.5,-0.75,8631.25,8605.25,8606.75,1.7233,1.1513
2020-05-21T09:00:00.000000,2020-05-21T09:01:00.000000,2020-05-21,2020,2020-05,9,1,short,9415.31,9424.25,9397.44,8.94,17.88,2.0,target,4,1,20.06,-2.19,9422.25,9394.5,9402.5,2.7509,2.403
2020-06-12T09:19:00.000000,2020-06-12T09:20:00.000000,2020-06-12,2020,2020-06,9,20,short,9590.88,9600.5,9571.62,9.62,-9.62,-1.0,stop,2,1,18.88,-17.62,9598.5,9568.0,9572.5,1.5601,1.3712
2020-06-26T08:50:00.000000,2020-06-26T08:51:00.000000,2020-06-26,2020,2020-06,8,51,short,9869.56,9877.75,9853.19,8.19,-8.19,-1.0,stop_same_bar,1,1,16.81,-14.44,9875.75,9851.0,9852.5,1.5068,1.6703
2020-08-27T10:53:00.000000,2020-08-27T10:54:00.000000,2020-08-27,2020,2020-08,10,54,short,11854.81,11863.5,11837.44,8.69,-8.69,-1.0,stop_same_bar,1,1,17.56,-11.94,11861.5,11834.75,11837.25,1.6719,1.611
2020-09-10T09:00:00.000000,2020-09-10T09:01:00.000000,2020-09-10,2020,2020-09,9,1,short,11384.56,11396.75,11360.19,12.19,24.38,2.0,target,1,1,24.81,-0.69,11394.75,11354.0,11359.5,1.7194,1.7874
2020-09-10T09:34:00.000000,2020-09-10T09:35:00.000000,2020-09-10,2020,2020-09,9,35,short,11463.5,11473.0,11444.5,9.5,-9.5,-1.0,stop,4,1,18.5,-12.5,11471.0,11441.0,11446.75,1.7094,1.2183
2020-11-09T08:34:00.000000,2020-11-09T08:35:00.000000,2020-11-09,2020,2020-11,8,35,short,12115.0,12126.25,12092.5,11.25,22.5,2.0,target,1,1,43.25,-3.5,12124.25,12087.25,12093.75,1.5164,2.4793
2020-12-02T08:40:00.000000,2020-12-02T08:41:00.000000,2020-12-02,2020,2020-12,8,41,short,12352.56,12362.5,12332.69,9.94,19.88,2.0,target,1,1,25.31,-1.19,12360.5,12328.75,12332.0,2.816,2.8289
2021-01-27T08:32:00.000000,2021-01-27T08:33:00.000000,2021-01-27,2021,2021-01,8,33,short,13303.06,13322.0,13265.19,18.94,37.88,2.0,target,1,1,41.06,-1.44,13320.0,13252.25,13267.5,4.6604,5.0893
2021-02-24T08:36:00.000000,2021-02-24T08:37:00.000000,2021-02-24,2021,2021-02,8,37,short,13042.19,13056.0,13014.56,13.81,27.62,2.0,target,1,1,40.19,-5.81,13054.0,13006.75,13013.25,1.9276,2.4653
2021-03-08T09:59:00.000000,2021-03-08T10:00:00.000000,2021-03-08,2021,2021-03,10,0,short,12654.31,12665.5,12631.94,11.19,-11.19,-1.0,stop_same_bar,1,1,23.56,-16.19,12663.5,12626.75,12632.75,1.6975,1.144
2021-11-09T10:13:00.000000,2021-11-09T10:14:00.000000,2021-11-09,2021,2021-11,10,14,short,16231.5,16240.5,16213.5,9.0,18.0,2.0,target,1,1,19.5,-2.75,16238.5,16210.5,16211.75,2.0837,1.94
2021-11-10T08:37:00.000000,2021-11-10T08:38:00.000000,2021-11-10,2021,2021-11,8,38,short,16101.81,16110.25,16084.94,8.44,16.88,2.0,target,1,1,18.56,-2.44,16108.25,16082.5,16085.0,1.5535,1.3609
2021-12-03T08:54:00.000000,2021-12-03T08:55:00.000000,2021-12-03,2021,2021-12,8,55,short,15869.62,15883.75,15841.38,14.12,28.25,2.0,target,1,1,36.12,-8.38,15881.75,15833.25,15834.25,1.604,1.4186
2021-12-16T08:33:00.000000,2021-12-16T08:34:00.000000,2021-12-16,2021,2021-12,8,34,short,16310.75,16321.25,16289.75,10.5,21.0,2.0,target,1,1,25.25,-2.0,16319.25,16285.25,16287.75,2.7227,3.2409
2021-12-17T10:46:00.000000,2021-12-17T10:47:00.000000,2021-12-17,2021,2021-12,10,47,short,15790.56,15801.25,15769.19,10.69,21.38,2.0,target,1,1,26.06,-3.69,15799.25,15764.5,15765.75,1.8835,1.4519
2021-12-28T08:31:00.000000,2021-12-28T08:32:00.000000,2021-12-28,2021,2021-12,8,32,short,16583.56,16592.25,16566.19,8.69,17.38,2.0,target,1,1,22.56,-0.69,16590.25,16563.5,16567.25,3.2229,4.4114
2022-01-11T08:31:00.000000,2022-01-11T08:32:00.000000,2022-01-11,2022,2022-01,8,32,short,15538.38,15551.0,15513.12,12.62,-12.62,-1.0,stop_same_bar,1,1,28.12,-19.62,15549.0,15506.5,15517.0,2.753,5.0113
